25.02蛍	OH_OO渋谷源氏	1140	1170	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
25.02蛍	OH_OO渋谷源氏	1170	1180	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
25.02蛍	OH_OO渋谷源氏	1180	1190	I	は	は	ハ	助詞-係助詞			ワ	和
25.02蛍	OH_OO渋谷源氏	1190	1200	I	、	、		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	1200	1230	I	かたく	難い	カタイ	形容詞-一般	文語形容詞-ク	連用形-一般	カタク	和
25.02蛍	OH_OO渋谷源氏	1230	1250	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
25.02蛍	OH_OO渋谷源氏	1250	1270	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
25.02蛍	OH_OO渋谷源氏	1270	1290	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
25.02蛍	OH_OO渋谷源氏	1290	1300	I	」	」		補助記号-括弧閉				記号
25.02蛍	OH_OO渋谷源氏	1300	1320	B	など	など	ナド	助詞-副助詞			ナド	和
25.02蛍	OH_OO渋谷源氏	1320	1330	I	，	，		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	1330	1350	I	活け	生ける	イケル	動詞-一般	文語下二段-カ行	連用形-一般	イケ	和
25.02蛍	OH_OO渋谷源氏	1350	1360	I	み	み	ミ	接尾辞-名詞的-副詞可能			ミ	和
25.02蛍	OH_OO渋谷源氏	1360	1380	I	殺し	殺す	コロス	動詞-一般	文語四段-サ行	連用形-一般	コロシ	和
25.02蛍	OH_OO渋谷源氏	1380	1390	I	み	み	ミ	接尾辞-名詞的-副詞可能			ミ	和
25.02蛍	OH_OO渋谷源氏	1390	1410	I	戒め	戒める	イマシメル	動詞-一般	文語下二段-マ行	連用形-一般	イマシメ	和
25.02蛍	OH_OO渋谷源氏	1410	1450	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
25.02蛍	OH_OO渋谷源氏	1450	1460	I	御	御	オオン	接頭辞			オオン	和
25.02蛍	OH_OO渋谷源氏	1460	1480	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
25.02蛍	OH_OO渋谷源氏	1480	1490	I	、	、		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	1490	1510	I	尽き	尽きる	ツキル	動詞-一般	文語上二段-カ行	連用形-一般	ツキ	和
25.02蛍	OH_OO渋谷源氏	1510	1520	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
25.02蛍	OH_OO渋谷源氏	1520	1530	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
25.02蛍	OH_OO渋谷源氏	1530	1550	I	若く	若い	ワカイ	形容詞-一般	文語形容詞-ク	連用形-一般	ワカク	和
25.02蛍	OH_OO渋谷源氏	1550	1570	I	きよ	清い	キヨイ	形容詞-一般	文語形容詞-ク	語幹-一般	キヨ	和
25.02蛍	OH_OO渋谷源氏	1570	1580	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
25.02蛍	OH_OO渋谷源氏	1580	1590	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
25.02蛍	OH_OO渋谷源氏	1590	1610	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
25.02蛍	OH_OO渋谷源氏	1610	1640	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
25.02蛍	OH_OO渋谷源氏	1640	1650	I	。	。		補助記号-句点				記号
25.02蛍	OH_OO渋谷源氏	1650	1660	B	艶	艶	エン	名詞-普通名詞-形状詞可能			エン	漢
25.02蛍	OH_OO渋谷源氏	1660	1670	I	も	も	モ	助詞-係助詞			モ	和
25.02蛍	OH_OO渋谷源氏	1670	1680	I	色	色	イロ	名詞-普通名詞-一般			イロ	和
25.02蛍	OH_OO渋谷源氏	1680	1690	I	も	も	モ	助詞-係助詞			モ	和
25.02蛍	OH_OO渋谷源氏	1690	1720	I	こぼる	零れる	コボレル	動詞-一般	文語下二段-ラ行	終止形-一般	コボル	和
25.02蛍	OH_OO渋谷源氏	1720	1750	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
25.02蛍	OH_OO渋谷源氏	1750	1770	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
25.02蛍	OH_OO渋谷源氏	1770	1790	I	御衣	御衣	オンゾ	名詞-普通名詞-一般			オンゾ	和
25.02蛍	OH_OO渋谷源氏	1790	1800	I	に	に	ニ	助詞-格助詞			ニ	和
25.02蛍	OH_OO渋谷源氏	1800	1810	I	、	、		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	1810	1830	I	直衣	直衣	ノウシ	名詞-普通名詞-一般			ノーシ	和
25.02蛍	OH_OO渋谷源氏	1830	1870	I	はかなく	儚い	ハカナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ハカナク	和
25.02蛍	OH_OO渋谷源氏	1870	1900	I	重なれ	重なる	カサナル	動詞-一般	文語四段-ラ行	命令形	カサナレ	和
25.02蛍	OH_OO渋谷源氏	1900	1910	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
25.02蛍	OH_OO渋谷源氏	1910	1940	I	あはひ	間	アワイ	名詞-普通名詞-一般			アワイ	和
25.02蛍	OH_OO渋谷源氏	1940	1950	I	も	も	モ	助詞-係助詞			モ	和
25.02蛍	OH_OO渋谷源氏	1950	1960	I	、	、		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	1960	1990	I	いづこ	何処	イズコ	代名詞			イズコ	和
25.02蛍	OH_OO渋谷源氏	1990	2000	I	に	に	ニ	助詞-格助詞			ニ	和
25.02蛍	OH_OO渋谷源氏	2000	2030	I	加はれ	加わる	クワワル	動詞-一般	文語四段-ラ行	命令形	クワワレ	和
25.02蛍	OH_OO渋谷源氏	2030	2040	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
25.02蛍	OH_OO渋谷源氏	2040	2070	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
25.02蛍	OH_OO渋谷源氏	2070	2080	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
25.02蛍	OH_OO渋谷源氏	2080	2090	I	か	か	カ	助詞-係助詞			カ	和
25.02蛍	OH_OO渋谷源氏	2090	2110	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
25.02蛍	OH_OO渋谷源氏	2110	2120	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
25.02蛍	OH_OO渋谷源氏	2120	2130	I	、	、		補助記号-読点				記号
25.02蛍	OH_OO渋谷源氏	2130	2140	I	こ	是	コ	代名詞			コ	和
25.02蛍	OH_OO渋谷源氏	2140	2150	I	の	の	ノ	助詞-格助詞			ノ	和
25.02蛍	OH_OO渋谷源氏	2150	2160	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
25.02蛍	OH_OO渋谷源氏	2160	2170	I	の	の	ノ	助詞-格助詞			ノ	和
