35.11若菜下	OH_OO渋谷源氏	1130	1150	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
35.11若菜下	OH_OO渋谷源氏	1150	1190	I	まうくる	設ける	モウケル	動詞-一般	文語下二段-カ行	連体形-一般	モークル	和
35.11若菜下	OH_OO渋谷源氏	1190	1200	I	を	を	ヲ	助詞-格助詞			オ	和
35.11若菜下	OH_OO渋谷源氏	1200	1210	I	、	、		補助記号-読点				記号
35.11若菜下	OH_OO渋谷源氏	1210	1230	I	姫宮	姫宮	ヒメミヤ	名詞-普通名詞-一般			ヒメミヤ	和
35.11若菜下	OH_OO渋谷源氏	1230	1260	I	いたく	痛く	イタク	副詞			イタク	和
35.11若菜下	OH_OO渋谷源氏	1260	1280	I	悩み	悩む	ナヤム	動詞-一般	文語四段-マ行	連用形-一般	ナヤミ	和
35.11若菜下	OH_OO渋谷源氏	1280	1310	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
35.11若菜下	OH_OO渋谷源氏	1310	1320	I	ば	ば	バ	助詞-接続助詞			バ	和
35.11若菜下	OH_OO渋谷源氏	1320	1330	I	、	、		補助記号-読点				記号
35.11若菜下	OH_OO渋谷源氏	1330	1350	I	また	又	マタ	副詞			マタ	和
35.11若菜下	OH_OO渋谷源氏	1350	1370	I	延び	伸びる	ノビル	動詞-一般	文語上二段-バ行	連用形-一般	ノビ	和
35.11若菜下	OH_OO渋谷源氏	1370	1380	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
35.11若菜下	OH_OO渋谷源氏	1380	1390	I	。	。		補助記号-句点				記号
35.11若菜下	OH_OO渋谷源氏	1390	1410	B	衛門	衛門	エモン	名詞-普通名詞-一般			エモン	漢
35.11若菜下	OH_OO渋谷源氏	1410	1420	I	督	守	カミ	名詞-普通名詞-一般			カミ	和
35.11若菜下	OH_OO渋谷源氏	1420	1430	I	の	の	ノ	助詞-格助詞			ノ	和
35.11若菜下	OH_OO渋谷源氏	1430	1440	I	御	御	オオン	接頭辞			オオン	和
35.11若菜下	OH_OO渋谷源氏	1440	1470	I	預かり	預かり	アズカリ	名詞-普通名詞-一般			アズカリ	和
35.11若菜下	OH_OO渋谷源氏	1470	1480	I	の	の	ノ	助詞-格助詞			ノ	和
35.11若菜下	OH_OO渋谷源氏	1480	1490	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
35.11若菜下	OH_OO渋谷源氏	1490	1510	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
35.11若菜下	OH_OO渋谷源氏	1510	1520	I	、	、		補助記号-読点				記号
35.11若菜下	OH_OO渋谷源氏	1520	1530	I	そ	其	ソ	代名詞			ソ	和
35.11若菜下	OH_OO渋谷源氏	1530	1540	I	の	の	ノ	助詞-格助詞			ノ	和
35.11若菜下	OH_OO渋谷源氏	1540	1550	I	月	月	ツキ	名詞-普通名詞-助数詞可能			ツキ	和
35.11若菜下	OH_OO渋谷源氏	1550	1560	I	に	に	ニ	助詞-格助詞			ニ	和
35.11若菜下	OH_OO渋谷源氏	1560	1570	I	は	は	ハ	助詞-係助詞			ワ	和
35.11若菜下	OH_OO渋谷源氏	1570	1590	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
35.11若菜下	OH_OO渋谷源氏	1590	1620	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
35.11若菜下	OH_OO渋谷源氏	1620	1640	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
35.11若菜下	OH_OO渋谷源氏	1640	1650	I	。	。		補助記号-句点				記号
35.11若菜下	OH_OO渋谷源氏	1650	1670	B	太政	大き	オオキ	形状詞-一般			オーキ	和
35.11若菜下	OH_OO渋谷源氏	1670	1690	I	大臣	大臣	オトド	名詞-普通名詞-一般			オトド	和
35.11若菜下	OH_OO渋谷源氏	1690	1700	I	居	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
35.11若菜下	OH_OO渋谷源氏	1700	1720	I	立ち	立つ	タツ	動詞-一般	文語四段-タ行	連用形-一般	タチ	和
35.11若菜下	OH_OO渋谷源氏	1720	1730	I	て	て	テ	助詞-接続助詞			テ	和
35.11若菜下	OH_OO渋谷源氏	1730	1740	I	、	、		補助記号-読点				記号
35.11若菜下	OH_OO渋谷源氏	1740	1790	I	いかめしく	厳めしい	イカメシイ	形容詞-一般	文語形容詞-シク	連用形-一般	イカメシク	和
