35.04若菜下	OH_OO渋谷源氏	1250	1260	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
35.04若菜下	OH_OO渋谷源氏	1260	1270	I	に	に	ニ	助詞-接続助詞			ニ	和
35.04若菜下	OH_OO渋谷源氏	1270	1280	I	、	、		補助記号-読点				記号
35.04若菜下	OH_OO渋谷源氏	1280	1300	I	掻き	掻き	カキ	接頭辞			カキ	和
35.04若菜下	OH_OO渋谷源氏	1300	1330	I	合はせ	合わせる	アワセル	動詞-一般	文語下二段-サ行	連用形-一般	アワセ	和
35.04若菜下	OH_OO渋谷源氏	1330	1360	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
35.04若菜下	OH_OO渋谷源氏	1360	1370	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
35.04若菜下	OH_OO渋谷源氏	1370	1380	I	御	御	オオン	接頭辞			オオン	和
35.04若菜下	OH_OO渋谷源氏	1380	1390	I	琴	琴	コト	名詞-普通名詞-一般			コト	和
35.04若菜下	OH_OO渋谷源氏	1390	1400	I	の	の	ノ	助詞-格助詞			ノ	和
35.04若菜下	OH_OO渋谷源氏	1400	1410	I	音	音	ネ	名詞-普通名詞-一般			ネ	和
35.04若菜下	OH_OO渋谷源氏	1410	1420	I	も	も	モ	助詞-係助詞			モ	和
35.04若菜下	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
35.04若菜下	OH_OO渋谷源氏	1430	1450	I	試楽	試楽	シガク	名詞-普通名詞-一般			シガク	漢
35.04若菜下	OH_OO渋谷源氏	1450	1470	I	めき	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-一般	メキ	和
35.04若菜下	OH_OO渋谷源氏	1470	1480	I	て	て	テ	助詞-接続助詞			テ	和
35.04若菜下	OH_OO渋谷源氏	1480	1490	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
35.04若菜下	OH_OO渋谷源氏	1490	1510	I	言ひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
35.04若菜下	OH_OO渋谷源氏	1510	1530	I	なさ	成す	ナス	動詞-一般	文語四段-サ行	未然形-一般	ナサ	和
35.04若菜下	OH_OO渋谷源氏	1530	1540	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
35.04若菜下	OH_OO渋谷源氏	1540	1550	I	を	を	ヲ	助詞-格助詞			オ	和
35.04若菜下	OH_OO渋谷源氏	1550	1560	I	、	、		補助記号-読点				記号
35.04若菜下	OH_OO渋谷源氏	1560	1570	I	こ	是	コ	代名詞			コ	和
35.04若菜下	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
35.04若菜下	OH_OO渋谷源氏	1580	1600	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
35.04若菜下	OH_OO渋谷源氏	1600	1620	I	静か	静か	シズカ	形状詞-一般			シズカ	和
35.04若菜下	OH_OO渋谷源氏	1620	1640	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
35.04若菜下	OH_OO渋谷源氏	1640	1660	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
35.04若菜下	OH_OO渋谷源氏	1660	1670	I	に	に	ニ	助詞-格助詞			ニ	和
