39.03夕霧	OH_OO渋谷源氏	1090	1100	I	，	，		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1100	1130	I	さすが	流石	サスガ	形状詞-一般			サスガ	和
39.03夕霧	OH_OO渋谷源氏	1130	1140	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.03夕霧	OH_OO渋谷源氏	1140	1160	I	問ひ	問う	トウ	動詞-一般	文語四段-ハ行	連用形-一般	トイ	和
39.03夕霧	OH_OO渋谷源氏	1160	1190	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.03夕霧	OH_OO渋谷源氏	1190	1200	I	。	。		補助記号-句点				記号
39.03夕霧	OH_OO渋谷源氏	1200	1210	B	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
39.03夕霧	OH_OO渋谷源氏	1210	1230	I	知れ	知れる	シレル	動詞-一般	文語下二段-ラ行	未然形-一般	シレ	和
39.03夕霧	OH_OO渋谷源氏	1230	1240	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
39.03夕霧	OH_OO渋谷源氏	1240	1260	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
39.03夕霧	OH_OO渋谷源氏	1260	1280	I	弱る	弱る	ヨワル	動詞-一般	文語四段-ラ行	連体形-一般	ヨワル	和
39.03夕霧	OH_OO渋谷源氏	1280	1290	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
39.03夕霧	OH_OO渋谷源氏	1290	1300	I	も	も	モ	助詞-係助詞			モ	和
39.03夕霧	OH_OO渋谷源氏	1300	1320	I	添ひ	沿う	ソウ	動詞-一般	文語四段-ハ行	連用形-一般	ソイ	和
39.03夕霧	OH_OO渋谷源氏	1320	1330	I	て	て	テ	助詞-接続助詞			テ	和
39.03夕霧	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1340	1350	I	下	下	シタ	名詞-普通名詞-一般			シタ	和
39.03夕霧	OH_OO渋谷源氏	1350	1360	I	に	に	ニ	助詞-格助詞			ニ	和
39.03夕霧	OH_OO渋谷源氏	1360	1380	I	待ち	待つ	マツ	動詞-一般	文語四段-タ行	連用形-一般	マチ	和
39.03夕霧	OH_OO渋谷源氏	1380	1410	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
39.03夕霧	OH_OO渋谷源氏	1410	1440	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.03夕霧	OH_OO渋谷源氏	1440	1460	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
39.03夕霧	OH_OO渋谷源氏	1460	1470	I	に	に	ニ	助詞-格助詞			ニ	和
39.03夕霧	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1480	1490	I	さ	然	サ	副詞			サ	和
39.03夕霧	OH_OO渋谷源氏	1490	1500	I	も	も	モ	助詞-係助詞			モ	和
39.03夕霧	OH_OO渋谷源氏	1500	1520	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
39.03夕霧	OH_OO渋谷源氏	1520	1530	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.03夕霧	OH_OO渋谷源氏	1530	1540	I	な	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-撥音便	ナン	和
39.03夕霧	OH_OO渋谷源氏	1540	1560	I	めり	めり	メリ	助動詞	文語助動詞-メリ	終止形-一般	メリ	和
39.03夕霧	OH_OO渋谷源氏	1560	1570	I	と	と	ト	助詞-格助詞			ト	和
39.03夕霧	OH_OO渋谷源氏	1570	1600	I	思ほす	思ほす	オモホス	動詞-一般	文語四段-サ行	連体形-一般	オモホス	和
39.03夕霧	OH_OO渋谷源氏	1600	1610	I	も	も	モ	助詞-係助詞			モ	和
39.03夕霧	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1620	1650	I	心騷ぎ	心騒ぎ	ココロサワギ	名詞-普通名詞-一般			ココロサワギ	和
39.03夕霧	OH_OO渋谷源氏	1650	1660	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
39.03夕霧	OH_OO渋谷源氏	1660	1670	I	て	て	テ	助詞-接続助詞			テ	和
39.03夕霧	OH_OO渋谷源氏	1670	1680	I	、	、		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1680	1690	B	「	「		補助記号-括弧開				記号
39.03夕霧	OH_OO渋谷源氏	1690	1710	I	いで	いで	イデ	感動詞-一般			イデ	和
39.03夕霧	OH_OO渋谷源氏	1710	1720	I	，	，		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1720	1730	I	そ	其	ソ	代名詞			ソ	和
39.03夕霧	OH_OO渋谷源氏	1730	1740	I	の	の	ノ	助詞-格助詞			ノ	和
39.03夕霧	OH_OO渋谷源氏	1740	1750	I	御	御	オオン	接頭辞			オオン	和
39.03夕霧	OH_OO渋谷源氏	1750	1760	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
39.03夕霧	OH_OO渋谷源氏	1760	1770	I	、	、		補助記号-読点				記号
39.03夕霧	OH_OO渋谷源氏	1770	1790	I	なほ	猶	ナオ	副詞			ナオ	和
39.03夕霧	OH_OO渋谷源氏	1790	1820	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
39.03夕霧	OH_OO渋谷源氏	1820	1850	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
39.03夕霧	OH_OO渋谷源氏	1850	1860	I	。	。		補助記号-句点				記号
39.03夕霧	OH_OO渋谷源氏	1860	1900	B	あいなし	あいない	アイナイ	形容詞-一般	文語形容詞-ク	終止形-一般	アイナシ	和
39.03夕霧	OH_OO渋谷源氏	1900	1910	I	。	。		補助記号-句点				記号
