21.03乙女	OH_OO渋谷源氏	1220	1230	I	、	、		補助記号-読点				記号
21.03乙女	OH_OO渋谷源氏	1230	1250	I	まづ	先ず	マズ	副詞			マズ	和
21.03乙女	OH_OO渋谷源氏	1250	1260	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
21.03乙女	OH_OO渋谷源氏	1260	1280	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
21.03乙女	OH_OO渋谷源氏	1280	1290	I	先	先	サキ	名詞-普通名詞-副詞可能			サキ	和
21.03乙女	OH_OO渋谷源氏	1290	1300	I	に	に	ニ	助詞-格助詞			ニ	和
21.03乙女	OH_OO渋谷源氏	1300	1320	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
21.03乙女	OH_OO渋谷源氏	1320	1350	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
21.03乙女	OH_OO渋谷源氏	1350	1360	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
21.03乙女	OH_OO渋谷源氏	1360	1370	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
21.03乙女	OH_OO渋谷源氏	1370	1380	I	も	も	モ	助詞-係助詞			モ	和
21.03乙女	OH_OO渋谷源氏	1380	1410	I	いかが	如何	イカガ	副詞			イカガ	和
21.03乙女	OH_OO渋谷源氏	1410	1420	I	」	」		補助記号-括弧閉				記号
21.03乙女	OH_OO渋谷源氏	1420	1440	B	など	など	ナド	助詞-副助詞			ナド	和
21.03乙女	OH_OO渋谷源氏	1440	1450	I	，	，		補助記号-読点				記号
21.03乙女	OH_OO渋谷源氏	1450	1490	I	うちうち	内々	ウチウチ	名詞-普通名詞-一般			ウチウチ	和
21.03乙女	OH_OO渋谷源氏	1490	1500	I	に	に	ニ	助詞-格助詞			ニ	和
21.03乙女	OH_OO渋谷源氏	1500	1510	I	、	、		補助記号-読点				記号
21.03乙女	OH_OO渋谷源氏	1510	1570	I	こなたかなた	此方彼方	コナタカナタ	代名詞			コナタカナタ	和
21.03乙女	OH_OO渋谷源氏	1570	1580	I	に	に	ニ	助詞-格助詞			ニ	和
21.03乙女	OH_OO渋谷源氏	1580	1590	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
21.03乙女	OH_OO渋谷源氏	1590	1610	I	寄せ	寄せる	ヨセル	動詞-一般	文語下二段-サ行	連用形-一般	ヨセ	和
21.03乙女	OH_OO渋谷源氏	1610	1650	I	きこゆる	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連体形-一般	キコユル	和
21.03乙女	OH_OO渋谷源氏	1650	1680	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
21.03乙女	OH_OO渋谷源氏	1680	1690	I	、	、		補助記号-読点				記号
21.03乙女	OH_OO渋谷源氏	1690	1740	I	おぼつかな	覚束無い	オボツカナイ	形容詞-一般	文語形容詞-ク	語幹-一般	オボツカナ	和
21.03乙女	OH_OO渋谷源氏	1740	1760	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
21.03乙女	OH_OO渋谷源氏	1760	1790	I	きこゆ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	終止形-一般	キコユ	和
21.03乙女	OH_OO渋谷源氏	1790	1800	I	。	。		補助記号-句点				記号
21.03乙女	OH_OO渋谷源氏	1800	1820	B	兵部	兵部	ヒョウブ	名詞-普通名詞-一般			ヒョーブ	漢
21.03乙女	OH_OO渋谷源氏	1820	1830	I	卿	卿	キョウ	接尾辞-名詞的-一般			キョー	漢
21.03乙女	OH_OO渋谷源氏	1830	1840	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
21.03乙女	OH_OO渋谷源氏	1840	1850	I	と	と	ト	助詞-格助詞			ト	和
