39.01夕霧	OH_OO渋谷源氏	1180	1190	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
39.01夕霧	OH_OO渋谷源氏	1190	1200	I	に	に	ニ	助詞-格助詞			ニ	和
39.01夕霧	OH_OO渋谷源氏	1200	1210	I	は	は	ハ	助詞-係助詞			ワ	和
39.01夕霧	OH_OO渋谷源氏	1210	1220	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	1220	1250	I	かくて	斯くて	カクテ	副詞			カクテ	和
39.01夕霧	OH_OO渋谷源氏	1250	1260	I	は	は	ハ	助詞-係助詞			ワ	和
39.01夕霧	OH_OO渋谷源氏	1260	1280	I	止む	止む	ヤム	動詞-一般	文語四段-マ行	終止形-一般	ヤム	和
39.01夕霧	OH_OO渋谷源氏	1280	1310	I	まじく	まじ	マジ	助動詞	文語助動詞-マジ	連用形-一般	マジク	和
39.01夕霧	OH_OO渋谷源氏	1310	1330	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
39.01夕霧	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	1340	1360	I	月日	月日	ツキヒ	名詞-普通名詞-一般			ツキヒ	和
39.01夕霧	OH_OO渋谷源氏	1360	1370	I	に	に	ニ	助詞-格助詞			ニ	和
39.01夕霧	OH_OO渋谷源氏	1370	1390	I	添へ	添える	ソエル	動詞-一般	文語下二段-ハ行	連用形-一般	ソエ	和
39.01夕霧	OH_OO渋谷源氏	1390	1400	I	て	て	テ	助詞-接続助詞			テ	和
39.01夕霧	OH_OO渋谷源氏	1400	1420	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
39.01夕霧	OH_OO渋谷源氏	1420	1450	I	まさり	勝る	マサル	動詞-一般	文語四段-ラ行	連用形-一般	マサリ	和
39.01夕霧	OH_OO渋谷源氏	1450	1480	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.01夕霧	OH_OO渋谷源氏	1480	1500	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
39.01夕霧	OH_OO渋谷源氏	1500	1510	I	。	。		補助記号-句点				記号
39.01夕霧	OH_OO渋谷源氏	1510	1540	B	御息所	御息所	ミヤスドコロ	名詞-普通名詞-一般			ミヤスンドコロ	和
39.01夕霧	OH_OO渋谷源氏	1540	1550	I	も	も	モ	助詞-係助詞			モ	和
39.01夕霧	OH_OO渋谷源氏	1550	1560	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	1560	1570	I	「	「		補助記号-括弧開				記号
39.01夕霧	OH_OO渋谷源氏	1570	1600	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
39.01夕霧	OH_OO渋谷源氏	1600	1610	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.01夕霧	OH_OO渋谷源氏	1610	1630	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
39.01夕霧	OH_OO渋谷源氏	1630	1660	I	がたき	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連体形-一般	ガタキ	和
39.01夕霧	OH_OO渋谷源氏	1660	1670	I	御	御	ミ	接頭辞			ミ	和
39.01夕霧	OH_OO渋谷源氏	1670	1700	I	心ばへ	心ばえ	ココロバエ	名詞-普通名詞-一般			ココロバエ	和
39.01夕霧	OH_OO渋谷源氏	1700	1710	I	に	に	ニ	助詞-格助詞			ニ	和
39.01夕霧	OH_OO渋谷源氏	1710	1720	I	も	も	モ	助詞-係助詞			モ	和
39.01夕霧	OH_OO渋谷源氏	1720	1740	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
39.01夕霧	OH_OO渋谷源氏	1740	1760	I	かな	哉	カナ	助詞-終助詞			カナ	和
39.01夕霧	OH_OO渋谷源氏	1760	1770	I	」	」		補助記号-括弧閉				記号
39.01夕霧	OH_OO渋谷源氏	1770	1780	I	と	と	ト	助詞-格助詞			ト	和
39.01夕霧	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	1790	1800	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
39.01夕霧	OH_OO渋谷源氏	1800	1810	I	は	は	ハ	助詞-係助詞			ワ	和
39.01夕霧	OH_OO渋谷源氏	1810	1850	I	いよいよ	愈	イヨイヨ	副詞			イヨイヨ	和
39.01夕霧	OH_OO渋谷源氏	1850	1900	I	もの寂しき	物寂しい	モノサビシイ	形容詞-一般	文語形容詞-シク	連体形-一般	モノサビシキ	和
39.01夕霧	OH_OO渋谷源氏	1900	1910	I	御	御	オオン	接頭辞			オオン	和
39.01夕霧	OH_OO渋谷源氏	1910	1950	I	つれづれ	徒然	ツレヅレ	名詞-普通名詞-形状詞可能			ツレズレ	和
39.01夕霧	OH_OO渋谷源氏	1950	1960	I	を	を	ヲ	助詞-格助詞			オ	和
39.01夕霧	OH_OO渋谷源氏	1960	1970	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	1970	1990	I	絶え	絶える	タエル	動詞-一般	文語下二段-ヤ行	未然形-一般	タエ	和
39.01夕霧	OH_OO渋谷源氏	1990	2000	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
39.01夕霧	OH_OO渋谷源氏	2000	2030	I	訪づれ	訪れる	オトズレル	動詞-一般	文語下二段-ラ行	連用形-一般	オトズレ	和
39.01夕霧	OH_OO渋谷源氏	2030	2060	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
39.01夕霧	OH_OO渋谷源氏	2060	2070	I	に	に	ニ	助詞-接続助詞			ニ	和
39.01夕霧	OH_OO渋谷源氏	2070	2080	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	2080	2100	I	慰め	慰める	ナグサメル	動詞-一般	文語下二段-マ行	連用形-一般	ナグサメ	和
39.01夕霧	OH_OO渋谷源氏	2100	2130	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
39.01夕霧	OH_OO渋谷源氏	2130	2150	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.01夕霧	OH_OO渋谷源氏	2150	2170	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
39.01夕霧	OH_OO渋谷源氏	2170	2200	I	多かり	多い	オオイ	形容詞-一般	文語形容詞-ク	終止形-補助	オーカリ	和
39.01夕霧	OH_OO渋谷源氏	2200	2210	I	。	。		補助記号-句点				記号
39.01夕霧	OH_OO渋谷源氏	2210	2230	B	初め	初め	ハジメ	名詞-普通名詞-副詞可能			ハジメ	和
39.01夕霧	OH_OO渋谷源氏	2230	2250	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
39.01夕霧	OH_OO渋谷源氏	2250	2280	I	懸想び	懸想びる	ケソウビル	動詞-一般	文語上二段-バ行	連用形-一般	ケソービ	混
39.01夕霧	OH_OO渋谷源氏	2280	2290	I	て	て	テ	助詞-接続助詞			テ	和
39.01夕霧	OH_OO渋谷源氏	2290	2300	I	も	も	モ	助詞-係助詞			モ	和
39.01夕霧	OH_OO渋谷源氏	2300	2330	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
39.01夕霧	OH_OO渋谷源氏	2330	2360	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
39.01夕霧	OH_OO渋谷源氏	2360	2380	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和
39.01夕霧	OH_OO渋谷源氏	2380	2390	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
39.01夕霧	OH_OO渋谷源氏	2390	2400	I	に	に	ニ	助詞-接続助詞			ニ	和
39.01夕霧	OH_OO渋谷源氏	2400	2410	I	、	、		補助記号-読点				記号
39.01夕霧	OH_OO渋谷源氏	2410	2420	B	「	「		補助記号-括弧開				記号
39.01夕霧	OH_OO渋谷源氏	2420	2440	I	ひき	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
39.01夕霧	OH_OO渋谷源氏	2440	2460	I	返し	返す	カエス	動詞-一般	文語四段-サ行	連用形-一般	カエシ	和
39.01夕霧	OH_OO渋谷源氏	2460	2480	I	懸想	懸想	ケソウ	名詞-普通名詞-サ変可能			ケソー	漢
39.01夕霧	OH_OO渋谷源氏	2480	2500	I	ばみ	ばむ	バム	接尾辞-動詞的	文語四段-マ行	連用形-一般	バミ	和
39.01夕霧	OH_OO渋谷源氏	2500	2520	I	なま	生	ナマ	名詞-普通名詞-形状詞可能			ナマ	和
39.01夕霧	OH_OO渋谷源氏	2520	2540	I	めか	めく	メク	接尾辞-動詞的	文語四段-カ行	未然形-一般	メカ	和
39.01夕霧	OH_OO渋谷源氏	2540	2550	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.01夕霧	OH_OO渋谷源氏	2550	2560	I	も	も	モ	助詞-係助詞			モ	和
39.01夕霧	OH_OO渋谷源氏	2560	2600	I	まばゆし	眩い	マバユイ	形容詞-一般	文語形容詞-ク	終止形-一般	マバユシ	和
39.01夕霧	OH_OO渋谷源氏	2600	2610	I	。	。		補助記号-句点				記号
