45.02橋姫	OH_OO渋谷源氏	1190	1210	I	住み	住む	スム	動詞-一般	文語四段-マ行	連用形-一般	スミ	和
45.02橋姫	OH_OO渋谷源氏	1210	1230	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
45.02橋姫	OH_OO渋谷源氏	1230	1240	I	。	。		補助記号-句点				記号
45.02橋姫	OH_OO渋谷源氏	1240	1250	B	才	才	サイ	名詞-普通名詞-一般			ザエ	漢
45.02橋姫	OH_OO渋谷源氏	1250	1270	I	いと	いと	イト	副詞			イト	和
45.02橋姫	OH_OO渋谷源氏	1270	1310	I	かしこく	賢い	カシコイ	形容詞-一般	文語形容詞-ク	連用形-一般	カシコク	和
45.02橋姫	OH_OO渋谷源氏	1310	1320	I	て	て	テ	助詞-接続助詞			テ	和
45.02橋姫	OH_OO渋谷源氏	1320	1330	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1330	1340	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
45.02橋姫	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
45.02橋姫	OH_OO渋谷源氏	1350	1380	I	おぼえ	覚え	オボエ	名詞-普通名詞-一般			オボエ	和
45.02橋姫	OH_OO渋谷源氏	1380	1390	I	も	も	モ	助詞-係助詞			モ	和
45.02橋姫	OH_OO渋谷源氏	1390	1420	I	軽から	軽い	カルイ	形容詞-一般	文語形容詞-ク	未然形-補助	カロカラ	和
45.02橋姫	OH_OO渋谷源氏	1420	1430	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
45.02橋姫	OH_OO渋谷源氏	1430	1440	I	ど	ど	ド	助詞-接続助詞			ド	和
45.02橋姫	OH_OO渋谷源氏	1440	1450	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1450	1490	I	をさをさ	おさおさ	オサオサ	副詞			オサオサ	和
45.02橋姫	OH_OO渋谷源氏	1490	1510	I	公事	公事	オオヤケゴト	名詞-普通名詞-一般			オーヤケゴト	和
45.02橋姫	OH_OO渋谷源氏	1510	1520	I	に	に	ニ	助詞-格助詞			ニ	和
45.02橋姫	OH_OO渋谷源氏	1520	1530	I	も	も	モ	助詞-係助詞			モ	和
45.02橋姫	OH_OO渋谷源氏	1530	1550	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
45.02橋姫	OH_OO渋谷源氏	1550	1570	I	仕へ	仕える	ツカエル	動詞-一般	文語下二段-ハ行	未然形-一般	ツカエ	和
45.02橋姫	OH_OO渋谷源氏	1570	1580	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
45.02橋姫	OH_OO渋谷源氏	1580	1590	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1590	1620	I	籠もり	籠もる	コモル	動詞-一般	文語四段-ラ行	連用形-一般	コモリ	和
45.02橋姫	OH_OO渋谷源氏	1620	1630	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
45.02橋姫	OH_OO渋谷源氏	1630	1650	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
45.02橋姫	OH_OO渋谷源氏	1650	1660	I	に	に	ニ	助詞-接続助詞			ニ	和
45.02橋姫	OH_OO渋谷源氏	1660	1670	I	、	、		補助記号-読点				記号
45.02橋姫	OH_OO渋谷源氏	1670	1680	I	こ	是	コ	代名詞			コ	和
45.02橋姫	OH_OO渋谷源氏	1680	1690	I	の	の	ノ	助詞-格助詞			ノ	和
