52.01蜻蛉	OH_OO渋谷源氏	1050	1110	I	おぼつかなし	覚束無い	オボツカナイ	形容詞-一般	文語形容詞-ク	終止形-一般	オボツカナシ	和
52.01蜻蛉	OH_OO渋谷源氏	1110	1130	I	とて	とて	トテ	助詞-格助詞			トテ	和
52.01蜻蛉	OH_OO渋谷源氏	1130	1140	I	、	、		補助記号-読点				記号
52.01蜻蛉	OH_OO渋谷源氏	1140	1170	I	また人	又人	マタヒト	名詞-普通名詞-一般			マタヒト	和
52.01蜻蛉	OH_OO渋谷源氏	1170	1200	I	おこせ	遣せる	オコセル	動詞-一般	文語下二段-サ行	連用形-一般	オコセ	和
52.01蜻蛉	OH_OO渋谷源氏	1200	1220	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
52.01蜻蛉	OH_OO渋谷源氏	1220	1230	I	。	。		補助記号-句点				記号
52.01蜻蛉	OH_OO渋谷源氏	1230	1240	B	「	「		補助記号-括弧開				記号
52.01蜻蛉	OH_OO渋谷源氏	1240	1260	I	まだ	未だ	マダ	副詞			マダ	和
52.01蜻蛉	OH_OO渋谷源氏	1260	1270	I	，	，		補助記号-読点				記号
52.01蜻蛉	OH_OO渋谷源氏	1270	1280	I	鶏	鳥	トリ	名詞-普通名詞-一般			トリ	和
52.01蜻蛉	OH_OO渋谷源氏	1280	1290	I	の	の	ノ	助詞-格助詞			ノ	和
52.01蜻蛉	OH_OO渋谷源氏	1290	1310	I	鳴く	鳴く	ナク	動詞-一般	文語四段-カ行	連体形-一般	ナク	和
52.01蜻蛉	OH_OO渋谷源氏	1310	1320	I	に	に	ニ	助詞-格助詞			ニ	和
52.01蜻蛉	OH_OO渋谷源氏	1320	1340	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
52.01蜻蛉	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
52.01蜻蛉	OH_OO渋谷源氏	1350	1380	I	出だし	出だす	イダス	動詞-非自立可能	文語四段-サ行	連用形-一般	イダシ	和
52.01蜻蛉	OH_OO渋谷源氏	1380	1400	I	立て	立てる	タテル	動詞-一般	文語下二段-タ行	未然形-一般	タテ	和
52.01蜻蛉	OH_OO渋谷源氏	1400	1420	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
