35.10若菜下	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	1300	1310	I	か	彼	カ	代名詞			カ	和
35.10若菜下	OH_OO渋谷源氏	1310	1320	I	の	の	ノ	助詞-格助詞			ノ	和
35.10若菜下	OH_OO渋谷源氏	1320	1330	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
35.10若菜下	OH_OO渋谷源氏	1330	1340	I	の	の	ノ	助詞-格助詞			ノ	和
35.10若菜下	OH_OO渋谷源氏	1340	1370	I	悩まし	悩ましい	ナヤマシイ	形容詞-一般	文語形容詞-シク	語幹-一般	ナヤマシ	和
35.10若菜下	OH_OO渋谷源氏	1370	1380	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
35.10若菜下	OH_OO渋谷源氏	1380	1390	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
35.10若菜下	OH_OO渋谷源氏	1390	1420	I	おはす	おわす	オワス	動詞-非自立可能	文語サ行変格	終止形-一般	オワス	和
35.10若菜下	OH_OO渋谷源氏	1420	1440	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
35.10若菜下	OH_OO渋谷源氏	1440	1450	I	に	に	ニ	助詞-接続助詞			ニ	和
35.10若菜下	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	1460	1480	I	とく	疾い	トイ	形容詞-一般	文語形容詞-ク	連用形-一般	トク	和
35.10若菜下	OH_OO渋谷源氏	1480	1500	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
35.10若菜下	OH_OO渋谷源氏	1500	1530	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
35.10若菜下	OH_OO渋谷源氏	1530	1540	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
35.10若菜下	OH_OO渋谷源氏	1540	1550	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
35.10若菜下	OH_OO渋谷源氏	1550	1570	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
35.10若菜下	OH_OO渋谷源氏	1570	1580	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	1580	1640	I	いとほしけれ	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	已然形-一般	イトーシケレ	和
35.10若菜下	OH_OO渋谷源氏	1640	1650	I	」	」		補助記号-括弧閉				記号
35.10若菜下	OH_OO渋谷源氏	1650	1660	B	と	と	ト	助詞-格助詞			ト	和
35.10若菜下	OH_OO渋谷源氏	1660	1690	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
35.10若菜下	OH_OO渋谷源氏	1690	1720	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
35.10若菜下	OH_OO渋谷源氏	1720	1730	I	ば	ば	バ	助詞-接続助詞			バ	和
35.10若菜下	OH_OO渋谷源氏	1730	1740	I	、	、		補助記号-読点				記号
35.10若菜下	OH_OO渋谷源氏	1740	1750	B	「	「		補助記号-括弧開				記号
35.10若菜下	OH_OO渋谷源氏	1750	1760	I	さ	然	サ	副詞			サ	和
35.10若菜下	OH_OO渋谷源氏	1760	1780	I	かし	かし	カシ	助詞-終助詞			カシ	和
35.10若菜下	OH_OO渋谷源氏	1780	1790	I	。	。		補助記号-句点				記号
35.10若菜下	OH_OO渋谷源氏	1790	1800	B	例	例	レイ	名詞-普通名詞-一般			レー	漢
35.10若菜下	OH_OO渋谷源氏	1800	1820	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
