51.05浮舟	OH_OO渋谷源氏	1300	1320	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	未然形-一般	ミエ	和
51.05浮舟	OH_OO渋谷源氏	1320	1330	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
51.05浮舟	OH_OO渋谷源氏	1330	1350	I	まで	まで	マデ	助詞-副助詞			マデ	和
51.05浮舟	OH_OO渋谷源氏	1350	1360	I	空	空	ソラ	名詞-普通名詞-一般			ソラ	和
51.05浮舟	OH_OO渋谷源氏	1360	1380	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
51.05浮舟	OH_OO渋谷源氏	1380	1410	I	暮るる	暮れる	クレル	動詞-一般	文語下二段-ラ行	連体形-一般	クルル	和
51.05浮舟	OH_OO渋谷源氏	1410	1430	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
51.05浮舟	OH_OO渋谷源氏	1430	1440	I	の	の	ノ	助詞-格助詞			ノ	和
51.05浮舟	OH_OO渋谷源氏	1440	1470	I	わびし	侘しい	ワビシイ	形容詞-一般	文語形容詞-シク	語幹-一般	ワビシ	和
51.05浮舟	OH_OO渋谷源氏	1470	1480	I	さ	さ	サ	接尾辞-名詞的-一般			サ	和
51.05浮舟	OH_OO渋谷源氏	1480	1490	I	」	」		補助記号-括弧閉				記号
51.05浮舟	OH_OO渋谷源氏	1490	1500	B	筆	筆	フデ	名詞-普通名詞-一般			フデ	和
51.05浮舟	OH_OO渋谷源氏	1500	1510	I	に	に	ニ	助詞-格助詞			ニ	和
51.05浮舟	OH_OO渋谷源氏	1510	1540	I	まかせ	任せる	マカセル	動詞-一般	文語下二段-サ行	連用形-一般	マカセ	和
51.05浮舟	OH_OO渋谷源氏	1540	1550	I	て	て	テ	助詞-接続助詞			テ	和
51.05浮舟	OH_OO渋谷源氏	1550	1570	I	書き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
51.05浮舟	OH_OO渋谷源氏	1570	1590	I	乱り	乱る	ミダル	動詞-一般	文語四段-ラ行	連用形-一般	ミダリ	和
51.05浮舟	OH_OO渋谷源氏	1590	1620	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
51.05浮舟	OH_OO渋谷源氏	1620	1630	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
51.05浮舟	OH_OO渋谷源氏	1630	1650	I	しも	しも	シモ	助詞-副助詞			シモ	和
