35.09若菜下	OH_OO渋谷源氏	1320	1350	I	あまる	余る	アマル	動詞-非自立可能	文語四段-ラ行	連体形-一般	アマル	和
35.09若菜下	OH_OO渋谷源氏	1350	1370	I	時々	時々	トキドキ	名詞-普通名詞-副詞可能			トキドキ	和
35.09若菜下	OH_OO渋谷源氏	1370	1380	I	は	は	ハ	助詞-係助詞			ワ	和
35.09若菜下	OH_OO渋谷源氏	1380	1390	I	、	、		補助記号-読点				記号
35.09若菜下	OH_OO渋谷源氏	1390	1400	I	夢	夢	ユメ	名詞-普通名詞-一般			ユメ	和
35.09若菜下	OH_OO渋谷源氏	1400	1410	I	の	の	ノ	助詞-格助詞			ノ	和
35.09若菜下	OH_OO渋谷源氏	1410	1430	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
35.09若菜下	OH_OO渋谷源氏	1430	1440	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
35.09若菜下	OH_OO渋谷源氏	1440	1450	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
35.09若菜下	OH_OO渋谷源氏	1450	1500	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
35.09若菜下	OH_OO渋谷源氏	1500	1520	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
35.09若菜下	OH_OO渋谷源氏	1520	1530	I	ど	ど	ド	助詞-接続助詞			ド	和
35.09若菜下	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
35.09若菜下	OH_OO渋谷源氏	1540	1550	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
35.09若菜下	OH_OO渋谷源氏	1550	1560	I	、	、		補助記号-読点				記号
35.09若菜下	OH_OO渋谷源氏	1560	1580	I	尽き	尽きる	ツキル	動詞-一般	文語上二段-カ行	連用形-一般	ツキ	和
35.09若菜下	OH_OO渋谷源氏	1580	1590	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
35.09若菜下	OH_OO渋谷源氏	1590	1600	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
