21.07乙女	OH_OO渋谷源氏	1310	1330	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
21.07乙女	OH_OO渋谷源氏	1330	1340	I	。	。		補助記号-句点				記号
21.07乙女	OH_OO渋谷源氏	1340	1360	B	如月	如月	キサラギ	名詞-普通名詞-一般			キサラギ	和
21.07乙女	OH_OO渋谷源氏	1360	1370	I	の	の	ノ	助詞-格助詞			ノ	和
21.07乙女	OH_OO渋谷源氏	1370	1390	I	二十	二十	ハツ	名詞-数詞			ハツ	和
21.07乙女	OH_OO渋谷源氏	1390	1400	I	日	日	カ	接尾辞-名詞的-助数詞			カ	和
21.07乙女	OH_OO渋谷源氏	1400	1430	I	あまり	余り	アマリ	名詞-普通名詞-一般			アマリ	和
21.07乙女	OH_OO渋谷源氏	1430	1440	I	、	、		補助記号-読点				記号
21.07乙女	OH_OO渋谷源氏	1440	1460	I	朱雀	スザク	スザク	名詞-固有名詞-人名-一般			スザク	固
21.07乙女	OH_OO渋谷源氏	1460	1470	I	院	院	イン	接尾辞-名詞的-一般			イン	漢
21.07乙女	OH_OO渋谷源氏	1470	1480	I	に	に	ニ	助詞-格助詞			ニ	和
21.07乙女	OH_OO渋谷源氏	1480	1500	I	行幸	行幸	ギョウコウ	名詞-普通名詞-サ変可能			ギョーゴー	漢
21.07乙女	OH_OO渋谷源氏	1500	1520	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	終止形-一般	アリ	和
21.07乙女	OH_OO渋谷源氏	1520	1530	I	。	。		補助記号-句点				記号
21.07乙女	OH_OO渋谷源氏	1530	1560	B	花盛り	花盛り	ハナザカリ	名詞-普通名詞-一般			ハナザカリ	和
21.07乙女	OH_OO渋谷源氏	1560	1570	I	は	は	ハ	助詞-係助詞			ワ	和
21.07乙女	OH_OO渋谷源氏	1570	1610	I	まだしき	未しい	マダシイ	形容詞-一般	文語形容詞-シク	連体形-一般	マダシキ	和
21.07乙女	OH_OO渋谷源氏	1610	1630	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
21.07乙女	OH_OO渋谷源氏	1630	1650	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
21.07乙女	OH_OO渋谷源氏	1650	1660	I	ど	ど	ド	助詞-接続助詞			ド	和
21.07乙女	OH_OO渋谷源氏	1660	1670	I	、	、		補助記号-読点				記号
21.07乙女	OH_OO渋谷源氏	1670	1690	I	弥生	弥生	ヤヨイ	名詞-普通名詞-一般			ヤヨイ	和
21.07乙女	OH_OO渋谷源氏	1690	1700	I	は	は	ハ	助詞-係助詞			ワ	和
21.07乙女	OH_OO渋谷源氏	1700	1720	I	故宮	故宮	コミヤ	名詞-普通名詞-一般			コミヤ	混
21.07乙女	OH_OO渋谷源氏	1720	1730	I	の	の	ノ	助詞-格助詞			ノ	和
21.07乙女	OH_OO渋谷源氏	1730	1740	I	御	御	オオン	接頭辞			オオン	和
21.07乙女	OH_OO渋谷源氏	1740	1760	I	忌月	忌月	キヅキ	名詞-普通名詞-一般			キズキ	混
21.07乙女	OH_OO渋谷源氏	1760	1780	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
21.07乙女	OH_OO渋谷源氏	1780	1790	I	。	。		補助記号-句点				記号
21.07乙女	OH_OO渋谷源氏	1790	1810	B	とく	疾い	トイ	形容詞-一般	文語形容詞-ク	連用形-一般	トク	和
21.07乙女	OH_OO渋谷源氏	1810	1830	I	開け	開ける	アケル	動詞-一般	文語下二段-カ行	連用形-一般	アケ	和
