05.01若紫	OH_OO渋谷源氏	1300	1340	I	わづらひ	患う	ワズラウ	動詞-一般	文語四段-ハ行	連用形-一般	ワズライ	和
05.01若紫	OH_OO渋谷源氏	1340	1350	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
05.01若紫	OH_OO渋谷源氏	1350	1360	I	を	を	ヲ	助詞-格助詞			オ	和
05.01若紫	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
05.01若紫	OH_OO渋谷源氏	1370	1400	I	やがて	軈て	ヤガテ	副詞			ヤガテ	和
05.01若紫	OH_OO渋谷源氏	1400	1440	I	とどむる	留める	トドメル	動詞-一般	文語下二段-マ行	連体形-一般	トドムル	和
05.01若紫	OH_OO渋谷源氏	1440	1470	I	たぐひ	類い	タグイ	名詞-普通名詞-一般			タグイ	和
05.01若紫	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
05.01若紫	OH_OO渋谷源氏	1480	1510	I	あまた	数多	アマタ	名詞-普通名詞-一般			アマタ	和
05.01若紫	OH_OO渋谷源氏	1510	1540	I	はべり	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連用形-一般	ハベリ	和
05.01若紫	OH_OO渋谷源氏	1540	1550	I	き	き	キ	助動詞	文語助動詞-キ	終止形-一般	キ	和
05.01若紫	OH_OO渋谷源氏	1550	1560	I	。	。		補助記号-句点				記号
05.01若紫	OH_OO渋谷源氏	1560	1620	B	ししこらかし	ししこらかす	シシコラカス	動詞-一般	文語四段-サ行	連用形-一般	シシコラカシ	和
05.01若紫	OH_OO渋谷源氏	1620	1640	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
05.01若紫	OH_OO渋谷源氏	1640	1650	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
05.01若紫	OH_OO渋谷源氏	1650	1660	I	は	は	ハ	助詞-係助詞			ワ	和
05.01若紫	OH_OO渋谷源氏	1660	1690	I	うたて	うたて	ウタテ	副詞			ウタテ	和
05.01若紫	OH_OO渋谷源氏	1690	1720	I	はべる	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連体形-一般	ハベル	和
05.01若紫	OH_OO渋谷源氏	1720	1730	I	を	を	ヲ	助詞-格助詞			オ	和
05.01若紫	OH_OO渋谷源氏	1730	1740	I	、	、		補助記号-読点				記号
05.01若紫	OH_OO渋谷源氏	1740	1760	I	とく	疾い	トイ	形容詞-一般	文語形容詞-ク	連用形-一般	トク	和
05.01若紫	OH_OO渋谷源氏	1760	1780	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
05.01若紫	OH_OO渋谷源氏	1780	1800	I	試み	試みる	ココロミル	動詞-一般	文語上一段-マ行	未然形-一般	ココロミ	和
05.01若紫	OH_OO渋谷源氏	1800	1820	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
05.01若紫	OH_OO渋谷源氏	1820	1850	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
05.01若紫	OH_OO渋谷源氏	1850	1860	I	め	む	ム	助動詞	文語助動詞-ム	已然形-一般	メ	和
05.01若紫	OH_OO渋谷源氏	1860	1870	I	」	」		補助記号-括弧閉				記号
05.01若紫	OH_OO渋谷源氏	1870	1890	B	など	など	ナド	助詞-副助詞			ナド	和
05.01若紫	OH_OO渋谷源氏	1890	1930	I	聞こゆれ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	已然形-一般	キコユレ	和
05.01若紫	OH_OO渋谷源氏	1930	1940	I	ば	ば	バ	助詞-接続助詞			バ	和
05.01若紫	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
05.01若紫	OH_OO渋谷源氏	1950	1970	I	召し	召し	メシ	名詞-普通名詞-一般			メシ	和
05.01若紫	OH_OO渋谷源氏	1970	1980	I	に	に	ニ	助詞-格助詞			ニ	和
05.01若紫	OH_OO渋谷源氏	1980	2010	I	遣はし	遣わす	ツカワス	動詞-一般	文語四段-サ行	連用形-一般	ツカワシ	和
05.01若紫	OH_OO渋谷源氏	2010	2030	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
05.01若紫	OH_OO渋谷源氏	2030	2040	I	に	に	ニ	助詞-接続助詞			ニ	和
