17.01絵合	OH_OO渋谷源氏	1200	1210	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
17.01絵合	OH_OO渋谷源氏	1210	1230	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.01絵合	OH_OO渋谷源氏	1230	1240	I	を	を	ヲ	助詞-格助詞			オ	和
17.01絵合	OH_OO渋谷源氏	1240	1250	I	も	も	モ	助詞-係助詞			モ	和
17.01絵合	OH_OO渋谷源氏	1250	1260	I	、	、		補助記号-読点				記号
17.01絵合	OH_OO渋谷源氏	1260	1270	I	こ	是	コ	代名詞			コ	和
17.01絵合	OH_OO渋谷源氏	1270	1280	I	の	の	ノ	助詞-格助詞			ノ	和
17.01絵合	OH_OO渋谷源氏	1280	1300	I	たび	度	タビ	名詞-普通名詞-助数詞可能			タビ	和
17.01絵合	OH_OO渋谷源氏	1300	1310	I	は	は	ハ	助詞-係助詞			ワ	和
17.01絵合	OH_OO渋谷源氏	1310	1330	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
17.01絵合	OH_OO渋谷源氏	1330	1360	I	止まり	止まる	トマル	動詞-一般	文語四段-ラ行	連用形-一般	トマリ	和
17.01絵合	OH_OO渋谷源氏	1360	1370	I	て	て	テ	助詞-接続助詞			テ	和
17.01絵合	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
17.01絵合	OH_OO渋谷源氏	1380	1400	I	ただ	唯	タダ	副詞			タダ	和
17.01絵合	OH_OO渋谷源氏	1400	1420	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
17.01絵合	OH_OO渋谷源氏	1420	1430	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
17.01絵合	OH_OO渋谷源氏	1430	1440	I	顔	顔	カオ	名詞-普通名詞-一般			カオ	和
17.01絵合	OH_OO渋谷源氏	1440	1450	I	に	に	ニ	助詞-格助詞			ニ	和
17.01絵合	OH_OO渋谷源氏	1450	1470	I	もて	以て	モテ	接頭辞			モテ	和
17.01絵合	OH_OO渋谷源氏	1470	1490	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
17.01絵合	OH_OO渋谷源氏	1490	1520	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
17.01絵合	OH_OO渋谷源氏	1520	1530	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
17.01絵合	OH_OO渋谷源氏	1530	1540	I	ど	ど	ド	助詞-接続助詞			ド	和
17.01絵合	OH_OO渋谷源氏	1540	1550	I	、	、		補助記号-読点				記号
17.01絵合	OH_OO渋谷源氏	1550	1590	I	おほかた	大方	オオカタ	名詞-普通名詞-一般			オーカタ	和
17.01絵合	OH_OO渋谷源氏	1590	1600	I	の	の	ノ	助詞-格助詞			ノ	和
17.01絵合	OH_OO渋谷源氏	1600	1620	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.01絵合	OH_OO渋谷源氏	1620	1640	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
17.01絵合	OH_OO渋谷源氏	1640	1650	I	は	は	ハ	助詞-係助詞			ワ	和
17.01絵合	OH_OO渋谷源氏	1650	1660	I	、	、		補助記号-読点				記号
17.01絵合	OH_OO渋谷源氏	1660	1680	I	とり	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
17.01絵合	OH_OO渋谷源氏	1680	1700	I	もち	持つ	モツ	動詞-一般	文語四段-タ行	連用形-一般	モチ	和
17.01絵合	OH_OO渋谷源氏	1700	1710	I	て	て	テ	助詞-接続助詞			テ	和
17.01絵合	OH_OO渋谷源氏	1710	1720	I	親	親	オヤ	名詞-普通名詞-一般			オヤ	和
17.01絵合	OH_OO渋谷源氏	1720	1740	I	めき	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-一般	メキ	和
17.01絵合	OH_OO渋谷源氏	1740	1770	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
17.01絵合	OH_OO渋谷源氏	1770	1800	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
17.01絵合	OH_OO渋谷源氏	1800	1810	I	。	。		補助記号-句点				記号
