50.01東屋	OH_OO渋谷源氏	1220	1230	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1230	1240	I	母	母	ハハ	名詞-普通名詞-一般			ハハ	和
50.01東屋	OH_OO渋谷源氏	1240	1270	I	北の方	北の方	キタノカタ	名詞-普通名詞-一般			キタノカタ	和
50.01東屋	OH_OO渋谷源氏	1270	1280	I	に	に	ニ	助詞-格助詞			ニ	和
50.01東屋	OH_OO渋谷源氏	1280	1320	I	のたまひ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	連用形-一般	ノタマイ	和
50.01東屋	OH_OO渋谷源氏	1320	1330	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
50.01東屋	OH_OO渋谷源氏	1330	1350	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
50.01東屋	OH_OO渋谷源氏	1350	1370	I	など	など	ナド	助詞-副助詞			ナド	和
50.01東屋	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1380	1420	I	たびたび	度々	タビタビ	副詞			タビタビ	和
50.01東屋	OH_OO渋谷源氏	1420	1440	I	ほの	仄	ホノ	接頭辞			ホノ	和
50.01東屋	OH_OO渋谷源氏	1440	1470	I	めかし	めかす	メカス	動詞-一般	文語四段-サ行	連用形-一般	メカシ	和
50.01東屋	OH_OO渋谷源氏	1470	1500	I	おこせ	遣せる	オコセル	動詞-一般	文語下二段-サ行	連用形-一般	オコセ	和
50.01東屋	OH_OO渋谷源氏	1500	1520	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
50.01東屋	OH_OO渋谷源氏	1520	1530	I	ど	ど	ド	助詞-接続助詞			ド	和
50.01東屋	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1540	1580	I	まめやか	まめやか	マメヤカ	形状詞-一般			マメヤカ	和
50.01東屋	OH_OO渋谷源氏	1580	1590	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
50.01東屋	OH_OO渋谷源氏	1590	1600	I	御	御	ミ	接頭辞			ミ	和
50.01東屋	OH_OO渋谷源氏	1600	1610	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
50.01東屋	OH_OO渋谷源氏	1610	1640	I	とまる	止まる	トマル	動詞-一般	文語四段-ラ行	終止形-一般	トマル	和
50.01東屋	OH_OO渋谷源氏	1640	1660	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
50.01東屋	OH_OO渋谷源氏	1660	1680	I	こと	事	コト	名詞-普通名詞-一般			コト	和
50.01東屋	OH_OO渋谷源氏	1680	1690	I	と	と	ト	助詞-格助詞			ト	和
50.01東屋	OH_OO渋谷源氏	1690	1700	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	1700	1720	I	思は	思う	オモウ	動詞-一般	文語四段-ハ行	未然形-一般	オモワ	和
50.01東屋	OH_OO渋谷源氏	1720	1730	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
50.01東屋	OH_OO渋谷源氏	1730	1740	I	ば	ば	バ	助詞-接続助詞			バ	和
50.01東屋	OH_OO渋谷源氏	1740	1750	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1750	1770	I	ただ	唯	タダ	副詞			タダ	和
50.01東屋	OH_OO渋谷源氏	1770	1780	I	，	，		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1780	1790	I	さ	然	サ	副詞			サ	和
50.01東屋	OH_OO渋谷源氏	1790	1810	I	まで	まで	マデ	助詞-副助詞			マデ	和
50.01東屋	OH_OO渋谷源氏	1810	1820	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	1820	1840	I	尋ね	尋ねる	タズネル	動詞-一般	文語下二段-ナ行	連用形-一般	タズネ	和
50.01東屋	OH_OO渋谷源氏	1840	1860	I	知り	知る	シル	動詞-一般	文語四段-ラ行	連用形-一般	シリ	和
50.01東屋	OH_OO渋谷源氏	1860	1890	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
50.01東屋	OH_OO渋谷源氏	1890	1910	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
50.01東屋	OH_OO渋谷源氏	1910	1930	I	こと	事	コト	名詞-普通名詞-一般			コト	和
50.01東屋	OH_OO渋谷源氏	1930	1940	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	1940	1950	I	と	と	ト	副詞			ト	和
50.01東屋	OH_OO渋谷源氏	1950	1980	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
50.01東屋	OH_OO渋谷源氏	1980	2020	I	をかしう	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	オカシュー	和
