39.04夕霧	OH_OO渋谷源氏	1240	1270	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
39.04夕霧	OH_OO渋谷源氏	1270	1280	I	に	に	ニ	助詞-格助詞			ニ	和
39.04夕霧	OH_OO渋谷源氏	1280	1330	I	もの悲しう	物悲しい	モノガナシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	モノガナシュー	和
39.04夕霧	OH_OO渋谷源氏	1330	1350	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
39.04夕霧	OH_OO渋谷源氏	1350	1370	I	惑へ	惑う	マドウ	動詞-一般	文語四段-ハ行	命令形	マドエ	和
39.04夕霧	OH_OO渋谷源氏	1370	1380	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
39.04夕霧	OH_OO渋谷源氏	1380	1390	I	。	。		補助記号-句点				記号
39.04夕霧	OH_OO渋谷源氏	1390	1410	B	大将	大将	タイショウ	名詞-普通名詞-一般			タイショー	漢
39.04夕霧	OH_OO渋谷源氏	1410	1420	I	殿	殿	ドノ	接尾辞-名詞的-一般			ドノ	和
39.04夕霧	OH_OO渋谷源氏	1420	1430	I	は	は	ハ	助詞-係助詞			ワ	和
39.04夕霧	OH_OO渋谷源氏	1430	1440	I	、	、		補助記号-読点				記号
39.04夕霧	OH_OO渋谷源氏	1440	1460	I	日々	日々	ヒビ	名詞-普通名詞-副詞可能			ヒビ	和
39.04夕霧	OH_OO渋谷源氏	1460	1470	I	に	に	ニ	助詞-格助詞			ニ	和
39.04夕霧	OH_OO渋谷源氏	1470	1500	I	訪らひ	訪う	トブラウ	動詞-一般	文語四段-ハ行	連用形-一般	トブライ	和
39.04夕霧	OH_OO渋谷源氏	1500	1530	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
39.04夕霧	OH_OO渋谷源氏	1530	1560	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.04夕霧	OH_OO渋谷源氏	1560	1570	I	。	。		補助記号-句点				記号
39.04夕霧	OH_OO渋谷源氏	1570	1590	B	寂し	寂しい	サビシイ	形容詞-一般	文語形容詞-シク	語幹-一般	サムシ	和
39.04夕霧	OH_OO渋谷源氏	1590	1600	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
