02.01帚木	OH_OO渋谷源氏	970	1000	I	さがな	さがない	サガナイ	形容詞-一般	文語形容詞-ク	語幹-一般	サガナ	和
02.01帚木	OH_OO渋谷源氏	1000	1010	I	さ	さ	サ	接尾辞-名詞的-一般			サ	和
02.01帚木	OH_OO渋谷源氏	1010	1020	I	よ	よ	ヨ	助詞-終助詞			ヨ	和
02.01帚木	OH_OO渋谷源氏	1020	1030	I	。	。		補助記号-句点				記号
02.01帚木	OH_OO渋谷源氏	1030	1050	B	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
02.01帚木	OH_OO渋谷源氏	1050	1060	I	は	は	ハ	助詞-係助詞			ワ	和
02.01帚木	OH_OO渋谷源氏	1060	1070	I	，	，		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1070	1090	I	いと	いと	イト	副詞			イト	和
02.01帚木	OH_OO渋谷源氏	1090	1120	I	いたく	痛く	イタク	副詞			イタク	和
02.01帚木	OH_OO渋谷源氏	1120	1130	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
02.01帚木	OH_OO渋谷源氏	1130	1140	I	を	を	ヲ	助詞-格助詞			オ	和
02.01帚木	OH_OO渋谷源氏	1140	1160	I	憚り	憚る	ハバカル	動詞-一般	文語四段-ラ行	連用形-一般	ハバカリ	和
02.01帚木	OH_OO渋谷源氏	1160	1170	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1170	1190	I	まめ	まめ	マメ	形状詞-一般			マメ	和
02.01帚木	OH_OO渋谷源氏	1190	1210	I	だち	立つ	ダツ	接尾辞-動詞的	文語四段-タ行	連用形-一般	ダチ	和
02.01帚木	OH_OO渋谷源氏	1210	1240	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
02.01帚木	OH_OO渋谷源氏	1240	1260	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
02.01帚木	OH_OO渋谷源氏	1260	1280	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
02.01帚木	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1290	1330	I	なよびか	なよびか	ナヨビカ	形状詞-一般			ナヨビカ	和
02.01帚木	OH_OO渋谷源氏	1330	1340	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
02.01帚木	OH_OO渋谷源氏	1340	1380	I	をかしき	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オカシキ	和
02.01帚木	OH_OO渋谷源氏	1380	1400	I	こと	事	コト	名詞-普通名詞-一般			コト	和
02.01帚木	OH_OO渋谷源氏	1400	1410	I	は	は	ハ	助詞-係助詞			ワ	和
02.01帚木	OH_OO渋谷源氏	1410	1430	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
02.01帚木	OH_OO渋谷源氏	1430	1440	I	て	て	テ	助詞-接続助詞			テ	和
02.01帚木	OH_OO渋谷源氏	1440	1450	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1450	1470	I	交野	カタノ	カタノ	名詞-固有名詞-地名-一般			カタノ	固
02.01帚木	OH_OO渋谷源氏	1470	1490	I	少将	少将	ショウショウ	名詞-普通名詞-一般			ショーショー	漢
02.01帚木	OH_OO渋谷源氏	1490	1500	I	に	に	ニ	助詞-格助詞			ニ	和
02.01帚木	OH_OO渋谷源氏	1500	1510	I	は	は	ハ	助詞-係助詞			ワ	和
02.01帚木	OH_OO渋谷源氏	1510	1530	I	笑は	笑う	ワラウ	動詞-一般	文語四段-ハ行	未然形-一般	ワラワ	和
02.01帚木	OH_OO渋谷源氏	1530	1540	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
02.01帚木	OH_OO渋谷源氏	1540	1570	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
02.01帚木	OH_OO渋谷源氏	1570	1590	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	終止形-一般	ケム	和
02.01帚木	OH_OO渋谷源氏	1590	1610	I	かし	かし	カシ	助詞-終助詞			カシ	和
02.01帚木	OH_OO渋谷源氏	1610	1620	I	。	。		補助記号-句点				記号
02.01帚木	OH_OO渋谷源氏	1620	1640	B	まだ	未だ	マダ	副詞			マダ	和
02.01帚木	OH_OO渋谷源氏	1640	1660	I	中将	中将	チュウジョウ	名詞-普通名詞-一般			チュージョー	漢
02.01帚木	OH_OO渋谷源氏	1660	1680	I	など	など	ナド	助詞-副助詞			ナド	和
02.01帚木	OH_OO渋谷源氏	1680	1690	I	に	に	ニ	助詞-格助詞			ニ	和
02.01帚木	OH_OO渋谷源氏	1690	1720	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
02.01帚木	OH_OO渋谷源氏	1720	1750	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
02.01帚木	OH_OO渋谷源氏	1750	1760	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
02.01帚木	OH_OO渋谷源氏	1760	1770	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
02.01帚木	OH_OO渋谷源氏	1770	1780	I	は	は	ハ	助詞-係助詞			ワ	和
02.01帚木	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1790	1810	I	内裏	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
02.01帚木	OH_OO渋谷源氏	1810	1820	I	に	に	ニ	助詞-格助詞			ニ	和
02.01帚木	OH_OO渋谷源氏	1820	1840	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
02.01帚木	OH_OO渋谷源氏	1840	1880	I	さぶらひ	侍う	サブラウ	動詞-一般	文語四段-ハ行	連用形-一般	サブライ	和
02.01帚木	OH_OO渋谷源氏	1880	1900	I	よう	良く	ヨク	副詞			ヨー	和
02.01帚木	OH_OO渋谷源氏	1900	1910	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
02.01帚木	OH_OO渋谷源氏	1910	1940	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
02.01帚木	OH_OO渋谷源氏	1940	1950	I	て	て	テ	助詞-接続助詞			テ	和
02.01帚木	OH_OO渋谷源氏	1950	1960	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	1960	1980	I	大殿	大殿	オオトノ	名詞-普通名詞-一般			オートノ	和
02.01帚木	OH_OO渋谷源氏	1980	1990	I	に	に	ニ	助詞-格助詞			ニ	和
02.01帚木	OH_OO渋谷源氏	1990	2000	I	は	は	ハ	助詞-係助詞			ワ	和
02.01帚木	OH_OO渋谷源氏	2000	2040	I	絶え絶え	絶え絶え	タエダエ	副詞			タエダエ	和
02.01帚木	OH_OO渋谷源氏	2040	2070	I	まかで	罷出でる	マカデル	動詞-一般	文語下二段-ダ行	連用形-一般	マカデ	和
02.01帚木	OH_OO渋谷源氏	2070	2100	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
02.01帚木	OH_OO渋谷源氏	2100	2110	I	。	。		補助記号-句点				記号
02.01帚木	OH_OO渋谷源氏	2110	2130	B	忍ぶ	忍	シノブ	名詞-普通名詞-一般			シノブ	和
02.01帚木	OH_OO渋谷源氏	2130	2140	I	の	の	ノ	助詞-格助詞			ノ	和
02.01帚木	OH_OO渋谷源氏	2140	2160	I	乱れ	乱れ	ミダレ	名詞-普通名詞-一般			ミダレ	和
02.01帚木	OH_OO渋谷源氏	2160	2170	I	や	や	ヤ	助詞-係助詞			ヤ	和
02.01帚木	OH_OO渋谷源氏	2170	2180	I	と	と	ト	助詞-格助詞			ト	和
02.01帚木	OH_OO渋谷源氏	2180	2190	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	2190	2210	I	疑ひ	疑う	ウタガウ	動詞-一般	文語四段-ハ行	連用形-一般	ウタガイ	和
02.01帚木	OH_OO渋谷源氏	2210	2250	I	きこゆる	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連体形-一般	キコユル	和
02.01帚木	OH_OO渋谷源氏	2250	2270	I	こと	事	コト	名詞-普通名詞-一般			コト	和
02.01帚木	OH_OO渋谷源氏	2270	2280	I	も	も	モ	助詞-係助詞			モ	和
02.01帚木	OH_OO渋谷源氏	2280	2300	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
02.01帚木	OH_OO渋谷源氏	2300	2320	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
02.01帚木	OH_OO渋谷源氏	2320	2330	I	ど	ど	ド	助詞-接続助詞			ド	和
02.01帚木	OH_OO渋谷源氏	2330	2340	I	、	、		補助記号-読点				記号
02.01帚木	OH_OO渋谷源氏	2340	2350	I	さ	然	サ	副詞			サ	和
02.01帚木	OH_OO渋谷源氏	2350	2370	I	しも	しも	シモ	助詞-副助詞			シモ	和
02.01帚木	OH_OO渋谷源氏	2370	2390	I	あだ	徒	アダ	名詞-普通名詞-一般			アダ	和
02.01帚木	OH_OO渋谷源氏	2390	2410	I	めき	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-一般	メキ	和
02.01帚木	OH_OO渋谷源氏	2410	2440	I	目馴れ	目慣れる	メナレル	動詞-一般	文語下二段-ラ行	連用形-一般	メナレ	和
