49.07宿木	OH_OO渋谷源氏	1230	1250	I	こと	事	コト	名詞-普通名詞-一般			コト	和
49.07宿木	OH_OO渋谷源氏	1250	1260	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	1260	1280	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	未然形-一般	ミエ	和
49.07宿木	OH_OO渋谷源氏	1280	1290	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
49.07宿木	OH_OO渋谷源氏	1290	1300	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	1300	1320	B	見る	見る	ミル	動詞-非自立可能	文語上一段-マ行	連体形-一般	ミル	和
49.07宿木	OH_OO渋谷源氏	1320	1330	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	1330	1340	I	は	は	ハ	助詞-係助詞			ワ	和
49.07宿木	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	1350	1370	I	まづ	先ず	マズ	副詞			マズ	和
49.07宿木	OH_OO渋谷源氏	1370	1390	I	かき	掻き	カキ	接頭辞			カキ	和
49.07宿木	OH_OO渋谷源氏	1390	1420	I	くらし	暮らす	クラス	動詞-一般	文語四段-サ行	連用形-一般	クラシ	和
49.07宿木	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	1430	1460	I	悲しき	悲しい	カナシイ	形容詞-一般	文語形容詞-シク	連体形-一般	カナシキ	和
49.07宿木	OH_OO渋谷源氏	1460	1480	I	こと	事	コト	名詞-普通名詞-一般			コト	和
49.07宿木	OH_OO渋谷源氏	1480	1490	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
49.07宿木	OH_OO渋谷源氏	1490	1530	I	限りなき	限り無い	カギリナイ	形容詞-一般	文語形容詞-ク	連体形-一般	カギリナキ	和
49.07宿木	OH_OO渋谷源氏	1530	1540	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	1540	1550	B	弁	弁	ベン	名詞-普通名詞-一般			ベン	漢
49.07宿木	OH_OO渋谷源氏	1550	1560	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	1560	1570	I	尼	尼	アマ	名詞-普通名詞-一般			アマ	和
49.07宿木	OH_OO渋谷源氏	1570	1590	I	召し	召す	メス	動詞-一般	文語四段-サ行	連用形-一般	メシ	和
49.07宿木	OH_OO渋谷源氏	1590	1610	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
49.07宿木	OH_OO渋谷源氏	1610	1630	I	たれ	たり	タリ	助動詞	文語助動詞-タリ-完了	已然形-一般	タレ	和
49.07宿木	OH_OO渋谷源氏	1630	1640	I	ば	ば	バ	助詞-接続助詞			バ	和
49.07宿木	OH_OO渋谷源氏	1640	1650	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	1650	1670	I	障子	障子	ショウジ	名詞-普通名詞-一般			ソージ	漢
49.07宿木	OH_OO渋谷源氏	1670	1680	I	口	口	クチ	名詞-普通名詞-一般			クチ	和
49.07宿木	OH_OO渋谷源氏	1680	1690	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	1690	1700	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	1700	1720	I	青鈍	青鈍	アオニビ	名詞-普通名詞-一般			アオニビ	和
49.07宿木	OH_OO渋谷源氏	1720	1730	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	1730	1750	I	几帳	几帳	キチョウ	名詞-普通名詞-一般			キチョー	漢
49.07宿木	OH_OO渋谷源氏	1750	1770	I	さし	差し	サシ	接頭辞			サシ	和
49.07宿木	OH_OO渋谷源氏	1770	1790	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
49.07宿木	OH_OO渋谷源氏	1790	1800	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	1800	1820	I	参れ	参る	マイル	動詞-非自立可能	文語四段-ラ行	命令形	マイレ	和
