38.03鈴虫	OH_OO渋谷源氏	1090	1110	I	承り	承る	ウケタマワル	動詞-一般	文語四段-ラ行	連用形-一般	ウケタマワリ	和
38.03鈴虫	OH_OO渋谷源氏	1110	1140	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
38.03鈴虫	OH_OO渋谷源氏	1140	1180	I	まほしう	まほし	マホシ	助動詞	文語形容詞-シク	連用形-ウ音便	マホシュー	和
38.03鈴虫	OH_OO渋谷源氏	1180	1200	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
38.03鈴虫	OH_OO渋谷源氏	1200	1240	I	たまふる	給える	タマエル	動詞-非自立可能	文語下二段-ハ行	連体形-一般	タマウル	和
38.03鈴虫	OH_OO渋谷源氏	1240	1250	I	に	に	ニ	助詞-接続助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	1250	1260	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	1260	1270	I	何	何	ナニ	代名詞			ナニ	和
38.03鈴虫	OH_OO渋谷源氏	1270	1280	I	に	に	ニ	助詞-格助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	1280	1290	I	も	も	モ	助詞-係助詞			モ	和
38.03鈴虫	OH_OO渋谷源氏	1290	1310	I	つか	付く	ツク	動詞-非自立可能	文語四段-カ行	未然形-一般	ツカ	和
38.03鈴虫	OH_OO渋谷源氏	1310	1320	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
38.03鈴虫	OH_OO渋谷源氏	1320	1330	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
38.03鈴虫	OH_OO渋谷源氏	1330	1340	I	の	の	ノ	助詞-格助詞			ノ	和
38.03鈴虫	OH_OO渋谷源氏	1340	1380	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
38.03鈴虫	OH_OO渋谷源氏	1380	1390	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
38.03鈴虫	OH_OO渋谷源氏	1390	1400	I	て	て	テ	助詞-接続助詞			テ	和
38.03鈴虫	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	1410	1440	I	さすが	流石	サスガ	形状詞-一般			サスガ	和
38.03鈴虫	OH_OO渋谷源氏	1440	1450	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
38.03鈴虫	OH_OO渋谷源氏	1450	1510	I	うひうひしく	初々しい	ウイウイシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ウイウイシク	和
38.03鈴虫	OH_OO渋谷源氏	1510	1520	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	1520	1550	I	所狭く	所狭い	トコロセイ	形容詞-一般	文語形容詞-ク	連用形-一般	トコロセク	和
38.03鈴虫	OH_OO渋谷源氏	1550	1560	I	も	も	モ	助詞-係助詞			モ	和
38.03鈴虫	OH_OO渋谷源氏	1560	1590	I	はべり	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連用形-一般	ハベリ	和
38.03鈴虫	OH_OO渋谷源氏	1590	1600	I	て	て	テ	助詞-接続助詞			テ	和
38.03鈴虫	OH_OO渋谷源氏	1600	1620	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
38.03鈴虫	OH_OO渋谷源氏	1620	1630	I	。	。		補助記号-句点				記号
38.03鈴虫	OH_OO渋谷源氏	1630	1640	B	我	我	ワレ	代名詞			ワレ	和
38.03鈴虫	OH_OO渋谷源氏	1640	1660	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
38.03鈴虫	OH_OO渋谷源氏	1660	1670	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
38.03鈴虫	OH_OO渋谷源氏	1670	1680	I	の	の	ノ	助詞-格助詞			ノ	和
38.03鈴虫	OH_OO渋谷源氏	1680	1710	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
38.03鈴虫	OH_OO渋谷源氏	1710	1720	I	に	に	ニ	助詞-格助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	1720	1730	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	1730	1750	I	方々	方々	カタガタ	名詞-普通名詞-一般			カタガタ	和
38.03鈴虫	OH_OO渋谷源氏	1750	1760	I	に	に	ニ	助詞-格助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	1760	1780	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
38.03鈴虫	OH_OO渋谷源氏	1780	1790	I	て	て	テ	助詞-接続助詞			テ	和
38.03鈴虫	OH_OO渋谷源氏	1790	1810	I	後れ	遅れる	オクレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	オクレ	和
38.03鈴虫	OH_OO渋谷源氏	1810	1830	I	ゆく	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
38.03鈴虫	OH_OO渋谷源氏	1830	1850	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
38.03鈴虫	OH_OO渋谷源氏	1850	1860	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
38.03鈴虫	OH_OO渋谷源氏	1860	1890	I	はべる	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連体形-一般	ハベル	和
38.03鈴虫	OH_OO渋谷源氏	1890	1900	I	も	も	モ	助詞-係助詞			モ	和
38.03鈴虫	OH_OO渋谷源氏	1900	1910	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	1910	1930	I	いと	いと	イト	副詞			イト	和
38.03鈴虫	OH_OO渋谷源氏	1930	1960	I	常なき	常無い	ツネナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ツネナキ	和
38.03鈴虫	OH_OO渋谷源氏	1960	1970	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
