27.01篝火	OH_OO渋谷源氏	1080	1110	I	かこと	託言	カゴト	名詞-普通名詞-一般			カコト	和
27.01篝火	OH_OO渋谷源氏	1110	1120	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
27.01篝火	OH_OO渋谷源氏	1120	1130	I	て	て	テ	助詞-接続助詞			テ	和
27.01篝火	OH_OO渋谷源氏	1130	1140	I	も	も	モ	助詞-係助詞			モ	和
27.01篝火	OH_OO渋谷源氏	1140	1150	I	、	、		補助記号-読点				記号
27.01篝火	OH_OO渋谷源氏	1150	1160	I	さ	然	サ	副詞			サ	和
27.01篝火	OH_OO渋谷源氏	1160	1190	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
27.01篝火	OH_OO渋谷源氏	1190	1200	I	に	に	ニ	助詞-格助詞			ニ	和
27.01篝火	OH_OO渋谷源氏	1200	1220	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
27.01篝火	OH_OO渋谷源氏	1220	1250	I	めかし	めかす	メカス	動詞-一般	文語四段-サ行	連用形-一般	メカシ	和
27.01篝火	OH_OO渋谷源氏	1250	1270	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
27.01篝火	OH_OO渋谷源氏	1270	1280	I	て	て	テ	助詞-接続助詞			テ	和
27.01篝火	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
27.01篝火	OH_OO渋谷源氏	1290	1310	I	かく	斯く	カク	副詞			カク	和
27.01篝火	OH_OO渋谷源氏	1310	1320	I	，	，		補助記号-読点				記号
27.01篝火	OH_OO渋谷源氏	1320	1330	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
27.01篝火	OH_OO渋谷源氏	1330	1340	I	に	に	ニ	助詞-格助詞			ニ	和
27.01篝火	OH_OO渋谷源氏	1340	1360	I	見せ	見せる	ミセル	動詞-非自立可能	文語下二段-サ行	連用形-一般	ミセ	和
27.01篝火	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
27.01篝火	OH_OO渋谷源氏	1370	1390	I	言ひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
27.01篝火	OH_OO渋谷源氏	1390	1410	I	伝へ	伝える	ツタエル	動詞-一般	文語下二段-ハ行	未然形-一般	ツタエ	和
27.01篝火	OH_OO渋谷源氏	1410	1440	I	らるる	られる	ラレル	助動詞	文語下二段-ラ行	連体形-一般	ラルル	和
27.01篝火	OH_OO渋谷源氏	1440	1460	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
27.01篝火	OH_OO渋谷源氏	1460	1470	I	、	、		補助記号-読点				記号
27.01篝火	OH_OO渋谷源氏	1470	1490	I	心得	心得る	ココロエル	動詞-一般	文語下二段-ア行	未然形-一般	ココロエ	和
27.01篝火	OH_OO渋谷源氏	1490	1500	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
27.01篝火	OH_OO渋谷源氏	1500	1520	I	こと	事	コト	名詞-普通名詞-一般			コト	和
