30.02藤袴	OH_OO渋谷源氏	1160	1170	I	と	と	ト	助詞-格助詞			ト	和
30.02藤袴	OH_OO渋谷源氏	1170	1180	I	、	、		補助記号-読点				記号
30.02藤袴	OH_OO渋谷源氏	1180	1210	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
30.02藤袴	OH_OO渋谷源氏	1210	1220	I	は	は	ハ	助詞-係助詞			ワ	和
30.02藤袴	OH_OO渋谷源氏	1220	1250	I	をかし	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	語幹-一般	オカシ	和
30.02藤袴	OH_OO渋谷源氏	1250	1270	I	がる	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連体形-一般	ガル	和
30.02藤袴	OH_OO渋谷源氏	1270	1280	I	に	に	ニ	助詞-接続助詞			ニ	和
30.02藤袴	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
30.02藤袴	OH_OO渋谷源氏	1290	1300	I	殿	殿	トノ	名詞-普通名詞-一般			トノ	和
30.02藤袴	OH_OO渋谷源氏	1300	1310	I	の	の	ノ	助詞-格助詞			ノ	和
30.02藤袴	OH_OO渋谷源氏	1310	1320	I	御	御	オオン	接頭辞			オオン	和
30.02藤袴	OH_OO渋谷源氏	1320	1330	I	使	使い	ツカイ	名詞-普通名詞-一般			ツカイ	和
30.02藤袴	OH_OO渋谷源氏	1330	1340	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
30.02藤袴	OH_OO渋谷源氏	1340	1350	I	て	て	テ	助詞-接続助詞			テ	和
30.02藤袴	OH_OO渋谷源氏	1350	1380	I	おはし	おわす	オワス	動詞-非自立可能	文語サ行変格	連用形-一般	オワシ	和
30.02藤袴	OH_OO渋谷源氏	1380	1400	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
30.02藤袴	OH_OO渋谷源氏	1400	1410	I	。	。		補助記号-句点				記号
30.02藤袴	OH_OO渋谷源氏	1410	1430	B	なほ	猶	ナオ	副詞			ナオ	和
30.02藤袴	OH_OO渋谷源氏	1430	1450	I	もて	以て	モテ	接頭辞			モテ	和
30.02藤袴	OH_OO渋谷源氏	1450	1470	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	未然形-一般	イデ	和
30.02藤袴	OH_OO渋谷源氏	1470	1480	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
30.02藤袴	OH_OO渋谷源氏	1480	1490	I	、	、		補助記号-読点				記号
30.02藤袴	OH_OO渋谷源氏	1490	1530	I	忍びやか	忍びやか	シノビヤカ	形状詞-一般			シノビヤカ	和
30.02藤袴	OH_OO渋谷源氏	1530	1540	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
30.02藤袴	OH_OO渋谷源氏	1540	1550	I	御	御	オオン	接頭辞			オオン	和
