34.09若菜上	OH_OO渋谷源氏	1240	1260	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
34.09若菜上	OH_OO渋谷源氏	1260	1280	I	やら	遣る	ヤル	動詞-非自立可能	文語四段-ラ行	未然形-一般	ヤラ	和
34.09若菜上	OH_OO渋谷源氏	1280	1290	I	る	れる	レル	助動詞	文語下二段-ラ行	終止形-一般	ル	和
34.09若菜上	OH_OO渋谷源氏	1290	1300	I	。	。		補助記号-句点				記号
34.09若菜上	OH_OO渋谷源氏	1300	1320	B	最勝	最勝	サイショウ	名詞-普通名詞-一般			サイショー	漢
34.09若菜上	OH_OO渋谷源氏	1320	1330	I	王	王	オウ	名詞-普通名詞-一般			オー	漢
34.09若菜上	OH_OO渋谷源氏	1330	1340	I	経	経	キョウ	名詞-普通名詞-一般			キョー	漢
34.09若菜上	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
34.09若菜上	OH_OO渋谷源氏	1350	1370	I	金剛	金剛	コンゴウ	名詞-普通名詞-一般			コンゴー	漢
34.09若菜上	OH_OO渋谷源氏	1370	1390	I	般若	般若	ハンニャ	名詞-普通名詞-一般			ハンニャ	外
34.09若菜上	OH_OO渋谷源氏	1390	1400	I	、	、		補助記号-読点				記号
34.09若菜上	OH_OO渋谷源氏	1400	1420	I	寿命	寿命	ジュミョウ	名詞-普通名詞-一般			ズミョー	漢
34.09若菜上	OH_OO渋谷源氏	1420	1430	I	経	経	キョウ	名詞-普通名詞-一般			キョー	漢
34.09若菜上	OH_OO渋谷源氏	1430	1450	I	など	など	ナド	助詞-副助詞			ナド	和
34.09若菜上	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
34.09若菜上	OH_OO渋谷源氏	1460	1480	I	いと	いと	イト	副詞			イト	和
34.09若菜上	OH_OO渋谷源氏	1480	1520	I	ゆたけき	豊けい	ユタケイ	形容詞-一般	文語形容詞-ク	連体形-一般	ユタケキ	和
34.09若菜上	OH_OO渋谷源氏	1520	1530	I	御	御	オオン	接頭辞			オオン	和
