51.03浮舟	OH_OO渋谷源氏	1350	1360	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
51.03浮舟	OH_OO渋谷源氏	1360	1370	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	1370	1380	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	1380	1410	I	おはす	おわす	オワス	動詞-非自立可能	文語サ行変格	終止形-一般	オワス	和
51.03浮舟	OH_OO渋谷源氏	1410	1420	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	1420	1430	B	「	「		補助記号-括弧開				記号
51.03浮舟	OH_OO渋谷源氏	1430	1480	I	めづらしく	珍しい	メズラシイ	形容詞-一般	文語形容詞-シク	連用形-一般	メズラシク	和
51.03浮舟	OH_OO渋谷源氏	1480	1510	I	をかし	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	終止形-一般	オカシ	和
51.03浮舟	OH_OO渋谷源氏	1510	1520	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	1520	1530	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
51.03浮舟	OH_OO渋谷源氏	1530	1560	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
51.03浮舟	OH_OO渋谷源氏	1560	1570	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
51.03浮舟	OH_OO渋谷源氏	1570	1580	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
51.03浮舟	OH_OO渋谷源氏	1580	1600	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
51.03浮舟	OH_OO渋谷源氏	1600	1610	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	1620	1640	I	また	又	マタ	副詞			マタ	和
51.03浮舟	OH_OO渋谷源氏	1640	1660	I	これ	此れ	コレ	代名詞			コレ	和
51.03浮舟	OH_OO渋谷源氏	1660	1670	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	1670	1690	I	なほ	猶	ナオ	副詞			ナオ	和
51.03浮舟	OH_OO渋谷源氏	1690	1710	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
51.03浮舟	OH_OO渋谷源氏	1710	1740	I	がたき	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連体形-一般	ガタキ	和
51.03浮舟	OH_OO渋谷源氏	1740	1760	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
51.03浮舟	OH_OO渋谷源氏	1760	1770	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	1770	1780	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
51.03浮舟	OH_OO渋谷源氏	1780	1810	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
51.03浮舟	OH_OO渋谷源氏	1810	1820	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
51.03浮舟	OH_OO渋谷源氏	1820	1840	I	かし	かし	カシ	助詞-終助詞			カシ	和
51.03浮舟	OH_OO渋谷源氏	1840	1850	I	」	」		補助記号-括弧閉				記号
51.03浮舟	OH_OO渋谷源氏	1850	1860	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	1860	1870	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
51.03浮舟	OH_OO渋谷源氏	1870	1900	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
51.03浮舟	OH_OO渋谷源氏	1900	1920	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
51.03浮舟	OH_OO渋谷源氏	1920	1940	I	から	から	カラ	助詞-格助詞			カラ	和
51.03浮舟	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	1950	1970	I	いと	いと	イト	副詞			イト	和
51.03浮舟	OH_OO渋谷源氏	1970	1990	I	よく	良く	ヨク	副詞			ヨク	和
51.03浮舟	OH_OO渋谷源氏	1990	2000	I	似	似る	ニル	動詞-一般	文語上一段-ナ行	連用形-一般	ニ	和
51.03浮舟	OH_OO渋谷源氏	2000	2020	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
51.03浮舟	OH_OO渋谷源氏	2020	2030	I	を	を	ヲ	助詞-格助詞			オ	和
51.03浮舟	OH_OO渋谷源氏	2030	2050	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
51.03浮舟	OH_OO渋谷源氏	2050	2070	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
51.03浮舟	OH_OO渋谷源氏	2070	2100	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
51.03浮舟	OH_OO渋谷源氏	2100	2110	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	2110	2120	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2120	2130	I	胸	胸	ムネ	名詞-普通名詞-一般			ムネ	和
51.03浮舟	OH_OO渋谷源氏	2130	2160	I	塞がれ	塞がる	フサガル	動詞-一般	文語四段-ラ行	已然形-一般	フタガレ	和
51.03浮舟	OH_OO渋谷源氏	2160	2170	I	ば	ば	バ	助詞-接続助詞			バ	和
51.03浮舟	OH_OO渋谷源氏	2170	2180	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2180	2210	I	いたく	痛く	イタク	副詞			イタク	和
51.03浮舟	OH_OO渋谷源氏	2210	2230	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
51.03浮舟	OH_OO渋谷源氏	2230	2250	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
51.03浮舟	OH_OO渋谷源氏	2250	2270	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
51.03浮舟	OH_OO渋谷源氏	2270	2290	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
51.03浮舟	OH_OO渋谷源氏	2290	2300	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	2300	2310	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	2310	2320	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2320	2340	I	御帳	御帳	ミチョウ	名詞-普通名詞-一般			ミチョー	混
51.03浮舟	OH_OO渋谷源氏	2340	2350	I	に	に	ニ	助詞-格助詞			ニ	和
51.03浮舟	OH_OO渋谷源氏	2350	2370	I	入り	入る	イル	動詞-一般	文語四段-ラ行	連用形-一般	イリ	和
51.03浮舟	OH_OO渋谷源氏	2370	2380	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	2380	2430	I	大殿籠もる	大殿籠る	オオトノゴモル	動詞-一般	文語四段-ラ行	終止形-一般	オートノゴモル	和
51.03浮舟	OH_OO渋谷源氏	2430	2440	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	2440	2450	B	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
51.03浮舟	OH_OO渋谷源氏	2450	2460	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
51.03浮舟	OH_OO渋谷源氏	2460	2470	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	2470	2480	I	率	率る	イル	動詞-一般	文語上一段-ワ行	連用形-一般	イ	和
51.03浮舟	OH_OO渋谷源氏	2480	2490	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	2490	2510	I	入り	入る	イル	動詞-一般	文語四段-ラ行	連用形-一般	イリ	和
51.03浮舟	OH_OO渋谷源氏	2510	2540	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
51.03浮舟	OH_OO渋谷源氏	2540	2570	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
51.03浮舟	OH_OO渋谷源氏	2570	2580	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	2580	2590	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2590	2600	B	「	「		補助記号-括弧開				記号
51.03浮舟	OH_OO渋谷源氏	2600	2620	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
51.03浮舟	OH_OO渋谷源氏	2620	2640	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
51.03浮舟	OH_OO渋谷源氏	2640	2660	I	いと	いと	イト	副詞			イト	和
51.03浮舟	OH_OO渋谷源氏	2660	2700	I	悪しけれ	悪しい	アシイ	形容詞-一般	文語形容詞-シク	已然形-一般	アシケレ	和
51.03浮舟	OH_OO渋谷源氏	2700	2710	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	2710	2730	B	いか	如何	イカ	名詞-普通名詞-一般			イカ	和
51.03浮舟	OH_OO渋谷源氏	2730	2750	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
51.03浮舟	OH_OO渋谷源氏	2750	2760	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
51.03浮舟	OH_OO渋谷源氏	2760	2770	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	2770	2790	I	する	為る	スル	動詞-非自立可能	文語サ行変格	連体形-一般	スル	和
51.03浮舟	OH_OO渋谷源氏	2790	2800	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
51.03浮舟	OH_OO渋谷源氏	2800	2810	I	か	か	カ	助詞-係助詞			カ	和
51.03浮舟	OH_OO渋谷源氏	2810	2820	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	2820	2830	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2830	2860	I	心細く	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロボソク	和
51.03浮舟	OH_OO渋谷源氏	2860	2880	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
51.03浮舟	OH_OO渋谷源氏	2880	2900	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
51.03浮舟	OH_OO渋谷源氏	2900	2910	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	2910	2930	B	まろ	麻呂	マロ	代名詞			マロ	和
51.03浮舟	OH_OO渋谷源氏	2930	2940	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	2940	2950	I	，	，		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	2950	2990	I	いみじく	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連用形-一般	イミジク	和
51.03浮舟	OH_OO渋谷源氏	2990	3020	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
51.03浮舟	OH_OO渋谷源氏	3020	3030	I	と	と	ト	助詞-格助詞			ト	和
51.03浮舟	OH_OO渋谷源氏	3030	3040	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
51.03浮舟	OH_OO渋谷源氏	3040	3060	I	置い	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-イ音便	オイ	和
51.03浮舟	OH_OO渋谷源氏	3060	3110	I	たてまつる	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	終止形-一般	タテマツル	和
51.03浮舟	OH_OO渋谷源氏	3110	3130	I	とも	とも	トモ	助詞-接続助詞			トモ	和
51.03浮舟	OH_OO渋谷源氏	3130	3140	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	3140	3150	I	御	御	オオン	接頭辞			オオン	和
51.03浮舟	OH_OO渋谷源氏	3150	3190	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
51.03浮舟	OH_OO渋谷源氏	3190	3200	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	3200	3220	I	いと	いと	イト	副詞			イト	和
51.03浮舟	OH_OO渋谷源氏	3220	3240	I	とく	疾い	トイ	形容詞-一般	文語形容詞-ク	連用形-一般	トク	和
51.03浮舟	OH_OO渋谷源氏	3240	3270	I	変はり	変わる	カワル	動詞-一般	文語四段-ラ行	連用形-一般	カワリ	和
51.03浮舟	OH_OO渋谷源氏	3270	3280	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
51.03浮舟	OH_OO渋谷源氏	3280	3290	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
51.03浮舟	OH_OO渋谷源氏	3290	3310	I	かし	かし	カシ	助詞-終助詞			カシ	和
51.03浮舟	OH_OO渋谷源氏	3310	3320	I	。	。		補助記号-句点				記号
51.03浮舟	OH_OO渋谷源氏	3320	3330	B	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
51.03浮舟	OH_OO渋谷源氏	3330	3340	I	の	の	ノ	助詞-格助詞			ノ	和
51.03浮舟	OH_OO渋谷源氏	3340	3360	I	本意	本意	ホンイ	名詞-普通名詞-一般			ホンイ	漢
51.03浮舟	OH_OO渋谷源氏	3360	3370	I	は	は	ハ	助詞-係助詞			ワ	和
51.03浮舟	OH_OO渋谷源氏	3370	3380	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	3380	3420	I	かならず	必ず	カナラズ	副詞			カナラズ	和
51.03浮舟	OH_OO渋谷源氏	3420	3450	I	かなふ	適う	カナウ	動詞-一般	文語四段-ハ行	終止形-一般	カナウ	和
51.03浮舟	OH_OO渋谷源氏	3450	3470	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-伝聞	已然形-一般	ナレ	和
51.03浮舟	OH_OO渋谷源氏	3470	3480	I	ば	ば	バ	助詞-接続助詞			バ	和
