35.08若菜下	OH_OO渋谷源氏	1200	1220	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
35.08若菜下	OH_OO渋谷源氏	1220	1230	I	の	の	ノ	助詞-格助詞			ノ	和
35.08若菜下	OH_OO渋谷源氏	1230	1280	I	心もとなき	心許ない	ココロモトナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ココロモトナキ	和
35.08若菜下	OH_OO渋谷源氏	1280	1290	I	に	に	ニ	助詞-格助詞			ニ	和
35.08若菜下	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
35.08若菜下	OH_OO渋谷源氏	1300	1320	I	げに	実に	ゲニ	副詞			ゲニ	和
35.08若菜下	OH_OO渋谷源氏	1320	1330	I	か	彼	カ	代名詞			カ	和
35.08若菜下	OH_OO渋谷源氏	1330	1340	I	の	の	ノ	助詞-格助詞			ノ	和
35.08若菜下	OH_OO渋谷源氏	1340	1350	I	院	院	イン	名詞-普通名詞-一般			イン	漢
35.08若菜下	OH_OO渋谷源氏	1350	1360	I	は	は	ハ	助詞-係助詞			ワ	和
35.08若菜下	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
35.08若菜下	OH_OO渋谷源氏	1370	1400	I	ほとり	辺	ホトリ	名詞-普通名詞-一般			ホトリ	和
35.08若菜下	OH_OO渋谷源氏	1400	1410	I	の	の	ノ	助詞-格助詞			ノ	和
35.08若菜下	OH_OO渋谷源氏	1410	1430	I	大路	大路	オオジ	名詞-普通名詞-一般			オージ	和
35.08若菜下	OH_OO渋谷源氏	1430	1450	I	まで	まで	マデ	助詞-副助詞			マデ	和
35.08若菜下	OH_OO渋谷源氏	1450	1460	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
35.08若菜下	OH_OO渋谷源氏	1460	1480	I	立ち	立つ	タツ	動詞-一般	文語四段-タ行	連用形-一般	タチ	和
35.08若菜下	OH_OO渋谷源氏	1480	1500	I	騒ぎ	騒ぐ	サワグ	動詞-一般	文語四段-ガ行	連用形-一般	サワギ	和
35.08若菜下	OH_OO渋谷源氏	1500	1520	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
35.08若菜下	OH_OO渋谷源氏	1520	1530	I	。	。		補助記号-句点				記号
35.08若菜下	OH_OO渋谷源氏	1530	1540	B	殿	殿	トノ	名詞-普通名詞-一般			トノ	和
35.08若菜下	OH_OO渋谷源氏	1540	1550	I	の	の	ノ	助詞-格助詞			ノ	和
35.08若菜下	OH_OO渋谷源氏	1550	1570	I	うち	打ち	ウチ	接頭辞			ウチ	和
35.08若菜下	OH_OO渋谷源氏	1570	1590	I	泣き	泣く	ナク	動詞-一般	文語四段-カ行	連用形-一般	ナキ	和
35.08若菜下	OH_OO渋谷源氏	1590	1630	I	ののしる	罵る	ノノシル	動詞-一般	文語四段-ラ行	連体形-一般	ノノシル	和
35.08若菜下	OH_OO渋谷源氏	1630	1660	I	けはひ	気配	ケハイ	名詞-普通名詞-一般			ケワイ	和
35.08若菜下	OH_OO渋谷源氏	1660	1670	I	、	、		補助記号-読点				記号
35.08若菜下	OH_OO渋谷源氏	1670	1690	I	いと	いと	イト	副詞			イト	和
35.08若菜下	OH_OO渋谷源氏	1690	1740	I	まがまがし	禍々しい	マガマガシイ	形容詞-一般	文語形容詞-シク	終止形-一般	マガマガシ	和
35.08若菜下	OH_OO渋谷源氏	1740	1750	I	。	。		補助記号-句点				記号
35.08若菜下	OH_OO渋谷源氏	1750	1760	B	我	我	ワレ	代名詞			ワレ	和
35.08若菜下	OH_OO渋谷源氏	1760	1770	I	に	に	ニ	助詞-格助詞			ニ	和
35.08若菜下	OH_OO渋谷源氏	1770	1780	I	も	も	モ	助詞-係助詞			モ	和
35.08若菜下	OH_OO渋谷源氏	1780	1800	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
35.08若菜下	OH_OO渋谷源氏	1800	1810	I	で	で	デ	助詞-接続助詞			デ	和
