04.04夕顔	OH_OO渋谷源氏	1140	1150	I	に	に	ニ	助詞-格助詞			ニ	和
04.04夕顔	OH_OO渋谷源氏	1150	1180	I	わたり	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
04.04夕顔	OH_OO渋谷源氏	1180	1190	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
04.04夕顔	OH_OO渋谷源氏	1190	1210	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
04.04夕顔	OH_OO渋谷源氏	1210	1220	I	、	、		補助記号-読点				記号
04.04夕顔	OH_OO渋谷源氏	1220	1230	I	車	車	クルマ	名詞-普通名詞-一般			クルマ	和
04.04夕顔	OH_OO渋谷源氏	1230	1240	I	の	の	ノ	助詞-格助詞			ノ	和
04.04夕顔	OH_OO渋谷源氏	1240	1250	I	音	音	オト	名詞-普通名詞-一般			オト	和
04.04夕顔	OH_OO渋谷源氏	1250	1270	I	すれ	為る	スル	動詞-非自立可能	文語サ行変格	已然形-一般	スレ	和
04.04夕顔	OH_OO渋谷源氏	1270	1280	I	ば	ば	バ	助詞-接続助詞			バ	和
04.04夕顔	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
04.04夕顔	OH_OO渋谷源氏	1290	1310	I	若き	若い	ワカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワカキ	和
04.04夕顔	OH_OO渋谷源氏	1310	1320	I	者	者	モノ	名詞-普通名詞-一般			モノ	和
04.04夕顔	OH_OO渋谷源氏	1320	1340	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
04.04夕顔	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
04.04夕顔	OH_OO渋谷源氏	1350	1370	I	覗き	覗き	ノゾキ	名詞-普通名詞-一般			ノゾキ	和
04.04夕顔	OH_OO渋谷源氏	1370	1390	I	など	など	ナド	助詞-副助詞			ナド	和
04.04夕顔	OH_OO渋谷源氏	1390	1400	I	す	為る	スル	動詞-非自立可能	文語サ行変格	終止形-一般	ス	和
04.04夕顔	OH_OO渋谷源氏	1400	1420	I	べか	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-撥音便	ベカン	和
04.04夕顔	OH_OO渋谷源氏	1420	1440	I	める	めり	メリ	助動詞	文語助動詞-メリ	連体形-一般	メル	和
04.04夕顔	OH_OO渋谷源氏	1440	1450	I	に	に	ニ	助詞-接続助詞			ニ	和
04.04夕顔	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
04.04夕顔	OH_OO渋谷源氏	1460	1470	I	こ	是	コ	代名詞			コ	和
