42.01匂兵部卿	OH_OO渋谷源氏	1050	1080	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
42.01匂兵部卿	OH_OO渋谷源氏	1080	1090	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
42.01匂兵部卿	OH_OO渋谷源氏	1090	1100	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
42.01匂兵部卿	OH_OO渋谷源氏	1100	1110	I	の	の	ノ	助詞-格助詞			ノ	和
42.01匂兵部卿	OH_OO渋谷源氏	1110	1120	I	若	若	ワカ	名詞-普通名詞-一般			ワカ	和
42.01匂兵部卿	OH_OO渋谷源氏	1120	1130	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
42.01匂兵部卿	OH_OO渋谷源氏	1130	1140	I	と	と	ト	助詞-格助詞			ト	和
42.01匂兵部卿	OH_OO渋谷源氏	1140	1150	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1150	1160	I	こ	是	コ	代名詞			コ	和
42.01匂兵部卿	OH_OO渋谷源氏	1160	1170	I	の	の	ノ	助詞-格助詞			ノ	和
42.01匂兵部卿	OH_OO渋谷源氏	1170	1180	I	二	二	フタ	名詞-数詞			フタ	和
42.01匂兵部卿	OH_OO渋谷源氏	1180	1190	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
42.01匂兵部卿	OH_OO渋谷源氏	1190	1210	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
42.01匂兵部卿	OH_OO渋谷源氏	1210	1220	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1220	1260	I	とりどり	取々	トリドリ	形状詞-一般			トリドリ	和
42.01匂兵部卿	OH_OO渋谷源氏	1260	1270	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
42.01匂兵部卿	OH_OO渋谷源氏	1270	1300	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
42.01匂兵部卿	OH_OO渋谷源氏	1300	1320	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
42.01匂兵部卿	OH_OO渋谷源氏	1320	1330	I	御	御	オオン	接頭辞			オオン	和
42.01匂兵部卿	OH_OO渋谷源氏	1330	1340	I	名	名	ナ	名詞-普通名詞-一般			ナ	和
42.01匂兵部卿	OH_OO渋谷源氏	1340	1360	I	取り	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
42.01匂兵部卿	OH_OO渋谷源氏	1360	1390	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
42.01匂兵部卿	OH_OO渋谷源氏	1390	1400	I	て	て	テ	助詞-接続助詞			テ	和
42.01匂兵部卿	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1410	1430	I	げに	実に	ゲニ	副詞			ゲニ	和
42.01匂兵部卿	OH_OO渋谷源氏	1430	1440	I	，	，		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1440	1460	I	いと	いと	イト	副詞			イト	和
42.01匂兵部卿	OH_OO渋谷源氏	1460	1490	I	なべて	並べて	ナベテ	形状詞-一般			ナベテ	和
42.01匂兵部卿	OH_OO渋谷源氏	1490	1510	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
42.01匂兵部卿	OH_OO渋谷源氏	1510	1520	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
42.01匂兵部卿	OH_OO渋谷源氏	1520	1530	I	御	御	オオン	接頭辞			オオン	和
42.01匂兵部卿	OH_OO渋谷源氏	1530	1570	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
42.01匂兵部卿	OH_OO渋谷源氏	1570	1590	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
42.01匂兵部卿	OH_OO渋谷源氏	1590	1610	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
42.01匂兵部卿	OH_OO渋谷源氏	1610	1620	I	ど	ど	ド	助詞-接続助詞			ド	和
42.01匂兵部卿	OH_OO渋谷源氏	1620	1630	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1630	1650	I	いと	いと	イト	副詞			イト	和
42.01匂兵部卿	OH_OO渋谷源氏	1650	1690	I	まばゆき	眩い	マバユイ	形容詞-一般	文語形容詞-ク	連体形-一般	マバユキ	和
42.01匂兵部卿	OH_OO渋谷源氏	1690	1700	I	際	際	キワ	名詞-普通名詞-一般			キワ	和
42.01匂兵部卿	OH_OO渋谷源氏	1700	1710	I	に	に	ニ	助詞-格助詞			ニ	和
42.01匂兵部卿	OH_OO渋谷源氏	1710	1720	I	は	は	ハ	助詞-係助詞			ワ	和
42.01匂兵部卿	OH_OO渋谷源氏	1720	1750	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
42.01匂兵部卿	OH_OO渋谷源氏	1750	1770	I	ざる	ず	ズ	助動詞	文語助動詞-ズ	連体形-補助	ザル	和
42.01匂兵部卿	OH_OO渋谷源氏	1770	1790	I	べし	べし	ベシ	助動詞	文語助動詞-ベシ	終止形-一般	ベシ	和
42.01匂兵部卿	OH_OO渋谷源氏	1790	1800	I	。	。		補助記号-句点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1800	1820	B	ただ	唯	タダ	副詞			タダ	和
42.01匂兵部卿	OH_OO渋谷源氏	1820	1830	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
42.01匂兵部卿	OH_OO渋谷源氏	1830	1840	I	の	の	ノ	助詞-格助詞			ノ	和
42.01匂兵部卿	OH_OO渋谷源氏	1840	1850	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
42.01匂兵部卿	OH_OO渋谷源氏	1850	1860	I	の	の	ノ	助詞-格助詞			ノ	和
42.01匂兵部卿	OH_OO渋谷源氏	1860	1870	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
42.01匂兵部卿	OH_OO渋谷源氏	1870	1890	I	ざま	様	サマ	名詞-普通名詞-一般			ザマ	和
42.01匂兵部卿	OH_OO渋谷源氏	1890	1900	I	に	に	ニ	助詞-格助詞			ニ	和
42.01匂兵部卿	OH_OO渋谷源氏	1900	1910	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	1910	1950	I	めでたく	めでたい	メデタイ	形容詞-一般	文語形容詞-ク	連用形-一般	メデタク	和
42.01匂兵部卿	OH_OO渋谷源氏	1950	1970	I	あて	貴	アテ	形状詞-一般			アテ	和
42.01匂兵部卿	OH_OO渋谷源氏	1970	1980	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
42.01匂兵部卿	OH_OO渋谷源氏	1980	2040	I	なまめかしく	艶めかしい	ナマメカシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ナマメカシク	和
42.01匂兵部卿	OH_OO渋谷源氏	2040	2080	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
42.01匂兵部卿	OH_OO渋谷源氏	2080	2090	I	を	を	ヲ	助詞-格助詞			オ	和
42.01匂兵部卿	OH_OO渋谷源氏	2090	2110	I	もと	下	モト	名詞-普通名詞-副詞可能			モト	和
42.01匂兵部卿	OH_OO渋谷源氏	2110	2120	I	と	と	ト	助詞-格助詞			ト	和
42.01匂兵部卿	OH_OO渋谷源氏	2120	2130	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
42.01匂兵部卿	OH_OO渋谷源氏	2130	2140	I	て	て	テ	助詞-接続助詞			テ	和
42.01匂兵部卿	OH_OO渋谷源氏	2140	2150	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	2150	2170	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
42.01匂兵部卿	OH_OO渋谷源氏	2170	2180	I	御	御	オオン	接頭辞			オオン	和
42.01匂兵部卿	OH_OO渋谷源氏	2180	2210	I	仲らひ	仲合	ナカライ	名詞-普通名詞-一般			ナカライ	和
42.01匂兵部卿	OH_OO渋谷源氏	2210	2220	I	に	に	ニ	助詞-格助詞			ニ	和
42.01匂兵部卿	OH_OO渋谷源氏	2220	2230	I	、	、		補助記号-読点				記号
42.01匂兵部卿	OH_OO渋谷源氏	2230	2240	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
42.01匂兵部卿	OH_OO渋谷源氏	2240	2250	I	の	の	ノ	助詞-格助詞			ノ	和
42.01匂兵部卿	OH_OO渋谷源氏	2250	2270	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
