32.02梅枝	OH_OO渋谷源氏	1170	1190	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
32.02梅枝	OH_OO渋谷源氏	1190	1200	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	1200	1210	I	数	数	カズ	名詞-普通名詞-一般			カズ	和
32.02梅枝	OH_OO渋谷源氏	1210	1230	I	しら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
32.02梅枝	OH_OO渋谷源氏	1230	1240	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
32.02梅枝	OH_OO渋谷源氏	1240	1260	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
32.02梅枝	OH_OO渋谷源氏	1260	1280	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
32.02梅枝	OH_OO渋谷源氏	1280	1290	I	。	。		補助記号-句点				記号
32.02梅枝	OH_OO渋谷源氏	1290	1300	B	子	子	コ	名詞-普通名詞-一般			コ	和
32.02梅枝	OH_OO渋谷源氏	1300	1310	I	の	の	ノ	助詞-格助詞			ノ	和
32.02梅枝	OH_OO渋谷源氏	1310	1320	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
32.02梅枝	OH_OO渋谷源氏	1320	1330	I	に	に	ニ	助詞-格助詞			ニ	和
32.02梅枝	OH_OO渋谷源氏	1330	1340	I	御	御	オオン	接頭辞			オオン	和
32.02梅枝	OH_OO渋谷源氏	1340	1350	I	裳	裳	モ	名詞-普通名詞-一般			モ	和
32.02梅枝	OH_OO渋谷源氏	1350	1400	I	たてまつる	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	終止形-一般	タテマツル	和
32.02梅枝	OH_OO渋谷源氏	1400	1410	I	。	。		補助記号-句点				記号
32.02梅枝	OH_OO渋谷源氏	1410	1440	B	大殿油	大殿油	オオトナブラ	名詞-普通名詞-一般			オートナブラ	和
32.02梅枝	OH_OO渋谷源氏	1440	1470	I	ほのか	仄か	ホノカ	形状詞-一般			ホノカ	和
32.02梅枝	OH_OO渋谷源氏	1470	1490	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
32.02梅枝	OH_OO渋谷源氏	1490	1500	I	ど	ど	ド	助詞-接続助詞			ド	和
32.02梅枝	OH_OO渋谷源氏	1500	1510	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	1510	1520	I	御	御	オオン	接頭辞			オオン	和
32.02梅枝	OH_OO渋谷源氏	1520	1550	I	けはひ	気配	ケハイ	名詞-普通名詞-一般			ケワイ	和
32.02梅枝	OH_OO渋谷源氏	1550	1570	I	いと	いと	イト	副詞			イト	和
32.02梅枝	OH_OO渋谷源氏	1570	1610	I	めでたし	めでたい	メデタイ	形容詞-一般	文語形容詞-ク	終止形-一般	メデタシ	和
32.02梅枝	OH_OO渋谷源氏	1610	1620	I	と	と	ト	助詞-格助詞			ト	和
32.02梅枝	OH_OO渋谷源氏	1620	1630	I	、	、		補助記号-読点				記号
32.02梅枝	OH_OO渋谷源氏	1630	1640	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
32.02梅枝	OH_OO渋谷源氏	1640	1650	I	は	は	ハ	助詞-係助詞			ワ	和
32.02梅枝	OH_OO渋谷源氏	1650	1660	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
32.02梅枝	OH_OO渋谷源氏	1660	1710	I	たてまつれ	奉れる	タテマツレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	タテマツレ	和
32.02梅枝	OH_OO渋谷源氏	1710	1740	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
32.02梅枝	OH_OO渋谷源氏	1740	1750	I	。	。		補助記号-句点				記号
