09.03葵	OH_OO渋谷源氏	1210	1220	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	1220	1230	B	御	御	オオン	接頭辞			オオン	和
09.03葵	OH_OO渋谷源氏	1230	1250	I	装束	装束	ショウゾク	名詞-普通名詞-サ変可能			ソーゾク	漢
09.03葵	OH_OO渋谷源氏	1250	1300	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
09.03葵	OH_OO渋谷源氏	1300	1320	I	替へ	変える	カエル	動詞-一般	文語下二段-ハ行	連用形-一般	カエ	和
09.03葵	OH_OO渋谷源氏	1320	1330	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1340	1350	I	西	西	ニシ	名詞-普通名詞-一般			ニシ	和
09.03葵	OH_OO渋谷源氏	1350	1360	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	1360	1370	I	対	対	タイ	名詞-普通名詞-一般			タイ	漢
09.03葵	OH_OO渋谷源氏	1370	1380	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	1380	1400	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
09.03葵	OH_OO渋谷源氏	1400	1430	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
09.03葵	OH_OO渋谷源氏	1430	1440	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
09.03葵	OH_OO渋谷源氏	1440	1450	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	1450	1480	B	衣更へ	衣替え	コロモガエ	名詞-普通名詞-サ変可能			コロモガエ	和
09.03葵	OH_OO渋谷源氏	1480	1490	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	1490	1500	I	御	御	オオン	接頭辞			オオン	和
09.03葵	OH_OO渋谷源氏	1500	1540	I	しつらひ	設い	シツライ	名詞-普通名詞-一般			シツライ	和
09.03葵	OH_OO渋谷源氏	1540	1550	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1550	1600	I	くもりなく	曇り無い	クモリナイ	形容詞-一般	文語形容詞-ク	連用形-一般	クモリナク	和
09.03葵	OH_OO渋谷源氏	1600	1640	I	あざやか	鮮やか	アザヤカ	形状詞-一般			アザヤカ	和
09.03葵	OH_OO渋谷源氏	1640	1650	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
09.03葵	OH_OO渋谷源氏	1650	1670	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
09.03葵	OH_OO渋谷源氏	1670	1680	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	1680	1690	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1690	1710	I	よき	良い	ヨイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ヨキ	和
09.03葵	OH_OO渋谷源氏	1710	1730	I	若人	若人	ワコウド	名詞-普通名詞-一般			ワコード	和
09.03葵	OH_OO渋谷源氏	1730	1750	I	童女	童	ワラベ	名詞-普通名詞-一般			ワラワベ	和
09.03葵	OH_OO渋谷源氏	1750	1760	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	1760	1770	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1770	1780	I	形	形	カタ	名詞-普通名詞-一般			カタ	和
09.03葵	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1790	1800	I	姿	姿	スガタ	名詞-普通名詞-一般			スガタ	和
09.03葵	OH_OO渋谷源氏	1800	1840	I	めやすく	目安い	メヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	メヤスク	和
09.03葵	OH_OO渋谷源氏	1840	1880	I	ととのへ	整える	トトノエル	動詞-一般	文語下二段-ハ行	連用形-一般	トトノエ	和
09.03葵	OH_OO渋谷源氏	1880	1890	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	1890	1900	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	1900	1910	I	「	「		補助記号-括弧開				記号
09.03葵	OH_OO渋谷源氏	1910	1920	I	少	少	ショウ	接頭辞			ショー	漢
