36.01柏木	OH_OO渋谷源氏	1210	1220	I	て	て	テ	助詞-接続助詞			テ	和
36.01柏木	OH_OO渋谷源氏	1220	1230	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1230	1250	I	また	又	マタ	副詞			マタ	和
36.01柏木	OH_OO渋谷源氏	1250	1260	I	，	，		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1260	1300	I	あながち	強ち	アナガチ	形状詞-一般			アナガチ	和
36.01柏木	OH_OO渋谷源氏	1300	1310	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
36.01柏木	OH_OO渋谷源氏	1310	1320	I	こ	是	コ	代名詞			コ	和
36.01柏木	OH_OO渋谷源氏	1320	1330	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	1330	1340	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
36.01柏木	OH_OO渋谷源氏	1340	1350	I	に	に	ニ	助詞-格助詞			ニ	和
36.01柏木	OH_OO渋谷源氏	1350	1370	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
36.01柏木	OH_OO渋谷源氏	1370	1400	I	がたく	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ガタク	和
36.01柏木	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1410	1440	I	惜しみ	惜しむ	オシム	動詞-一般	文語四段-マ行	連用形-一般	オシミ	和
36.01柏木	OH_OO渋谷源氏	1440	1460	I	留め	留める	トドメル	動詞-一般	文語下二段-マ行	未然形-一般	トドメ	和
36.01柏木	OH_OO渋谷源氏	1460	1500	I	まほしき	まほし	マホシ	助動詞	文語形容詞-シク	連体形-一般	マホシキ	和
36.01柏木	OH_OO渋谷源氏	1500	1510	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
36.01柏木	OH_OO渋谷源氏	1510	1520	I	か	か	カ	助詞-係助詞			カ	和
36.01柏木	OH_OO渋谷源氏	1520	1530	I	は	は	ハ	助詞-係助詞			ワ	和
36.01柏木	OH_OO渋谷源氏	1530	1540	I	。	。		補助記号-句点				記号
36.01柏木	OH_OO渋谷源氏	1540	1600	B	いはけなかり	いわけない	イワケナイ	形容詞-一般	文語形容詞-ク	連用形-補助	イワケナカリ	和
36.01柏木	OH_OO渋谷源氏	1600	1610	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
36.01柏木	OH_OO渋谷源氏	1610	1630	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
36.01柏木	OH_OO渋谷源氏	1630	1650	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
36.01柏木	OH_OO渋谷源氏	1650	1660	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1660	1680	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
36.01柏木	OH_OO渋谷源氏	1680	1690	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
36.01柏木	OH_OO渋谷源氏	1690	1700	I	異	異	コト	名詞-普通名詞-一般			コト	和
36.01柏木	OH_OO渋谷源氏	1700	1710	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
36.01柏木	OH_OO渋谷源氏	1710	1720	I	て	て	テ	助詞-接続助詞			テ	和
36.01柏木	OH_OO渋谷源氏	1720	1730	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1730	1760	I	何ごと	何事	ナニゴト	名詞-普通名詞-一般			ナニゴト	和
36.01柏木	OH_OO渋谷源氏	1760	1770	I	を	を	ヲ	助詞-格助詞			オ	和
36.01柏木	OH_OO渋谷源氏	1770	1780	I	も	も	モ	助詞-係助詞			モ	和
36.01柏木	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1790	1800	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
36.01柏木	OH_OO渋谷源氏	1800	1810	I	に	に	ニ	助詞-格助詞			ニ	和
36.01柏木	OH_OO渋谷源氏	1810	1820	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
36.01柏木	OH_OO渋谷源氏	1820	1840	I	一際	一際	ヒトキワ	副詞			ヒトキワ	和
36.01柏木	OH_OO渋谷源氏	1840	1870	I	まさら	勝る	マサル	動詞-一般	文語四段-ラ行	未然形-一般	マサラ	和
36.01柏木	OH_OO渋谷源氏	1870	1880	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
36.01柏木	OH_OO渋谷源氏	1880	1890	I	と	と	ト	助詞-格助詞			ト	和
36.01柏木	OH_OO渋谷源氏	1890	1900	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	1900	1920	I	公私	公私	オオヤケワタクシ	名詞-普通名詞-一般			オーヤケワタクシ	和
36.01柏木	OH_OO渋谷源氏	1920	1930	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	1930	1950	I	こと	事	コト	名詞-普通名詞-一般			コト	和
36.01柏木	OH_OO渋谷源氏	1950	1960	I	に	に	ニ	助詞-格助詞			ニ	和
36.01柏木	OH_OO渋谷源氏	1960	1980	I	触れ	触れる	フレル	動詞-一般	文語下二段-ラ行	連用形-一般	フレ	和
36.01柏木	OH_OO渋谷源氏	1980	1990	I	て	て	テ	助詞-接続助詞			テ	和
36.01柏木	OH_OO渋谷源氏	1990	2000	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	2000	2030	I	なのめ	斜め	ナナメ	名詞-普通名詞-一般			ナノメ	和
36.01柏木	OH_OO渋谷源氏	2030	2050	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
36.01柏木	OH_OO渋谷源氏	2050	2060	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
36.01柏木	OH_OO渋谷源氏	2060	2080	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
36.01柏木	OH_OO渋谷源氏	2080	2100	I	上り	上る	ノボル	動詞-一般	文語四段-ラ行	連用形-一般	ノボリ	和
36.01柏木	OH_OO渋谷源氏	2100	2120	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
36.01柏木	OH_OO渋谷源氏	2120	2130	I	ど	ど	ド	助詞-接続助詞			ド	和
36.01柏木	OH_OO渋谷源氏	2130	2140	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	2140	2150	I	そ	其	ソ	代名詞			ソ	和
36.01柏木	OH_OO渋谷源氏	2150	2160	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	2160	2170	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
36.01柏木	OH_OO渋谷源氏	2170	2190	I	叶ひ	適う	カナウ	動詞-一般	文語四段-ハ行	連用形-一般	カナイ	和
36.01柏木	OH_OO渋谷源氏	2190	2230	I	がたかり	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-補助	ガタカリ	和
36.01柏木	OH_OO渋谷源氏	2230	2250	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
36.01柏木	OH_OO渋谷源氏	2250	2260	I	」	」		補助記号-括弧閉				記号
36.01柏木	OH_OO渋谷源氏	2260	2270	B	と	と	ト	助詞-格助詞			ト	和
36.01柏木	OH_OO渋谷源氏	2270	2280	I	，	，		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	2280	2290	I	一	一	ヒト	名詞-数詞			ヒト	和
36.01柏木	OH_OO渋谷源氏	2290	2300	I	つ	つ	ツ	接尾辞-名詞的-助数詞			ツ	和
36.01柏木	OH_OO渋谷源氏	2300	2310	I	二	二	フタ	名詞-数詞			フタ	和
36.01柏木	OH_OO渋谷源氏	2310	2320	I	つ	つ	ツ	接尾辞-名詞的-助数詞			ツ	和
36.01柏木	OH_OO渋谷源氏	2320	2330	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	2330	2340	I	節	節	フシ	名詞-普通名詞-一般			フシ	和
36.01柏木	OH_OO渋谷源氏	2340	2360	I	ごと	毎	ゴト	接尾辞-名詞的-一般			ゴト	和
36.01柏木	OH_OO渋谷源氏	2360	2370	I	に	に	ニ	助詞-格助詞			ニ	和
36.01柏木	OH_OO渋谷源氏	2370	2380	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	2380	2390	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
36.01柏木	OH_OO渋谷源氏	2390	2400	I	を	を	ヲ	助詞-格助詞			オ	和
36.01柏木	OH_OO渋谷源氏	2400	2420	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
36.01柏木	OH_OO渋谷源氏	2420	2450	I	落とし	落とす	オトス	動詞-一般	文語四段-サ行	連用形-一般	オトシ	和
36.01柏木	OH_OO渋谷源氏	2450	2460	I	て	つ	ツ	助動詞	文語助動詞-ツ	連用形-一般	テ	和
36.01柏木	OH_OO渋谷源氏	2460	2470	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
36.01柏木	OH_OO渋谷源氏	2470	2500	I	こなた	此方	コナタ	代名詞			コナタ	和
36.01柏木	OH_OO渋谷源氏	2500	2510	I	、	、		補助記号-読点				記号
36.01柏木	OH_OO渋谷源氏	2510	2540	I	なべて	並べて	ナベテ	形状詞-一般			ナベテ	和
36.01柏木	OH_OO渋谷源氏	2540	2550	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	2550	2560	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
36.01柏木	OH_OO渋谷源氏	2560	2570	I	の	の	ノ	助詞-格助詞			ノ	和
36.01柏木	OH_OO渋谷源氏	2570	2580	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
36.01柏木	OH_OO渋谷源氏	2580	2630	I	すさまじう	凄まじい	スサマジイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	スサマジュー	和
36.01柏木	OH_OO渋谷源氏	2630	2650	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
36.01柏木	OH_OO渋谷源氏	2650	2670	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
36.01柏木	OH_OO渋谷源氏	2670	2680	I	て	て	テ	助詞-接続助詞			テ	和
36.01柏木	OH_OO渋谷源氏	2680	2690	I	、	、		補助記号-読点				記号
