47.03総角	OH_OO渋谷源氏	1080	1090	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
47.03総角	OH_OO渋谷源氏	1090	1100	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1100	1120	I	同じ	同じい	オナジイ	形容詞-一般	文語形容詞-シク	語幹-一般	オナジ	和
47.03総角	OH_OO渋谷源氏	1120	1130	I	花	花	ハナ	名詞-普通名詞-一般			ハナ	和
47.03総角	OH_OO渋谷源氏	1130	1140	I	の	の	ノ	助詞-格助詞			ノ	和
47.03総角	OH_OO渋谷源氏	1140	1150	I	姿	姿	スガタ	名詞-普通名詞-一般			スガタ	和
47.03総角	OH_OO渋谷源氏	1150	1160	I	も	も	モ	助詞-係助詞			モ	和
47.03総角	OH_OO渋谷源氏	1160	1170	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1170	1190	I	木草	木草	キクサ	名詞-普通名詞-一般			キクサ	和
47.03総角	OH_OO渋谷源氏	1190	1200	I	の	の	ノ	助詞-格助詞			ノ	和
47.03総角	OH_OO渋谷源氏	1200	1230	I	なびき	靡く	ナビク	動詞-一般	文語四段-カ行	連用形-一般	ナビキ	和
47.03総角	OH_OO渋谷源氏	1230	1250	I	ざま	様	サマ	名詞-普通名詞-一般			ザマ	和
47.03総角	OH_OO渋谷源氏	1250	1260	I	も	も	モ	助詞-係助詞			モ	和
47.03総角	OH_OO渋谷源氏	1260	1270	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1270	1290	I	こと	異	コト	名詞-普通名詞-一般			コト	和
47.03総角	OH_OO渋谷源氏	1290	1300	I	に	に	ニ	助詞-格助詞			ニ	和
47.03総角	OH_OO渋谷源氏	1300	1310	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
47.03総角	OH_OO渋谷源氏	1310	1330	I	なさ	成す	ナス	動詞-一般	文語四段-サ行	未然形-一般	ナサ	和
47.03総角	OH_OO渋谷源氏	1330	1340	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
47.03総角	OH_OO渋谷源氏	1340	1350	I	て	て	テ	助詞-接続助詞			テ	和
47.03総角	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1360	1380	I	遣水	遣り水	ヤリミズ	名詞-普通名詞-一般			ヤリミズ	和
47.03総角	OH_OO渋谷源氏	1380	1390	I	に	に	ニ	助詞-格助詞			ニ	和
47.03総角	OH_OO渋谷源氏	1390	1410	I	澄め	澄む	スム	動詞-一般	文語四段-マ行	命令形	スメ	和
47.03総角	OH_OO渋谷源氏	1410	1420	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
47.03総角	OH_OO渋谷源氏	1420	1430	I	月	月	ツキ	名詞-普通名詞-助数詞可能			ツキ	和
47.03総角	OH_OO渋谷源氏	1430	1440	I	の	の	ノ	助詞-格助詞			ノ	和
47.03総角	OH_OO渋谷源氏	1440	1450	I	影	影	カゲ	名詞-普通名詞-一般			カゲ	和
47.03総角	OH_OO渋谷源氏	1450	1470	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
47.03総角	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1480	1490	I	絵	絵	エ	名詞-普通名詞-一般			エ	漢
47.03総角	OH_OO渋谷源氏	1490	1500	I	に	に	ニ	助詞-格助詞			ニ	和
47.03総角	OH_OO渋谷源氏	1500	1520	I	描き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
47.03総角	OH_OO渋谷源氏	1520	1540	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
47.03総角	OH_OO渋谷源氏	1540	1560	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
47.03総角	OH_OO渋谷源氏	1560	1580	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
47.03総角	OH_OO渋谷源氏	1580	1590	I	に	に	ニ	助詞-接続助詞			ニ	和
47.03総角	OH_OO渋谷源氏	1590	1600	I	、	、		補助記号-読点				記号
47.03総角	OH_OO渋谷源氏	1600	1620	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
47.03総角	OH_OO渋谷源氏	1620	1640	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
47.03総角	OH_OO渋谷源氏	1640	1650	I	も	も	モ	助詞-係助詞			モ	和
47.03総角	OH_OO渋谷源氏	1650	1680	I	しるく	著い	シルイ	形容詞-一般	文語形容詞-ク	連用形-一般	シルク	和
47.03総角	OH_OO渋谷源氏	1680	1700	I	起き	起きる	オキル	動詞-一般	文語上二段-カ行	連用形-一般	オキ	和
47.03総角	OH_OO渋谷源氏	1700	1750	I	おはしまし	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連用形-一般	オワシマシ	和
47.03総角	OH_OO渋谷源氏	1750	1770	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
47.03総角	OH_OO渋谷源氏	1770	1780	I	。	。		補助記号-句点				記号
47.03総角	OH_OO渋谷源氏	1780	1790	B	風	風	カゼ	名詞-普通名詞-一般			カゼ	和
47.03総角	OH_OO渋谷源氏	1790	1800	I	に	に	ニ	助詞-格助詞			ニ	和
47.03総角	OH_OO渋谷源氏	1800	1820	I	つき	付く	ツク	動詞-非自立可能	文語四段-カ行	連用形-一般	ツキ	和
47.03総角	OH_OO渋谷源氏	1820	1830	I	て	て	テ	助詞-接続助詞			テ	和
47.03総角	OH_OO渋谷源氏	1830	1850	I	吹き	吹く	フク	動詞-一般	文語四段-カ行	連用形-一般	フキ	和
47.03総角	OH_OO渋谷源氏	1850	1870	I	来る	来る	クル	動詞-非自立可能	文語カ行変格	連体形-一般	クル	和
47.03総角	OH_OO渋谷源氏	1870	1890	I	匂ひ	匂い	ニオイ	名詞-普通名詞-一般			ニオイ	和
47.03総角	OH_OO渋谷源氏	1890	1900	I	の	の	ノ	助詞-格助詞			ノ	和
47.03総角	OH_OO渋谷源氏	1900	1910	I	、	、		補助記号-読点				記号
