17.04絵合	OH_OO渋谷源氏	1140	1160	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
17.04絵合	OH_OO渋谷源氏	1160	1170	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1170	1180	I	院	院	イン	名詞-普通名詞-一般			イン	漢
17.04絵合	OH_OO渋谷源氏	1180	1190	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	1190	1240	I	のたまはせ	宣わせる	ノタマワセル	動詞-一般	文語下二段-サ行	連用形-一般	ノタマワセ	和
17.04絵合	OH_OO渋谷源氏	1240	1250	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
17.04絵合	OH_OO渋谷源氏	1250	1270	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
17.04絵合	OH_OO渋谷源氏	1270	1280	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1280	1290	I	『	『		補助記号-括弧開				記号
17.04絵合	OH_OO渋谷源氏	1290	1310	I	才学	才学	サイガク	名詞-普通名詞-一般			サイガク	漢
17.04絵合	OH_OO渋谷源氏	1310	1320	I	と	と	ト	助詞-格助詞			ト	和
17.04絵合	OH_OO渋谷源氏	1320	1340	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
17.04絵合	OH_OO渋谷源氏	1340	1360	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
17.04絵合	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1370	1380	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
17.04絵合	OH_OO渋谷源氏	1380	1390	I	に	に	ニ	助詞-格助詞			ニ	和
17.04絵合	OH_OO渋谷源氏	1390	1410	I	いと	いと	イト	副詞			イト	和
17.04絵合	OH_OO渋谷源氏	1410	1430	I	重く	重い	オモイ	形容詞-一般	文語形容詞-ク	連用形-一般	オモク	和
17.04絵合	OH_OO渋谷源氏	1430	1450	I	する	為る	スル	動詞-非自立可能	文語サ行変格	連体形-一般	スル	和
17.04絵合	OH_OO渋谷源氏	1450	1470	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
17.04絵合	OH_OO渋谷源氏	1470	1490	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
17.04絵合	OH_OO渋谷源氏	1490	1500	I	ば	ば	バ	助詞-接続助詞			バ	和
17.04絵合	OH_OO渋谷源氏	1500	1510	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
17.04絵合	OH_OO渋谷源氏	1510	1520	I	や	や	ヤ	助詞-係助詞			ヤ	和
17.04絵合	OH_OO渋谷源氏	1520	1540	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
17.04絵合	OH_OO渋谷源氏	1540	1550	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
17.04絵合	OH_OO渋谷源氏	1550	1560	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1560	1590	I	いたう	痛く	イタク	副詞			イトー	和
17.04絵合	OH_OO渋谷源氏	1590	1610	I	進み	進む	ススム	動詞-一般	文語四段-マ行	連用形-一般	ススミ	和
17.04絵合	OH_OO渋谷源氏	1610	1630	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
17.04絵合	OH_OO渋谷源氏	1630	1640	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
17.04絵合	OH_OO渋谷源氏	1640	1650	I	の	の	ノ	助詞-格助詞			ノ	和
17.04絵合	OH_OO渋谷源氏	1650	1660	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1660	1670	I	命	命	イノチ	名詞-普通名詞-一般			イノチ	和
17.04絵合	OH_OO渋谷源氏	1670	1680	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1680	1700	I	幸ひ	幸い	サイワイ	名詞-普通名詞-サ変形状詞可能			サイワイ	和
17.04絵合	OH_OO渋谷源氏	1700	1710	I	と	と	ト	助詞-格助詞			ト	和
17.04絵合	OH_OO渋谷源氏	1710	1730	I	並び	並ぶ	ナラブ	動詞-一般	文語四段-バ行	連用形-一般	ナラビ	和
17.04絵合	OH_OO渋谷源氏	1730	1750	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
17.04絵合	OH_OO渋谷源氏	1750	1760	I	は	は	ハ	助詞-係助詞			ワ	和
17.04絵合	OH_OO渋谷源氏	1760	1770	I	、	、		補助記号-読点				記号
17.04絵合	OH_OO渋谷源氏	1770	1790	I	いと	いと	イト	副詞			イト	和
