46.01椎本	OH_OO渋谷源氏	1140	1180	B	うらめし	恨めしい	ウラメシイ	形容詞-一般	文語形容詞-シク	終止形-一般	ウラメシ	和
46.01椎本	OH_OO渋谷源氏	1180	1190	I	と	と	ト	助詞-格助詞			ト	和
46.01椎本	OH_OO渋谷源氏	1190	1210	I	言ふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
46.01椎本	OH_OO渋谷源氏	1210	1220	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
46.01椎本	OH_OO渋谷源氏	1220	1230	I	も	も	モ	助詞-係助詞			モ	和
46.01椎本	OH_OO渋谷源氏	1230	1250	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
46.01椎本	OH_OO渋谷源氏	1250	1270	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
46.01椎本	OH_OO渋谷源氏	1270	1280	I	里	里	サト	名詞-普通名詞-一般			サト	和
46.01椎本	OH_OO渋谷源氏	1280	1290	I	の	の	ノ	助詞-格助詞			ノ	和
46.01椎本	OH_OO渋谷源氏	1290	1300	I	名	名	ナ	名詞-普通名詞-一般			ナ	和
46.01椎本	OH_OO渋谷源氏	1300	1310	I	の	の	ノ	助詞-格助詞			ノ	和
46.01椎本	OH_OO渋谷源氏	1310	1320	I	、	、		補助記号-読点				記号
46.01椎本	OH_OO渋谷源氏	1320	1340	I	なべ	並べる	ナベル	動詞-一般	文語下二段-バ行	連用形-一般	ナベ	和
46.01椎本	OH_OO渋谷源氏	1340	1350	I	て	て	テ	助詞-接続助詞			テ	和
46.01椎本	OH_OO渋谷源氏	1350	1390	I	睦ましう	睦まじい	ムツマジイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ムツマシュー	和
46.01椎本	OH_OO渋谷源氏	1390	1410	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
46.01椎本	OH_OO渋谷源氏	1410	1430	I	るる	れる	レル	助動詞	文語下二段-ラ行	連体形-一般	ルル	和
46.01椎本	OH_OO渋谷源氏	1430	1450	I	ゆゑ	故	ユエ	名詞-普通名詞-副詞可能			ユエ	和
46.01椎本	OH_OO渋谷源氏	1450	1460	I	も	も	モ	助詞-係助詞			モ	和
46.01椎本	OH_OO渋谷源氏	1460	1500	I	はかなし	儚い	ハカナイ	形容詞-一般	文語形容詞-ク	終止形-一般	ハカナシ	和
46.01椎本	OH_OO渋谷源氏	1500	1510	I	や	や	ヤ	助詞-係助詞			ヤ	和
46.01椎本	OH_OO渋谷源氏	1510	1520	I	。	。		補助記号-句点				記号
46.01椎本	OH_OO渋谷源氏	1520	1550	B	上達部	上達部	カンダチメ	名詞-普通名詞-一般			カンダチメ	和
46.01椎本	OH_OO渋谷源氏	1550	1570	I	いと	いと	イト	副詞			イト	和
46.01椎本	OH_OO渋谷源氏	1570	1600	I	あまた	数多	アマタ	名詞-普通名詞-一般			アマタ	和
46.01椎本	OH_OO渋谷源氏	1600	1650	I	仕うまつり	仕る	ツコウマツル	動詞-一般	文語四段-ラ行	連用形-一般	ツコーマツリ	和
46.01椎本	OH_OO渋谷源氏	1650	1680	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
46.01椎本	OH_OO渋谷源氏	1680	1690	I	。	。		補助記号-句点				記号
46.01椎本	OH_OO渋谷源氏	1690	1710	B	殿上	殿上	テンジョウ	名詞-普通名詞-一般			テンジョー	漢
46.01椎本	OH_OO渋谷源氏	1710	1720	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
46.01椎本	OH_OO渋谷源氏	1720	1740	I	など	など	ナド	助詞-副助詞			ナド	和
46.01椎本	OH_OO渋谷源氏	1740	1750	I	は	は	ハ	助詞-係助詞			ワ	和
46.01椎本	OH_OO渋谷源氏	1750	1780	I	さらに	更に	サラニ	副詞			サラニ	和
46.01椎本	OH_OO渋谷源氏	1780	1790	I	も	も	モ	助詞-係助詞			モ	和
46.01椎本	OH_OO渋谷源氏	1790	1810	I	いは	言う	イウ	動詞-一般	文語四段-ハ行	未然形-一般	イワ	和
