46.04椎本	OH_OO渋谷源氏	1210	1220	I	て	つ	ツ	助動詞	文語助動詞-ツ	連用形-一般	テ	和
46.04椎本	OH_OO渋谷源氏	1220	1240	I	しが	しか	シカ	助詞-終助詞			シガ	和
46.04椎本	OH_OO渋谷源氏	1240	1250	I	な	な	ナ	助詞-終助詞			ナ	和
46.04椎本	OH_OO渋谷源氏	1250	1260	I	」	」		補助記号-括弧閉				記号
46.04椎本	OH_OO渋谷源氏	1260	1270	B	と	と	ト	助詞-格助詞			ト	和
46.04椎本	OH_OO渋谷源氏	1270	1280	I	，	，		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	1280	1290	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
46.04椎本	OH_OO渋谷源氏	1290	1300	I	を	を	ヲ	助詞-格助詞			オ	和
46.04椎本	OH_OO渋谷源氏	1300	1320	I	消た	消つ	ケツ	動詞-一般	文語四段-タ行	未然形-一般	ケタ	和
46.04椎本	OH_OO渋谷源氏	1320	1330	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
46.04椎本	OH_OO渋谷源氏	1330	1350	I	言ふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
46.04椎本	OH_OO渋谷源氏	1350	1360	I	も	も	モ	助詞-係助詞			モ	和
46.04椎本	OH_OO渋谷源氏	1360	1380	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	終止形-一般	アリ	和
46.04椎本	OH_OO渋谷源氏	1380	1390	I	。	。		補助記号-句点				記号
46.04椎本	OH_OO渋谷源氏	1390	1400	B	「	「		補助記号-括弧開				記号
46.04椎本	OH_OO渋谷源氏	1400	1420	I	難き	難い	カタイ	形容詞-一般	文語形容詞-ク	連体形-一般	カタキ	和
46.04椎本	OH_OO渋谷源氏	1420	1440	I	こと	事	コト	名詞-普通名詞-一般			コト	和
46.04椎本	OH_OO渋谷源氏	1440	1460	I	かな	哉	カナ	助詞-終助詞			カナ	和
46.04椎本	OH_OO渋谷源氏	1460	1470	I	」	」		補助記号-括弧閉				記号
46.04椎本	OH_OO渋谷源氏	1470	1480	I	と	と	ト	助詞-格助詞			ト	和
46.04椎本	OH_OO渋谷源氏	1480	1500	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
46.04椎本	OH_OO渋谷源氏	1500	1530	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
46.04椎本	OH_OO渋谷源氏	1530	1540	I	。	。		補助記号-句点				記号
46.04椎本	OH_OO渋谷源氏	1540	1570	B	向かひ	向かい	ムカイ	名詞-普通名詞-一般			ムカイ	和
46.04椎本	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
46.04椎本	OH_OO渋谷源氏	1580	1590	I	山	山	ヤマ	名詞-普通名詞-一般			ヤマ	和
46.04椎本	OH_OO渋谷源氏	1590	1600	I	に	に	ニ	助詞-格助詞			ニ	和
46.04椎本	OH_OO渋谷源氏	1600	1610	I	も	も	モ	助詞-係助詞			モ	和
46.04椎本	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	1620	1640	I	時々	時々	トキドキ	名詞-普通名詞-副詞可能			トキドキ	和
46.04椎本	OH_OO渋谷源氏	1640	1650	I	の	の	ノ	助詞-格助詞			ノ	和
46.04椎本	OH_OO渋谷源氏	1650	1660	I	御	御	オオン	接頭辞			オオン	和
46.04椎本	OH_OO渋谷源氏	1660	1680	I	念仏	念仏	ネンブツ	名詞-普通名詞-サ変可能			ネンブツ	漢
46.04椎本	OH_OO渋谷源氏	1680	1690	I	に	に	ニ	助詞-格助詞			ニ	和
46.04椎本	OH_OO渋谷源氏	1690	1720	I	籠もり	籠もる	コモル	動詞-一般	文語四段-ラ行	連用形-一般	コモリ	和
46.04椎本	OH_OO渋谷源氏	1720	1750	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
46.04椎本	OH_OO渋谷源氏	1750	1760	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
46.04椎本	OH_OO渋谷源氏	1760	1780	I	ゆゑ	故	ユエ	名詞-普通名詞-副詞可能			ユエ	和
46.04椎本	OH_OO渋谷源氏	1780	1800	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
46.04椎本	OH_OO渋谷源氏	1800	1810	I	、	、		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	1810	1820	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
46.04椎本	OH_OO渋谷源氏	1820	1830	I	も	も	モ	助詞-係助詞			モ	和
46.04椎本	OH_OO渋谷源氏	1830	1850	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
46.04椎本	OH_OO渋谷源氏	1850	1870	I	通ひ	通う	カヨウ	動詞-一般	文語四段-ハ行	連用形-一般	カヨイ	和
46.04椎本	OH_OO渋谷源氏	1870	1890	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
46.04椎本	OH_OO渋谷源氏	1890	1900	I	、	、		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	1900	1930	I	阿闍梨	阿闍梨	アジャリ	名詞-普通名詞-一般			アザリ	外
46.04椎本	OH_OO渋谷源氏	1930	1940	I	も	も	モ	助詞-係助詞			モ	和
46.04椎本	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	1950	1980	I	いかが	如何	イカガ	副詞			イカガ	和
46.04椎本	OH_OO渋谷源氏	1980	1990	I	と	と	ト	助詞-格助詞			ト	和
46.04椎本	OH_OO渋谷源氏	1990	2000	I	、	、		補助記号-読点				記号
46.04椎本	OH_OO渋谷源氏	2000	2040	I	おほかた	大方	オオカタ	形状詞-一般			オーカタ	和
46.04椎本	OH_OO渋谷源氏	2040	2050	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
46.04椎本	OH_OO渋谷源氏	2050	2070	I	まれ	稀	マレ	形状詞-一般			マレ	和
46.04椎本	OH_OO渋谷源氏	2070	2080	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
