18.04松風	OH_OO渋谷源氏	1270	1280	I	，	，		補助記号-読点				記号
18.04松風	OH_OO渋谷源氏	1280	1330	I	大殿籠もれ	大殿籠る	オオトノゴモル	動詞-一般	文語四段-ラ行	命令形	オートノゴモレ	和
18.04松風	OH_OO渋谷源氏	1330	1340	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
18.04松風	OH_OO渋谷源氏	1340	1350	I	。	。		補助記号-句点				記号
18.04松風	OH_OO渋谷源氏	1350	1360	B	例	例	レイ	名詞-普通名詞-一般			レー	漢
18.04松風	OH_OO渋谷源氏	1360	1370	I	の	の	ノ	助詞-格助詞			ノ	和
18.04松風	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
18.04松風	OH_OO渋谷源氏	1380	1390	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
18.04松風	OH_OO渋谷源氏	1390	1410	I	とけ	解ける	トケル	動詞-一般	文語下二段-カ行	未然形-一般	トケ	和
18.04松風	OH_OO渋谷源氏	1410	1420	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
18.04松風	OH_OO渋谷源氏	1420	1440	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
18.04松風	OH_OO渋谷源氏	1440	1470	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
18.04松風	OH_OO渋谷源氏	1470	1480	I	ど	ど	ド	助詞-接続助詞			ド	和
18.04松風	OH_OO渋谷源氏	1480	1490	I	、	、		補助記号-読点				記号
18.04松風	OH_OO渋谷源氏	1490	1500	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
18.04松風	OH_OO渋谷源氏	1500	1520	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
18.04松風	OH_OO渋谷源氏	1520	1530	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
18.04松風	OH_OO渋谷源氏	1530	1550	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
18.04松風	OH_OO渋谷源氏	1550	1560	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
18.04松風	OH_OO渋谷源氏	1560	1570	I	て	て	テ	助詞-接続助詞			テ	和
18.04松風	OH_OO渋谷源氏	1570	1580	I	、	、		補助記号-読点				記号
18.04松風	OH_OO渋谷源氏	1580	1590	B	「	「		補助記号-括弧開				記号
18.04松風	OH_OO渋谷源氏	1590	1630	I	なずらひ	擬い	ナズライ	名詞-普通名詞-一般			ナズライ	和
18.04松風	OH_OO渋谷源氏	1630	1650	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
18.04松風	OH_OO渋谷源氏	1650	1660	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
18.04松風	OH_OO渋谷源氏	1660	1680	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
18.04松風	OH_OO渋谷源氏	1680	1690	I	を	を	ヲ	助詞-格助詞			オ	和
18.04松風	OH_OO渋谷源氏	1690	1700	I	、	、		補助記号-読点				記号
18.04松風	OH_OO渋谷源氏	1700	1720	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
18.04松風	OH_OO渋谷源氏	1720	1750	I	比ぶる	比べる	クラベル	動詞-一般	文語下二段-バ行	連体形-一般	クラブル	和
