21.01乙女	OH_OO渋谷源氏	1240	1260	I	下風	下風	シタカゼ	名詞-普通名詞-一般			シタカゼ	和
21.01乙女	OH_OO渋谷源氏	1260	1270	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1270	1320	I	なつかしき	懐かしい	ナツカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ナツカシキ	和
21.01乙女	OH_OO渋谷源氏	1320	1330	I	に	に	ニ	助詞-格助詞			ニ	和
21.01乙女	OH_OO渋谷源氏	1330	1350	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
21.01乙女	OH_OO渋谷源氏	1350	1360	I	て	て	テ	助詞-接続助詞			テ	和
21.01乙女	OH_OO渋谷源氏	1360	1370	I	も	も	モ	助詞-係助詞			モ	和
21.01乙女	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1380	1400	I	若き	若い	ワカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワカキ	和
21.01乙女	OH_OO渋谷源氏	1400	1430	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
21.01乙女	OH_OO渋谷源氏	1430	1440	I	は	は	ハ	助詞-係助詞			ワ	和
21.01乙女	OH_OO渋谷源氏	1440	1460	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
21.01乙女	OH_OO渋谷源氏	1460	1490	I	出づる	出でる	イデル	動詞-一般	文語下二段-ダ行	連体形-一般	イズル	和
21.01乙女	OH_OO渋谷源氏	1490	1510	I	こと	事	コト	名詞-普通名詞-一般			コト	和
21.01乙女	OH_OO渋谷源氏	1510	1530	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
21.01乙女	OH_OO渋谷源氏	1530	1550	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
21.01乙女	OH_OO渋谷源氏	1550	1560	I	に	に	ニ	助詞-接続助詞			ニ	和
21.01乙女	OH_OO渋谷源氏	1560	1570	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1570	1590	I	大殿	大殿	オオトノ	名詞-普通名詞-一般			オートノ	和
21.01乙女	OH_OO渋谷源氏	1590	1610	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
21.01乙女	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
21.01乙女	OH_OO渋谷源氏	1620	1630	B	「	「		補助記号-括弧開				記号
21.01乙女	OH_OO渋谷源氏	1630	1650	I	御禊	禊	ミソギ	名詞-普通名詞-サ変可能			ミソギ	和
21.01乙女	OH_OO渋谷源氏	1650	1660	I	の	の	ノ	助詞-格助詞			ノ	和
