36.04柏木	OH_OO渋谷源氏	1260	1280	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
36.04柏木	OH_OO渋谷源氏	1280	1290	I	や	や	ヤ	助詞-係助詞			ヤ	和
36.04柏木	OH_OO渋谷源氏	1290	1300	I	。	。		補助記号-句点				記号
36.04柏木	OH_OO渋谷源氏	1300	1320	B	いで	いで	イデ	感動詞-一般			イデ	和
36.04柏木	OH_OO渋谷源氏	1320	1330	I	や	や	ヤ	助詞-係助詞			ヤ	和
36.04柏木	OH_OO渋谷源氏	1330	1340	I	，	，		補助記号-読点				記号
36.04柏木	OH_OO渋谷源氏	1340	1360	I	いと	いと	イト	副詞			イト	和
36.04柏木	OH_OO渋谷源氏	1360	1400	I	かひなく	甲斐無い	カイナイ	形容詞-一般	文語形容詞-ク	連用形-一般	カイナク	和
36.04柏木	OH_OO渋谷源氏	1400	1410	I	も	も	モ	助詞-係助詞			モ	和
36.04柏木	OH_OO渋谷源氏	1410	1440	I	はべる	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連体形-一般	ハベル	和
36.04柏木	OH_OO渋谷源氏	1440	1460	I	かな	哉	カナ	助詞-終助詞			カナ	和
36.04柏木	OH_OO渋谷源氏	1460	1470	I	。	。		補助記号-句点				記号
36.04柏木	OH_OO渋谷源氏	1470	1480	B	例	例	レイ	名詞-普通名詞-一般			レー	漢
36.04柏木	OH_OO渋谷源氏	1480	1490	I	の	の	ノ	助詞-格助詞			ノ	和
36.04柏木	OH_OO渋谷源氏	1490	1500	I	御	御	オオン	接頭辞			オオン	和
36.04柏木	OH_OO渋谷源氏	1500	1540	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
36.04柏木	OH_OO渋谷源氏	1540	1550	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
36.04柏木	OH_OO渋谷源氏	1550	1560	I	て	て	テ	助詞-接続助詞			テ	和
36.04柏木	OH_OO渋谷源氏	1560	1570	I	、	、		補助記号-読点				記号
36.04柏木	OH_OO渋谷源氏	1570	1590	I	かく	斯く	カク	副詞			カク	和
36.04柏木	OH_OO渋谷源氏	1590	1600	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
36.04柏木	OH_OO渋谷源氏	1600	1620	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
36.04柏木	OH_OO渋谷源氏	1620	1670	I	たてまつら	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	未然形-一般	タテマツラ	和
36.04柏木	OH_OO渋谷源氏	1670	1700	I	ましか	まし	マシ	助動詞	文語助動詞-マシ	未然形-一般	マシカ	和
36.04柏木	OH_OO渋谷源氏	1700	1710	I	ば	ば	バ	助詞-接続助詞			バ	和
36.04柏木	OH_OO渋谷源氏	1710	1720	I	、	、		補助記号-読点				記号
36.04柏木	OH_OO渋谷源氏	1720	1750	I	いかに	如何に	イカニ	副詞			イカニ	和
36.04柏木	OH_OO渋谷源氏	1750	1790	I	うれしう	嬉しい	ウレシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ウレシュー	和
36.04柏木	OH_OO渋谷源氏	1790	1820	I	はべら	侍る	ハベル	動詞-非自立可能	文語ラ行変格	未然形-一般	ハベラ	和
36.04柏木	OH_OO渋谷源氏	1820	1840	I	まし	まし	マシ	助動詞	文語助動詞-マシ	連体形-一般	マシ	和
36.04柏木	OH_OO渋谷源氏	1840	1850	I	。	。		補助記号-句点				記号
36.04柏木	OH_OO渋谷源氏	1850	1880	B	心憂く	心憂い	ココロウイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロウク	和
36.04柏木	OH_OO渋谷源氏	1880	1890	I	、	、		補助記号-読点				記号
36.04柏木	OH_OO渋谷源氏	1890	1910	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
36.04柏木	OH_OO渋谷源氏	1910	1930	I	捨て	捨てる	ステル	動詞-一般	文語下二段-タ行	連用形-一般	ステ	和
36.04柏木	OH_OO渋谷源氏	1930	1950	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
36.04柏木	OH_OO渋谷源氏	1950	1970	I	こと	事	コト	名詞-普通名詞-一般			コト	和
36.04柏木	OH_OO渋谷源氏	1970	1980	I	」	」		補助記号-括弧閉				記号
36.04柏木	OH_OO渋谷源氏	1980	1990	B	と	と	ト	助詞-格助詞			ト	和
36.04柏木	OH_OO渋谷源氏	1990	2000	I	，	，		補助記号-読点				記号
36.04柏木	OH_OO渋谷源氏	2000	2030	I	涙ぐみ	涙ぐむ	ナミダグム	動詞-一般	文語四段-マ行	連用形-一般	ナミダグミ	和
36.04柏木	OH_OO渋谷源氏	2030	2040	I	て	て	テ	助詞-接続助詞			テ	和
