40.01御法	OH_OO渋谷源氏	1330	1340	I	院	院	イン	名詞-普通名詞-一般			イン	漢
40.01御法	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
40.01御法	OH_OO渋谷源氏	1350	1380	I	思ほし	思ほす	オモホス	動詞-一般	文語四段-サ行	連用形-一般	オモホシ	和
40.01御法	OH_OO渋谷源氏	1380	1400	I	嘆く	嘆く	ナゲク	動詞-一般	文語四段-カ行	連体形-一般	ナゲク	和
40.01御法	OH_OO渋谷源氏	1400	1420	I	こと	事	コト	名詞-普通名詞-一般			コト	和
40.01御法	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	1430	1470	I	限りなし	限り無い	カギリナイ	形容詞-一般	文語形容詞-ク	終止形-一般	カギリナシ	和
40.01御法	OH_OO渋谷源氏	1470	1480	I	。	。		補助記号-句点				記号
40.01御法	OH_OO渋谷源氏	1480	1510	B	しばし	暫し	シバシ	副詞			シバシ	和
40.01御法	OH_OO渋谷源氏	1510	1520	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
40.01御法	OH_OO渋谷源氏	1520	1530	I	て	て	テ	助詞-接続助詞			テ	和
40.01御法	OH_OO渋谷源氏	1530	1540	I	も	も	モ	助詞-係助詞			モ	和
40.01御法	OH_OO渋谷源氏	1540	1560	I	後れ	遅れる	オクレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	オクレ	和
40.01御法	OH_OO渋谷源氏	1560	1590	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
40.01御法	OH_OO渋谷源氏	1590	1620	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
40.01御法	OH_OO渋谷源氏	1620	1630	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
40.01御法	OH_OO渋谷源氏	1630	1650	I	こと	事	コト	名詞-普通名詞-一般			コト	和
40.01御法	OH_OO渋谷源氏	1650	1670	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
40.01御法	OH_OO渋谷源氏	1670	1680	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	1680	1730	I	いみじかる	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連体形-補助	イミジカル	和
40.01御法	OH_OO渋谷源氏	1730	1750	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
40.01御法	OH_OO渋谷源氏	1750	1770	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
40.01御法	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	1780	1820	I	みづから	自ら	ミズカラ	名詞-普通名詞-副詞可能			ミズカラ	和
40.01御法	OH_OO渋谷源氏	1820	1830	I	の	の	ノ	助詞-格助詞			ノ	和
40.01御法	OH_OO渋谷源氏	1830	1840	I	御	御	ミ	接頭辞			ミ	和
40.01御法	OH_OO渋谷源氏	1840	1860	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
40.01御法	OH_OO渋谷源氏	1860	1870	I	に	に	ニ	助詞-格助詞			ニ	和
40.01御法	OH_OO渋谷源氏	1870	1880	I	は	は	ハ	助詞-係助詞			ワ	和
40.01御法	OH_OO渋谷源氏	1880	1890	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	1890	1900	I	こ	是	コ	代名詞			コ	和
40.01御法	OH_OO渋谷源氏	1900	1910	I	の	の	ノ	助詞-格助詞			ノ	和
40.01御法	OH_OO渋谷源氏	1910	1920	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
40.01御法	OH_OO渋谷源氏	1920	1930	I	に	に	ニ	助詞-格助詞			ニ	和
40.01御法	OH_OO渋谷源氏	1930	1950	I	飽か	飽く	アク	動詞-一般	文語四段-カ行	未然形-一般	アカ	和
40.01御法	OH_OO渋谷源氏	1950	1960	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
40.01御法	OH_OO渋谷源氏	1960	1980	I	こと	事	コト	名詞-普通名詞-一般			コト	和
40.01御法	OH_OO渋谷源氏	1980	2000	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
40.01御法	OH_OO渋谷源氏	2000	2010	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	2010	2070	I	うしろめたき	後ろめたい	ウシロメタイ	形容詞-一般	文語形容詞-ク	連体形-一般	ウシロメタキ	和
40.01御法	OH_OO渋谷源氏	2070	2100	I	ほだし	絆し	ホダシ	名詞-普通名詞-一般			ホダシ	和
40.01御法	OH_OO渋谷源氏	2100	2120	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
40.01御法	OH_OO渋谷源氏	2120	2150	I	まじら	交じる	マジル	動詞-一般	文語四段-ラ行	未然形-一般	マジラ	和
40.01御法	OH_OO渋谷源氏	2150	2160	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
40.01御法	OH_OO渋谷源氏	2160	2180	I	御身	御身	オンミ	名詞-普通名詞-一般			オンミ	和
40.01御法	OH_OO渋谷源氏	2180	2200	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
40.01御法	OH_OO渋谷源氏	2200	2210	I	ば	ば	バ	助詞-接続助詞			バ	和
40.01御法	OH_OO渋谷源氏	2210	2220	I	、	、		補助記号-読点				記号
40.01御法	OH_OO渋谷源氏	2220	2260	I	あながち	強ち	アナガチ	形状詞-一般			アナガチ	和
40.01御法	OH_OO渋谷源氏	2260	2270	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
40.01御法	OH_OO渋谷源氏	2270	2290	I	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	カケ	和
40.01御法	OH_OO渋谷源氏	2290	2320	I	とどめ	留める	トドメル	動詞-一般	文語下二段-マ行	未然形-一般	トドメ	和
40.01御法	OH_OO渋谷源氏	2320	2360	I	まほしき	まほし	マホシ	助動詞	文語形容詞-シク	連体形-一般	マホシキ	和
40.01御法	OH_OO渋谷源氏	2360	2370	I	御	御	オオン	接頭辞			オオン	和
40.01御法	OH_OO渋谷源氏	2370	2380	I	命	命	イノチ	名詞-普通名詞-一般			イノチ	和
40.01御法	OH_OO渋谷源氏	2380	2390	I	と	と	ト	助詞-格助詞			ト	和
40.01御法	OH_OO渋谷源氏	2390	2400	I	も	も	モ	助詞-係助詞			モ	和
40.01御法	OH_OO渋谷源氏	2400	2420	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
40.01御法	OH_OO渋谷源氏	2420	2430	I	れ	れる	レル	助動詞	文語下二段-ラ行	未然形-一般	レ	和
