38.01鈴虫	OH_OO渋谷源氏	1100	1140	I	しつらは	設う	シツラウ	動詞-一般	文語四段-ハ行	未然形-一般	シツラワ	和
38.01鈴虫	OH_OO渋谷源氏	1140	1150	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
38.01鈴虫	OH_OO渋谷源氏	1150	1180	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
38.01鈴虫	OH_OO渋谷源氏	1180	1190	I	。	。		補助記号-句点				記号
38.01鈴虫	OH_OO渋谷源氏	1190	1200	B	幡	旗	ハタ	名詞-普通名詞-一般			ハタ	和
38.01鈴虫	OH_OO渋谷源氏	1200	1210	I	の	の	ノ	助詞-格助詞			ノ	和
38.01鈴虫	OH_OO渋谷源氏	1210	1230	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
38.01鈴虫	OH_OO渋谷源氏	1230	1250	I	など	など	ナド	助詞-副助詞			ナド	和
38.01鈴虫	OH_OO渋谷源氏	1250	1300	I	なつかしう	懐かしい	ナツカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ナツカシュー	和
38.01鈴虫	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
38.01鈴虫	OH_OO渋谷源氏	1310	1340	I	心こと	心殊	ココロコト	形状詞-一般			ココロコト	和
38.01鈴虫	OH_OO渋谷源氏	1340	1360	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
38.01鈴虫	OH_OO渋谷源氏	1360	1370	I	唐	唐	カラ	名詞-固有名詞-地名-国			カラ	固
38.01鈴虫	OH_OO渋谷源氏	1370	1380	I	の	の	ノ	助詞-格助詞			ノ	和
38.01鈴虫	OH_OO渋谷源氏	1380	1390	I	錦	錦	ニシキ	名詞-普通名詞-一般			ニシキ	和
38.01鈴虫	OH_OO渋谷源氏	1390	1400	I	を	を	ヲ	助詞-格助詞			オ	和
38.01鈴虫	OH_OO渋谷源氏	1400	1420	I	選び	選ぶ	エラブ	動詞-一般	文語四段-バ行	連用形-一般	エラビ	和
38.01鈴虫	OH_OO渋谷源氏	1420	1440	I	縫は	縫う	ヌウ	動詞-一般	文語四段-ハ行	未然形-一般	ヌワ	和
38.01鈴虫	OH_OO渋谷源氏	1440	1450	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
38.01鈴虫	OH_OO渋谷源氏	1450	1480	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
38.01鈴虫	OH_OO渋谷源氏	1480	1490	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
38.01鈴虫	OH_OO渋谷源氏	1490	1500	I	。	。		補助記号-句点				記号
38.01鈴虫	OH_OO渋谷源氏	1500	1510	B	紫	紫	ムラサキ	名詞-普通名詞-一般			ムラサキ	和
38.01鈴虫	OH_OO渋谷源氏	1510	1520	I	の	の	ノ	助詞-格助詞			ノ	和
38.01鈴虫	OH_OO渋谷源氏	1520	1530	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
38.01鈴虫	OH_OO渋谷源氏	1530	1540	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
38.01鈴虫	OH_OO渋谷源氏	1540	1550	I	、	、		補助記号-読点				記号
38.01鈴虫	OH_OO渋谷源氏	1550	1570	I	急ぎ	急ぐ	イソグ	動詞-一般	文語四段-ガ行	連用形-一般	イソギ	和
38.01鈴虫	OH_OO渋谷源氏	1570	1580	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
38.01鈴虫	OH_OO渋谷源氏	1580	1600	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
38.01鈴虫	OH_OO渋谷源氏	1600	1630	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
38.01鈴虫	OH_OO渋谷源氏	1630	1650	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
38.01鈴虫	OH_OO渋谷源氏	1650	1660	I	。	。		補助記号-句点				記号
38.01鈴虫	OH_OO渋谷源氏	1660	1680	B	花机	花机	ハナヅクエ	名詞-普通名詞-一般			ハナズクエ	和
38.01鈴虫	OH_OO渋谷源氏	1680	1690	I	の	の	ノ	助詞-格助詞			ノ	和
38.01鈴虫	OH_OO渋谷源氏	1690	1710	I	覆ひ	覆い	オオイ	名詞-普通名詞-一般			オーイ	和
38.01鈴虫	OH_OO渋谷源氏	1710	1730	I	など	など	ナド	助詞-副助詞			ナド	和
38.01鈴虫	OH_OO渋谷源氏	1730	1740	I	の	の	ノ	助詞-格助詞			ノ	和
