15.03蓬生	OH_OO渋谷源氏	1210	1220	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1220	1230	I	艶	艶	エン	名詞-普通名詞-形状詞可能			エン	漢
15.03蓬生	OH_OO渋谷源氏	1230	1250	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
15.03蓬生	OH_OO渋谷源氏	1250	1270	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
15.03蓬生	OH_OO渋谷源氏	1270	1280	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1280	1290	I	夕	夕	ユウ	名詞-普通名詞-一般			ユー	和
15.03蓬生	OH_OO渋谷源氏	1290	1310	I	月夜	月夜	ツキヨ	名詞-普通名詞-一般			ズクヨ	和
15.03蓬生	OH_OO渋谷源氏	1310	1320	I	に	に	ニ	助詞-格助詞			ニ	和
15.03蓬生	OH_OO渋谷源氏	1320	1330	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1330	1340	I	道	道	ミチ	名詞-普通名詞-一般			ミチ	和
15.03蓬生	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1350	1370	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
15.03蓬生	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1380	1410	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
15.03蓬生	OH_OO渋谷源氏	1410	1420	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1420	1440	I	こと	事	コト	名詞-普通名詞-一般			コト	和
15.03蓬生	OH_OO渋谷源氏	1440	1460	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
15.03蓬生	OH_OO渋谷源氏	1460	1480	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
15.03蓬生	OH_OO渋谷源氏	1480	1490	I	て	て	テ	助詞-接続助詞			テ	和
15.03蓬生	OH_OO渋谷源氏	1490	1530	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
15.03蓬生	OH_OO渋谷源氏	1530	1540	I	に	に	ニ	助詞-格助詞			ニ	和
15.03蓬生	OH_OO渋谷源氏	1540	1550	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1550	1560	I	形	形	カタ	名詞-普通名詞-一般			カタ	和
15.03蓬生	OH_OO渋谷源氏	1560	1570	I	も	も	モ	助詞-係助詞			モ	和
15.03蓬生	OH_OO渋谷源氏	1570	1590	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
15.03蓬生	OH_OO渋谷源氏	1590	1610	I	荒れ	荒れる	アレル	動詞-一般	文語下二段-ラ行	連用形-一般	アレ	和
15.03蓬生	OH_OO渋谷源氏	1610	1630	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
15.03蓬生	OH_OO渋谷源氏	1630	1640	I	家	家	イエ	名詞-普通名詞-一般			イエ	和
15.03蓬生	OH_OO渋谷源氏	1640	1650	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1650	1660	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1660	1680	I	木立	木立ち	コダチ	名詞-普通名詞-一般			コダチ	和
15.03蓬生	OH_OO渋谷源氏	1680	1710	I	しげく	繁い	シゲイ	形容詞-一般	文語形容詞-ク	連用形-一般	シゲク	和
15.03蓬生	OH_OO渋谷源氏	1710	1720	I	森	森	モリ	名詞-普通名詞-一般			モリ	和
15.03蓬生	OH_OO渋谷源氏	1720	1730	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1730	1750	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
15.03蓬生	OH_OO渋谷源氏	1750	1770	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
15.03蓬生	OH_OO渋谷源氏	1770	1780	I	を	を	ヲ	助詞-格助詞			オ	和
15.03蓬生	OH_OO渋谷源氏	1780	1800	I	過ぎ	過ぎる	スギル	動詞-非自立可能	文語上二段-ガ行	連用形-一般	スギ	和
15.03蓬生	OH_OO渋谷源氏	1800	1830	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
15.03蓬生	OH_OO渋谷源氏	1830	1840	I	。	。		補助記号-句点				記号
15.03蓬生	OH_OO渋谷源氏	1840	1860	B	大き	大き	オオキ	形状詞-一般			オーキ	和
15.03蓬生	OH_OO渋谷源氏	1860	1880	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
15.03蓬生	OH_OO渋谷源氏	1880	1890	I	松	松	マツ	名詞-普通名詞-一般			マツ	和
15.03蓬生	OH_OO渋谷源氏	1890	1900	I	に	に	ニ	助詞-格助詞			ニ	和
15.03蓬生	OH_OO渋谷源氏	1900	1910	I	藤	藤	フジ	名詞-普通名詞-一般			フジ	和
15.03蓬生	OH_OO渋谷源氏	1910	1920	I	の	の	ノ	助詞-格助詞			ノ	和
15.03蓬生	OH_OO渋谷源氏	1920	1940	I	咲き	咲く	サク	動詞-一般	文語四段-カ行	連用形-一般	サキ	和
15.03蓬生	OH_OO渋谷源氏	1940	1970	I	かかり	掛かる	カカル	動詞-非自立可能	文語四段-ラ行	連用形-一般	カカリ	和
15.03蓬生	OH_OO渋谷源氏	1970	1980	I	て	て	テ	助詞-接続助詞			テ	和
15.03蓬生	OH_OO渋谷源氏	1980	1990	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	1990	2010	I	月影	月影	ツキカゲ	名詞-普通名詞-一般			ツキカゲ	和
15.03蓬生	OH_OO渋谷源氏	2010	2020	I	に	に	ニ	助詞-格助詞			ニ	和
15.03蓬生	OH_OO渋谷源氏	2020	2050	I	なよび	なよびる	ナヨビル	動詞-一般	文語上二段-バ行	連用形-一般	ナヨビ	和
15.03蓬生	OH_OO渋谷源氏	2050	2070	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
15.03蓬生	OH_OO渋谷源氏	2070	2080	I	、	、		補助記号-読点				記号
15.03蓬生	OH_OO渋谷源氏	2080	2090	I	風	風	カゼ	名詞-普通名詞-一般			カゼ	和
