49.08宿木	OH_OO渋谷源氏	1280	1290	I	ば	ば	バ	助詞-接続助詞			バ	和
49.08宿木	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
49.08宿木	OH_OO渋谷源氏	1300	1330	I	后の宮	后宮	キサイノミヤ	名詞-普通名詞-一般			キサイノミヤ	和
49.08宿木	OH_OO渋谷源氏	1330	1350	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
49.08宿木	OH_OO渋谷源氏	1350	1360	I	も	も	モ	助詞-係助詞			モ	和
49.08宿木	OH_OO渋谷源氏	1360	1370	I	御	御	オオン	接頭辞			オオン	和
49.08宿木	OH_OO渋谷源氏	1370	1400	I	訪らひ	訪い	トブライ	名詞-普通名詞-一般			トブライ	和
49.08宿木	OH_OO渋谷源氏	1400	1420	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	終止形-一般	アリ	和
49.08宿木	OH_OO渋谷源氏	1420	1430	I	。	。		補助記号-句点				記号
49.08宿木	OH_OO渋谷源氏	1430	1460	B	かくて	斯くて	カクテ	副詞			カクテ	和
49.08宿木	OH_OO渋谷源氏	1460	1470	I	三	三	ミ	名詞-数詞			ミ	和
49.08宿木	OH_OO渋谷源氏	1470	1480	I	年	年	トセ	接尾辞-名詞的-助数詞			トセ	和
49.08宿木	OH_OO渋谷源氏	1480	1490	I	に	に	ニ	助詞-格助詞			ニ	和
49.08宿木	OH_OO渋谷源氏	1490	1510	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
49.08宿木	OH_OO渋谷源氏	1510	1530	I	ぬれ	ぬ	ヌ	助動詞	文語助動詞-ヌ	已然形-一般	ヌレ	和
49.08宿木	OH_OO渋谷源氏	1530	1540	I	ど	ど	ド	助詞-接続助詞			ド	和
49.08宿木	OH_OO渋谷源氏	1540	1550	I	、	、		補助記号-読点				記号
49.08宿木	OH_OO渋谷源氏	1550	1560	I	一	一	ヒト	名詞-数詞			ヒト	和
49.08宿木	OH_OO渋谷源氏	1560	1570	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
49.08宿木	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
49.08宿木	OH_OO渋谷源氏	1580	1590	I	御	御	オオン	接頭辞			オオン	和
49.08宿木	OH_OO渋谷源氏	1590	1620	I	心ざし	志	ココロザシ	名詞-普通名詞-一般			ココロザシ	和
49.08宿木	OH_OO渋谷源氏	1620	1640	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
49.08宿木	OH_OO渋谷源氏	1640	1670	I	おろか	疎か	オロカ	名詞-普通名詞-一般			オロカ	和
49.08宿木	OH_OO渋谷源氏	1670	1690	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
49.08宿木	OH_OO渋谷源氏	1690	1700	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
49.08宿木	OH_OO渋谷源氏	1700	1710	I	、	、		補助記号-読点				記号
49.08宿木	OH_OO渋谷源氏	1710	1750	I	おほかた	大方	オオカタ	名詞-普通名詞-一般			オーカタ	和
49.08宿木	OH_OO渋谷源氏	1750	1760	I	の	の	ノ	助詞-格助詞			ノ	和
49.08宿木	OH_OO渋谷源氏	1760	1770	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
49.08宿木	OH_OO渋谷源氏	1770	1780	I	に	に	ニ	助詞-格助詞			ニ	和
49.08宿木	OH_OO渋谷源氏	1780	1790	I	は	は	ハ	助詞-係助詞			ワ	和
49.08宿木	OH_OO渋谷源氏	1790	1800	I	、	、		補助記号-読点				記号
