46.05椎本	OH_OO渋谷源氏	1190	1200	B	「	「		補助記号-括弧開				記号
46.05椎本	OH_OO渋谷源氏	1200	1210	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
46.05椎本	OH_OO渋谷源氏	1210	1220	I	に	に	ニ	助詞-格助詞			ニ	和
46.05椎本	OH_OO渋谷源氏	1220	1240	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
46.05椎本	OH_OO渋谷源氏	1240	1250	I	て	て	テ	助詞-接続助詞			テ	和
46.05椎本	OH_OO渋谷源氏	1250	1260	I	は	は	ハ	助詞-係助詞			ワ	和
46.05椎本	OH_OO渋谷源氏	1260	1270	I	、	、		補助記号-読点				記号
46.05椎本	OH_OO渋谷源氏	1270	1300	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
46.05椎本	OH_OO渋谷源氏	1300	1320	I	草木	草木	クサキ	名詞-普通名詞-一般			クサキ	和
46.05椎本	OH_OO渋谷源氏	1320	1330	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	1330	1360	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
46.05椎本	OH_OO渋谷源氏	1360	1370	I	に	に	ニ	助詞-格助詞			ニ	和
46.05椎本	OH_OO渋谷源氏	1370	1390	I	従ひ	従う	シタガウ	動詞-一般	文語四段-ハ行	連用形-一般	シタガイ	和
46.05椎本	OH_OO渋谷源氏	1390	1400	I	て	て	テ	助詞-接続助詞			テ	和
46.05椎本	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
46.05椎本	OH_OO渋谷源氏	1410	1430	I	行き	行く	イク	動詞-非自立可能	文語四段-カ行	連用形-一般	イキ	和
46.05椎本	OH_OO渋谷源氏	1430	1450	I	交ふ	交う	カウ	動詞-一般	文語四段-ハ行	連体形-一般	カウ	和
46.05椎本	OH_OO渋谷源氏	1450	1470	I	月日	月日	ツキヒ	名詞-普通名詞-一般			ツキヒ	和
46.05椎本	OH_OO渋谷源氏	1470	1480	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	1480	1510	I	しるし	験	シルシ	名詞-普通名詞-一般			シルシ	和
46.05椎本	OH_OO渋谷源氏	1510	1520	I	も	も	モ	助詞-係助詞			モ	和
46.05椎本	OH_OO渋谷源氏	1520	1550	I	見ゆる	見える	ミエル	動詞-一般	文語下二段-ヤ行	連体形-一般	ミユル	和
46.05椎本	OH_OO渋谷源氏	1550	1570	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
46.05椎本	OH_OO渋谷源氏	1570	1580	I	、	、		補助記号-読点				記号
46.05椎本	OH_OO渋谷源氏	1580	1630	I	をかしけれ	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	已然形-一般	オカシケレ	和
46.05椎本	OH_OO渋谷源氏	1630	1640	I	」	」		補助記号-括弧閉				記号
46.05椎本	OH_OO渋谷源氏	1640	1660	B	など	など	ナド	助詞-副助詞			ナド	和
46.05椎本	OH_OO渋谷源氏	1660	1670	I	，	，		補助記号-読点				記号
46.05椎本	OH_OO渋谷源氏	1670	1700	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
46.05椎本	OH_OO渋谷源氏	1700	1710	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	1710	1730	I	言ふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
46.05椎本	OH_OO渋谷源氏	1730	1740	I	を	を	ヲ	助詞-格助詞			オ	和
46.05椎本	OH_OO渋谷源氏	1740	1750	I	、	、		補助記号-読点				記号
46.05椎本	OH_OO渋谷源氏	1750	1760	I	「	「		補助記号-括弧開				記号
46.05椎本	OH_OO渋谷源氏	1760	1770	I	何	何	ナニ	代名詞			ナニ	和
46.05椎本	OH_OO渋谷源氏	1770	1780	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	1780	1820	I	をかしき	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オカシキ	和
46.05椎本	OH_OO渋谷源氏	1820	1840	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
46.05椎本	OH_OO渋谷源氏	1840	1850	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
46.05椎本	OH_OO渋谷源氏	1850	1860	I	」	」		補助記号-括弧閉				記号
46.05椎本	OH_OO渋谷源氏	1860	1870	I	と	と	ト	助詞-格助詞			ト	和
46.05椎本	OH_OO渋谷源氏	1870	1890	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
46.05椎本	OH_OO渋谷源氏	1890	1920	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
46.05椎本	OH_OO渋谷源氏	1920	1930	I	。	。		補助記号-句点				記号
46.05椎本	OH_OO渋谷源氏	1930	1940	B	「	「		補助記号-括弧開				記号
46.05椎本	OH_OO渋谷源氏	1940	1950	I	君	君	キミ	代名詞			キミ	和
46.05椎本	OH_OO渋谷源氏	1950	1960	I	が	が	ガ	助詞-格助詞			ガ	和
46.05椎本	OH_OO渋谷源氏	1960	1980	I	折る	折る	オル	動詞-一般	文語四段-ラ行	連体形-一般	オル	和
46.05椎本	OH_OO渋谷源氏	1980	1990	I	峰	峰	ミネ	名詞-普通名詞-一般			ミネ	和
46.05椎本	OH_OO渋谷源氏	1990	2000	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	2000	2010	I	蕨	蕨	ワラビ	名詞-普通名詞-一般			ワラビ	和
46.05椎本	OH_OO渋谷源氏	2010	2020	I	と	と	ト	助詞-格助詞			ト	和
46.05椎本	OH_OO渋谷源氏	2020	2030	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	未然形-一般	ミ	和
46.05椎本	OH_OO渋谷源氏	2030	2060	I	ましか	まし	マシ	助動詞	文語助動詞-マシ	未然形-一般	マシカ	和
46.05椎本	OH_OO渋谷源氏	2060	2070	I	ば	ば	バ	助詞-接続助詞			バ	和
46.05椎本	OH_OO渋谷源氏	2070	2090	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
46.05椎本	OH_OO渋谷源氏	2090	2100	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
46.05椎本	OH_OO渋谷源氏	2100	2110	I	や	や	ヤ	助詞-係助詞			ヤ	和
46.05椎本	OH_OO渋谷源氏	2110	2120	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
46.05椎本	OH_OO渋谷源氏	2120	2140	I	まし	まし	マシ	助動詞	文語助動詞-マシ	連体形-一般	マシ	和
46.05椎本	OH_OO渋谷源氏	2140	2150	I	春	春	ハル	名詞-普通名詞-副詞可能			ハル	和
46.05椎本	OH_OO渋谷源氏	2150	2160	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	2160	2190	I	しるし	験	シルシ	名詞-普通名詞-一般			シルシ	和
46.05椎本	OH_OO渋谷源氏	2190	2200	I	も	も	モ	助詞-係助詞			モ	和
46.05椎本	OH_OO渋谷源氏	2200	2210	I	」	」		補助記号-括弧閉				記号
46.05椎本	OH_OO渋谷源氏	2210	2220	B	「	「		補助記号-括弧開				記号
46.05椎本	OH_OO渋谷源氏	2220	2250	I	雪深き	雪深い	ユキブカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ユキブカキ	和
46.05椎本	OH_OO渋谷源氏	2250	2260	I	汀	汀	ミギワ	名詞-普通名詞-一般			ミギワ	和
46.05椎本	OH_OO渋谷源氏	2260	2270	I	の	の	ノ	助詞-格助詞			ノ	和
46.05椎本	OH_OO渋谷源氏	2270	2290	I	小芹	小芹	コゼリ	名詞-普通名詞-一般			コゼリ	和
46.05椎本	OH_OO渋谷源氏	2290	2300	I	誰	誰	ダレ	代名詞			タレ	和
