49.09宿木	OH_OO渋谷源氏	1240	1270	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
49.09宿木	OH_OO渋谷源氏	1270	1290	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
49.09宿木	OH_OO渋谷源氏	1290	1300	I	ば	ば	バ	助詞-接続助詞			バ	和
49.09宿木	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1310	1340	I	そなた	其方	ソナタ	代名詞			ソナタ	和
49.09宿木	OH_OO渋谷源氏	1340	1360	I	ざま	様	サマ	名詞-普通名詞-一般			ザマ	和
49.09宿木	OH_OO渋谷源氏	1360	1370	I	に	に	ニ	助詞-格助詞			ニ	和
49.09宿木	OH_OO渋谷源氏	1370	1410	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
49.09宿木	OH_OO渋谷源氏	1410	1420	I	に	に	ニ	助詞-格助詞			ニ	和
49.09宿木	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1430	1450	I	女車	女車	オンナグルマ	名詞-普通名詞-一般			オンナグルマ	和
49.09宿木	OH_OO渋谷源氏	1450	1460	I	の	の	ノ	助詞-格助詞			ノ	和
49.09宿木	OH_OO渋谷源氏	1460	1520	I	ことことしき	事々しい	コトゴトシイ	形容詞-一般	文語形容詞-シク	連体形-一般	コトコトシキ	和
49.09宿木	OH_OO渋谷源氏	1520	1540	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
49.09宿木	OH_OO渋谷源氏	1540	1550	I	に	に	ニ	助詞-格助詞			ニ	和
49.09宿木	OH_OO渋谷源氏	1550	1560	I	は	は	ハ	助詞-係助詞			ワ	和
49.09宿木	OH_OO渋谷源氏	1560	1580	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
49.09宿木	OH_OO渋谷源氏	1580	1590	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
49.09宿木	OH_OO渋谷源氏	1590	1600	I	一	一	ヒト	名詞-数詞			ヒト	和
49.09宿木	OH_OO渋谷源氏	1600	1610	I	つ	つ	ツ	接尾辞-名詞的-助数詞			ツ	和
49.09宿木	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1620	1670	I	荒らましき	荒ましい	アラマシイ	形容詞-一般	文語形容詞-シク	連体形-一般	アラマシキ	和
49.09宿木	OH_OO渋谷源氏	1670	1690	I	東男	東男	アズマオトコ	名詞-普通名詞-一般			アズマオトコ	和
49.09宿木	OH_OO渋谷源氏	1690	1700	I	の	の	ノ	助詞-格助詞			ノ	和
49.09宿木	OH_OO渋谷源氏	1700	1710	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1710	1720	I	腰	腰	コシ	名詞-普通名詞-一般			コシ	和
49.09宿木	OH_OO渋谷源氏	1720	1730	I	に	に	ニ	助詞-格助詞			ニ	和
49.09宿木	OH_OO渋谷源氏	1730	1740	I	物	物	モノ	名詞-普通名詞-サ変可能			モノ	和
49.09宿木	OH_OO渋谷源氏	1740	1760	I	負へ	負う	オウ	動詞-一般	文語四段-ハ行	命令形	オエ	和
49.09宿木	OH_OO渋谷源氏	1760	1770	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
49.09宿木	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1780	1810	I	あまた	数多	アマタ	名詞-普通名詞-一般			アマタ	和
49.09宿木	OH_OO渋谷源氏	1810	1830	I	具し	具する	グスル	動詞-一般	文語サ行変格	連用形-一般	グシ	混
49.09宿木	OH_OO渋谷源氏	1830	1840	I	て	て	テ	助詞-接続助詞			テ	和
49.09宿木	OH_OO渋谷源氏	1840	1850	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	1850	1870	I	下人	下人	シモビト	名詞-普通名詞-一般			シモビト	和
49.09宿木	OH_OO渋谷源氏	1870	1880	I	も	も	モ	助詞-係助詞			モ	和
49.09宿木	OH_OO渋谷源氏	1880	1890	I	数	数	カズ	名詞-普通名詞-一般			カズ	和
49.09宿木	OH_OO渋谷源氏	1890	1910	I	多く	多い	オオイ	形容詞-一般	文語形容詞-ク	連用形-一般	オーク	和
49.09宿木	OH_OO渋谷源氏	1910	1940	I	頼もし	頼もしい	タノモシイ	形容詞-一般	文語形容詞-シク	語幹-一般	タノモシ	和
49.09宿木	OH_OO渋谷源氏	1940	1950	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
49.09宿木	OH_OO渋谷源氏	1950	1970	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
49.09宿木	OH_OO渋谷源氏	1970	2000	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
49.09宿木	OH_OO渋谷源氏	2000	2010	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.09宿木	OH_OO渋谷源氏	2010	2020	I	て	て	テ	助詞-接続助詞			テ	和
49.09宿木	OH_OO渋谷源氏	2020	2030	I	、	、		補助記号-読点				記号
49.09宿木	OH_OO渋谷源氏	2030	2040	I	橋	橋	ハシ	名詞-普通名詞-一般			ハシ	和
49.09宿木	OH_OO渋谷源氏	2040	2060	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
49.09宿木	OH_OO渋谷源氏	2060	2070	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
49.09宿木	OH_OO渋谷源氏	2070	2090	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
49.09宿木	OH_OO渋谷源氏	2090	2110	I	来る	来る	クル	動詞-非自立可能	文語カ行変格	連体形-一般	クル	和
49.09宿木	OH_OO渋谷源氏	2110	2130	I	見ゆ	見える	ミエル	動詞-一般	文語下二段-ヤ行	終止形-一般	ミユ	和
49.09宿木	OH_OO渋谷源氏	2130	2140	I	。	。		補助記号-句点				記号
49.09宿木	OH_OO渋谷源氏	2140	2150	B	「	「		補助記号-括弧開				記号
49.09宿木	OH_OO渋谷源氏	2150	2180	I	田舎び	田舎びる	イナカビル	動詞-一般	文語上二段-バ行	連用形-一般	イナカビ	和
49.09宿木	OH_OO渋谷源氏	2180	2200	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
49.09宿木	OH_OO渋谷源氏	2200	2210	I	者	者	モノ	名詞-普通名詞-一般			モノ	和
49.09宿木	OH_OO渋谷源氏	2210	2230	I	かな	哉	カナ	助詞-終助詞			カナ	和
49.09宿木	OH_OO渋谷源氏	2230	2240	I	」	」		補助記号-括弧閉				記号
49.09宿木	OH_OO渋谷源氏	2240	2250	I	と	と	ト	助詞-格助詞			ト	和
