34.12若菜上	OH_OO渋谷源氏	1300	1330	B	御息所	御息所	ミヤスドコロ	名詞-普通名詞-一般			ミヤスンドコロ	和
34.12若菜上	OH_OO渋谷源氏	1330	1340	I	は	は	ハ	助詞-係助詞			ワ	和
34.12若菜上	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	1350	1360	I	御	御	オオン	接頭辞			オオン	和
34.12若菜上	OH_OO渋谷源氏	1360	1370	I	暇	暇	イトマ	名詞-普通名詞-一般			イトマ	和
34.12若菜上	OH_OO渋谷源氏	1370	1380	I	の	の	ノ	助詞-格助詞			ノ	和
34.12若菜上	OH_OO渋谷源氏	1380	1430	I	心やすから	心安い	ココロヤスイ	形容詞-一般	文語形容詞-ク	未然形-補助	ココロヤスカラ	和
34.12若菜上	OH_OO渋谷源氏	1430	1440	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
34.12若菜上	OH_OO渋谷源氏	1440	1450	I	に	に	ニ	助詞-格助詞			ニ	和
34.12若菜上	OH_OO渋谷源氏	1450	1470	I	懲り	懲りる	コリル	動詞-一般	文語上二段-ラ行	連用形-一般	コリ	和
34.12若菜上	OH_OO渋谷源氏	1470	1500	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.12若菜上	OH_OO渋谷源氏	1500	1510	I	て	て	テ	助詞-接続助詞			テ	和
34.12若菜上	OH_OO渋谷源氏	1510	1520	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	1520	1550	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
34.12若菜上	OH_OO渋谷源氏	1550	1580	I	ついで	序で	ツイデ	名詞-普通名詞-一般			ツイデ	和
34.12若菜上	OH_OO渋谷源氏	1580	1590	I	に	に	ニ	助詞-格助詞			ニ	和
34.12若菜上	OH_OO渋谷源氏	1590	1600	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	1600	1630	I	しばし	暫し	シバシ	副詞			シバシ	和
34.12若菜上	OH_OO渋谷源氏	1630	1650	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.12若菜上	OH_OO渋谷源氏	1650	1690	I	まほしく	まほし	マホシ	助動詞	文語形容詞-シク	連用形-一般	マホシク	和
34.12若菜上	OH_OO渋谷源氏	1690	1710	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.12若菜上	OH_OO渋谷源氏	1710	1730	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
34.12若菜上	OH_OO渋谷源氏	1730	1740	I	。	。		補助記号-句点				記号
34.12若菜上	OH_OO渋谷源氏	1740	1780	B	ほどなき	程無い	ホドナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ホドナキ	和
34.12若菜上	OH_OO渋谷源氏	1780	1800	I	御身	御身	オンミ	名詞-普通名詞-一般			オンミ	和
34.12若菜上	OH_OO渋谷源氏	1800	1810	I	に	に	ニ	助詞-格助詞			ニ	和
34.12若菜上	OH_OO渋谷源氏	1810	1820	I	、	、		補助記号-読点				記号
34.12若菜上	OH_OO渋谷源氏	1820	1840	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
34.12若菜上	OH_OO渋谷源氏	1840	1880	I	恐ろしき	恐ろしい	オソロシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オソロシキ	和
34.12若菜上	OH_OO渋谷源氏	1880	1900	I	こと	事	コト	名詞-普通名詞-一般			コト	和
