47.06総角	OH_OO渋谷源氏	1170	1180	I	ど	ど	ド	助詞-接続助詞			ド	和
47.06総角	OH_OO渋谷源氏	1180	1190	I	、	、		補助記号-読点				記号
47.06総角	OH_OO渋谷源氏	1190	1230	I	ことつけ	言付ける	コトヅケル	動詞-一般	文語下二段-カ行	連用形-一般	コトツケ	和
47.06総角	OH_OO渋谷源氏	1230	1240	I	て	て	テ	助詞-接続助詞			テ	和
47.06総角	OH_OO渋谷源氏	1240	1250	I	、	、		補助記号-読点				記号
47.06総角	OH_OO渋谷源氏	1250	1270	I	対面	対面	タイメン	名詞-普通名詞-サ変可能			タイメン	漢
47.06総角	OH_OO渋谷源氏	1270	1280	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
47.06総角	OH_OO渋谷源氏	1280	1310	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
47.06総角	OH_OO渋谷源氏	1310	1320	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
47.06総角	OH_OO渋谷源氏	1320	1330	I	。	。		補助記号-句点				記号
47.06総角	OH_OO渋谷源氏	1330	1340	B	「	「		補助記号-括弧開				記号
47.06総角	OH_OO渋谷源氏	1340	1380	I	おどろき	驚く	オドロク	動詞-一般	文語四段-カ行	連用形-一般	オドロキ	和
47.06総角	OH_OO渋谷源氏	1380	1410	I	ながら	ながら	ナガラ	助詞-接続助詞			ナガラ	和
47.06総角	OH_OO渋谷源氏	1410	1420	I	、	、		補助記号-読点				記号
47.06総角	OH_OO渋谷源氏	1420	1460	I	はるけき	遥けい	ハルケイ	形容詞-一般	文語形容詞-ク	連体形-一般	ハルケキ	和
47.06総角	OH_OO渋谷源氏	1460	1480	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
47.06総角	OH_OO渋谷源氏	1480	1490	I	を	を	ヲ	助詞-格助詞			オ	和
47.06総角	OH_OO渋谷源氏	1490	1510	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
47.06総角	OH_OO渋谷源氏	1510	1520	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
47.06総角	OH_OO渋谷源氏	1520	1540	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
47.06総角	OH_OO渋谷源氏	1540	1550	I	を	を	ヲ	助詞-格助詞			オ	和
47.06総角	OH_OO渋谷源氏	1550	1560	I	。	。		補助記号-句点				記号
