06.02末摘花	OH_OO渋谷源氏	1280	1300	I	祖母	祖母	オバ	名詞-普通名詞-一般			オバ	和
06.02末摘花	OH_OO渋谷源氏	1300	1310	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
06.02末摘花	OH_OO渋谷源氏	1310	1320	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	1320	1330	I	御	御	オオン	接頭辞			オオン	和
06.02末摘花	OH_OO渋谷源氏	1330	1360	I	なごり	名残り	ナゴリ	名詞-普通名詞-一般			ナゴリ	和
06.02末摘花	OH_OO渋谷源氏	1360	1370	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
06.02末摘花	OH_OO渋谷源氏	1370	1380	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	1380	1390	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1390	1420	I	歯黒め	歯黒め	ハグロメ	名詞-普通名詞-一般			ハグロメ	和
06.02末摘花	OH_OO渋谷源氏	1420	1430	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	1430	1480	I	まだしかり	未しい	マダシイ	形容詞-一般	文語形容詞-シク	連用形-補助	マダシカリ	和
06.02末摘花	OH_OO渋谷源氏	1480	1500	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
06.02末摘花	OH_OO渋谷源氏	1500	1510	I	を	を	ヲ	助詞-格助詞			オ	和
06.02末摘花	OH_OO渋谷源氏	1510	1520	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1520	1540	I	ひき	引く	ヒク	動詞-一般	文語四段-カ行	連用形-一般	ヒキ	和
06.02末摘花	OH_OO渋谷源氏	1540	1580	I	つくろは	繕う	ツクロウ	動詞-一般	文語四段-ハ行	未然形-一般	ツクロワ	和
06.02末摘花	OH_OO渋谷源氏	1580	1590	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
06.02末摘花	OH_OO渋谷源氏	1590	1620	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
06.02末摘花	OH_OO渋谷源氏	1620	1630	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
06.02末摘花	OH_OO渋谷源氏	1630	1640	I	ば	ば	バ	助詞-接続助詞			バ	和
06.02末摘花	OH_OO渋谷源氏	1640	1650	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1650	1660	I	眉	眉	マユ	名詞-普通名詞-一般			マユ	和
06.02末摘花	OH_OO渋谷源氏	1660	1670	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	1670	1710	I	けざやか	けざやか	ケザヤカ	形状詞-一般			ケザヤカ	和
06.02末摘花	OH_OO渋谷源氏	1710	1720	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
06.02末摘花	OH_OO渋谷源氏	1720	1740	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
06.02末摘花	OH_OO渋谷源氏	1740	1760	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
06.02末摘花	OH_OO渋谷源氏	1760	1770	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1780	1830	I	うつくしう	美しい	ウツクシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ウツクシュー	和
06.02末摘花	OH_OO渋谷源氏	1830	1860	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
06.02末摘花	OH_OO渋谷源氏	1860	1880	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
06.02末摘花	OH_OO渋谷源氏	1880	1890	I	。	。		補助記号-句点				記号
06.02末摘花	OH_OO渋谷源氏	1890	1900	B	「	「		補助記号-括弧開				記号
06.02末摘花	OH_OO渋谷源氏	1900	1910	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
06.02末摘花	OH_OO渋谷源氏	1910	1930	I	から	から	カラ	助詞-格助詞			カラ	和
06.02末摘花	OH_OO渋谷源氏	1930	1940	I	，	，		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1940	1960	I	など	など	ナド	副詞			ナド	和
06.02末摘花	OH_OO渋谷源氏	1960	1970	I	か	か	カ	助詞-係助詞			カ	和
06.02末摘花	OH_OO渋谷源氏	1970	1980	I	，	，		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1980	2000	I	かう	斯く	カク	副詞			コー	和
06.02末摘花	OH_OO渋谷源氏	2000	2020	I	憂き	憂い	ウイ	形容詞-一般	文語形容詞-ク	連体形-一般	ウキ	和
06.02末摘花	OH_OO渋谷源氏	2020	2030	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
06.02末摘花	OH_OO渋谷源氏	2030	2040	I	を	を	ヲ	助詞-格助詞			オ	和
