34.08若菜上	OH_OO渋谷源氏	1260	1280	I	思す	思す	オボス	動詞-一般	文語四段-サ行	終止形-一般	オボス	和
34.08若菜上	OH_OO渋谷源氏	1280	1290	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	1290	1340	B	めづらしき	珍しい	メズラシイ	形容詞-一般	文語形容詞-シク	連体形-一般	メズラシキ	和
34.08若菜上	OH_OO渋谷源氏	1340	1360	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
34.08若菜上	OH_OO渋谷源氏	1360	1370	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	1370	1380	I	御	御	ミ	接頭辞			ミ	和
34.08若菜上	OH_OO渋谷源氏	1380	1400	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
34.08若菜上	OH_OO渋谷源氏	1400	1410	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	1410	1420	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
34.08若菜上	OH_OO渋谷源氏	1420	1440	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
34.08若菜上	OH_OO渋谷源氏	1440	1460	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
34.08若菜上	OH_OO渋谷源氏	1460	1470	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	1470	1490	B	まだ	未だ	マダ	副詞			マダ	和
34.08若菜上	OH_OO渋谷源氏	1490	1510	I	いと	いと	イト	副詞			イト	和
34.08若菜上	OH_OO渋谷源氏	1510	1540	I	あえか	あえか	アエカ	形状詞-一般			アエカ	和
34.08若菜上	OH_OO渋谷源氏	1540	1560	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
34.08若菜上	OH_OO渋谷源氏	1560	1570	I	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	1570	1590	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
34.08若菜上	OH_OO渋谷源氏	1590	1600	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	1600	1610	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	1610	1630	I	いと	いと	イト	副詞			イト	和
34.08若菜上	OH_OO渋谷源氏	1630	1670	I	ゆゆしく	由々しい	ユユシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ユユシク	和
34.08若菜上	OH_OO渋谷源氏	1670	1680	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
34.08若菜上	OH_OO渋谷源氏	1680	1690	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	1690	1710	I	誰れ	誰	ダレ	代名詞			タレ	和
34.08若菜上	OH_OO渋谷源氏	1710	1720	I	も	も	モ	助詞-係助詞			モ	和
34.08若菜上	OH_OO渋谷源氏	1720	1740	I	誰れ	誰	ダレ	代名詞			タレ	和
34.08若菜上	OH_OO渋谷源氏	1740	1750	I	も	も	モ	助詞-係助詞			モ	和
34.08若菜上	OH_OO渋谷源氏	1750	1770	I	思す	思す	オボス	動詞-一般	文語四段-サ行	終止形-一般	オボス	和
34.08若菜上	OH_OO渋谷源氏	1770	1790	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	終止形-一般	ラム	和
34.08若菜上	OH_OO渋谷源氏	1790	1810	I	かし	かし	カシ	助詞-終助詞			カシ	和
34.08若菜上	OH_OO渋谷源氏	1810	1820	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	1820	1870	B	からうして	辛うじて	カロウジテ	副詞			カローシテ	和
34.08若菜上	OH_OO渋谷源氏	1870	1900	I	まかで	罷出でる	マカデル	動詞-一般	文語下二段-ダ行	連用形-一般	マカデ	和
34.08若菜上	OH_OO渋谷源氏	1900	1930	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.08若菜上	OH_OO渋谷源氏	1930	1940	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
34.08若菜上	OH_OO渋谷源氏	1940	1950	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	1950	1970	B	姫宮	姫宮	ヒメミヤ	名詞-普通名詞-一般			ヒメミヤ	和
34.08若菜上	OH_OO渋谷源氏	1970	1980	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	1980	2030	I	おはします	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連体形-一般	オワシマス	和
34.08若菜上	OH_OO渋谷源氏	2030	2050	I	御殿	大臣	オトド	名詞-普通名詞-一般			オトド	和
34.08若菜上	OH_OO渋谷源氏	2050	2060	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	2060	2080	I	東面	東面	ヒガシオモテ	名詞-普通名詞-一般			ヒンガシオモテ	和
34.08若菜上	OH_OO渋谷源氏	2080	2090	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	2090	2100	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2100	2110	I	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	2110	2120	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.08若菜上	OH_OO渋谷源氏	2120	2130	I	は	は	ハ	助詞-係助詞			ワ	和
34.08若菜上	OH_OO渋谷源氏	2130	2170	I	しつらひ	設う	シツラウ	動詞-一般	文語四段-ハ行	連用形-一般	シツライ	和
34.08若菜上	OH_OO渋谷源氏	2170	2190	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
34.08若菜上	OH_OO渋谷源氏	2190	2200	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	2200	2220	B	明石	アカシ	アカシ	名詞-固有名詞-地名-一般			アカシ	固
34.08若菜上	OH_OO渋谷源氏	2220	2230	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	2230	2240	I	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	2240	2250	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.08若菜上	OH_OO渋谷源氏	2250	2260	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2260	2270	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
34.08若菜上	OH_OO渋谷源氏	2270	2280	I	は	は	ハ	助詞-係助詞			ワ	和
34.08若菜上	OH_OO渋谷源氏	2280	2300	I	御身	御身	オンミ	名詞-普通名詞-一般			オンミ	和
34.08若菜上	OH_OO渋谷源氏	2300	2310	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	2310	2330	I	添ひ	沿う	ソウ	動詞-一般	文語四段-ハ行	連用形-一般	ソイ	和
34.08若菜上	OH_OO渋谷源氏	2330	2340	I	て	て	テ	助詞-接続助詞			テ	和
34.08若菜上	OH_OO渋谷源氏	2340	2350	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	2350	2370	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
34.08若菜上	OH_OO渋谷源氏	2370	2390	I	入り	入る	イル	動詞-一般	文語四段-ラ行	連用形-一般	イリ	和
