52.06蜻蛉	OH_OO渋谷源氏	1170	1220	I	たてまつら	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	未然形-一般	タテマツラ	和
52.06蜻蛉	OH_OO渋谷源氏	1220	1230	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
52.06蜻蛉	OH_OO渋谷源氏	1230	1260	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
52.06蜻蛉	OH_OO渋谷源氏	1260	1270	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
52.06蜻蛉	OH_OO渋谷源氏	1270	1280	I	。	。		補助記号-句点				記号
52.06蜻蛉	OH_OO渋谷源氏	1280	1300	B	大将	大将	タイショウ	名詞-普通名詞-一般			タイショー	漢
52.06蜻蛉	OH_OO渋谷源氏	1300	1310	I	殿	殿	ドノ	接尾辞-名詞的-一般			ドノ	和
52.06蜻蛉	OH_OO渋谷源氏	1310	1320	I	、	、		補助記号-読点				記号
52.06蜻蛉	OH_OO渋谷源氏	1320	1340	I	うち	打ち	ウチ	接頭辞			ウチ	和
52.06蜻蛉	OH_OO渋谷源氏	1340	1370	I	まさり	勝る	マサル	動詞-一般	文語四段-ラ行	連用形-一般	マサリ	和
52.06蜻蛉	OH_OO渋谷源氏	1370	1380	I	て	て	テ	助詞-接続助詞			テ	和
52.06蜻蛉	OH_OO渋谷源氏	1380	1420	I	をかしき	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	オカシキ	和
52.06蜻蛉	OH_OO渋谷源氏	1420	1440	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
52.06蜻蛉	OH_OO渋谷源氏	1440	1460	I	集め	集める	アツメル	動詞-一般	文語下二段-マ行	連用形-一般	アツメ	和
52.06蜻蛉	OH_OO渋谷源氏	1460	1470	I	て	て	テ	助詞-接続助詞			テ	和
52.06蜻蛉	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
52.06蜻蛉	OH_OO渋谷源氏	1480	1500	I	参ら	参る	マイル	動詞-非自立可能	文語四段-ラ行	未然形-一般	マイラ	和
52.06蜻蛉	OH_OO渋谷源氏	1500	1510	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
52.06蜻蛉	OH_OO渋谷源氏	1510	1540	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
52.06蜻蛉	OH_OO渋谷源氏	1540	1550	I	。	。		補助記号-句点				記号
52.06蜻蛉	OH_OO渋谷源氏	1550	1570	B	芹川	セリガワ	セリガワ	名詞-固有名詞-地名-一般			セリガワ	固
