25.01蛍	OH_OO渋谷源氏	1320	1330	I	の	の	ノ	助詞-格助詞			ノ	和
25.01蛍	OH_OO渋谷源氏	1330	1350	I	ほか	他	ホカ	名詞-普通名詞-副詞可能			ホカ	和
25.01蛍	OH_OO渋谷源氏	1350	1370	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
25.01蛍	OH_OO渋谷源氏	1370	1390	I	思ひ	思い	オモイ	名詞-普通名詞-一般			オモイ	和
25.01蛍	OH_OO渋谷源氏	1390	1410	I	添ひ	沿う	ソウ	動詞-一般	文語四段-ハ行	連用形-一般	ソイ	和
25.01蛍	OH_OO渋谷源氏	1410	1420	I	て	て	テ	助詞-接続助詞			テ	和
25.01蛍	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
25.01蛍	OH_OO渋谷源氏	1430	1460	I	いかに	如何に	イカニ	副詞			イカニ	和
25.01蛍	OH_OO渋谷源氏	1460	1470	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
25.01蛍	OH_OO渋谷源氏	1470	1480	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
25.01蛍	OH_OO渋谷源氏	1480	1490	I	と	と	ト	助詞-格助詞			ト	和
25.01蛍	OH_OO渋谷源氏	1490	1510	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
25.01蛍	OH_OO渋谷源氏	1510	1530	I	乱る	乱れる	ミダレル	動詞-一般	文語下二段-ラ行	終止形-一般	ミダル	和
25.01蛍	OH_OO渋谷源氏	1530	1550	I	めれ	めり	メリ	助動詞	文語助動詞-メリ	已然形-一般	メレ	和
25.01蛍	OH_OO渋谷源氏	1550	1560	I	。	。		補助記号-句点				記号
25.01蛍	OH_OO渋谷源氏	1560	1570	B	か	彼	カ	代名詞			カ	和
25.01蛍	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
25.01蛍	OH_OO渋谷源氏	1580	1590	I	監	監	ゲン	名詞-普通名詞-一般			ゲン	漢
25.01蛍	OH_OO渋谷源氏	1590	1600	I	が	が	ガ	助詞-格助詞			ガ	和
25.01蛍	OH_OO渋谷源氏	1600	1630	I	憂かり	憂い	ウイ	形容詞-一般	文語形容詞-ク	連用形-補助	ウカリ	和
25.01蛍	OH_OO渋谷源氏	1630	1640	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
25.01蛍	OH_OO渋谷源氏	1640	1660	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
25.01蛍	OH_OO渋谷源氏	1660	1670	I	に	に	ニ	助詞-格助詞			ニ	和
25.01蛍	OH_OO渋谷源氏	1670	1680	I	は	は	ハ	助詞-係助詞			ワ	和
25.01蛍	OH_OO渋谷源氏	1680	1690	I	，	，		補助記号-読点				記号
25.01蛍	OH_OO渋谷源氏	1690	1730	I	なずらふ	擬う	ナゾラウ	動詞-一般	文語四段-ハ行	終止形-一般	ナズラウ	和
25.01蛍	OH_OO渋谷源氏	1730	1750	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
25.01蛍	OH_OO渋谷源氏	1750	1780	I	けはひ	気配	ケハイ	名詞-普通名詞-一般			ケワイ	和
25.01蛍	OH_OO渋谷源氏	1780	1800	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
25.01蛍	OH_OO渋谷源氏	1800	1810	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
25.01蛍	OH_OO渋谷源氏	1810	1820	I	ど	ど	ド	助詞-接続助詞			ド	和
25.01蛍	OH_OO渋谷源氏	1820	1830	I	、	、		補助記号-読点				記号
25.01蛍	OH_OO渋谷源氏	1830	1860	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
