24.01胡蝶	OH_OO渋谷源氏	1120	1150	I	まさる	勝る	マサル	動詞-一般	文語四段-ラ行	連体形-一般	マサル	和
24.01胡蝶	OH_OO渋谷源氏	1150	1160	I	苔	苔	コケ	名詞-普通名詞-一般			コケ	和
24.01胡蝶	OH_OO渋谷源氏	1160	1170	I	の	の	ノ	助詞-格助詞			ノ	和
24.01胡蝶	OH_OO渋谷源氏	1170	1200	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
24.01胡蝶	OH_OO渋谷源氏	1200	1220	I	など	など	ナド	助詞-副助詞			ナド	和
24.01胡蝶	OH_OO渋谷源氏	1220	1230	I	、	、		補助記号-読点				記号
24.01胡蝶	OH_OO渋谷源氏	1230	1250	I	若き	若い	ワカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワカキ	和
24.01胡蝶	OH_OO渋谷源氏	1250	1280	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
24.01胡蝶	OH_OO渋谷源氏	1280	1290	I	の	の	ノ	助詞-格助詞			ノ	和
24.01胡蝶	OH_OO渋谷源氏	1290	1320	I	はつか	僅か	ハツカ	形状詞-一般			ハツカ	和
24.01胡蝶	OH_OO渋谷源氏	1320	1330	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
24.01胡蝶	OH_OO渋谷源氏	1330	1380	I	心もとなく	心許ない	ココロモトナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロモトナク	和
24.01胡蝶	OH_OO渋谷源氏	1380	1400	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	終止形-一般	オモウ	和
24.01胡蝶	OH_OO渋谷源氏	1400	1420	I	べか	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-撥音便	ベカン	和
24.01胡蝶	OH_OO渋谷源氏	1420	1440	I	める	めり	メリ	助動詞	文語助動詞-メリ	連体形-一般	メル	和
24.01胡蝶	OH_OO渋谷源氏	1440	1450	I	に	に	ニ	助詞-接続助詞			ニ	和
24.01胡蝶	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
24.01胡蝶	OH_OO渋谷源氏	1460	1470	I	唐	唐	カラ	名詞-固有名詞-地名-国			カラ	固
24.01胡蝶	OH_OO渋谷源氏	1470	1490	I	めい	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-イ音便	メイ	和
24.01胡蝶	OH_OO渋谷源氏	1490	1510	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
24.01胡蝶	OH_OO渋谷源氏	1510	1520	I	舟	船	フネ	名詞-普通名詞-一般			フネ	和
24.01胡蝶	OH_OO渋谷源氏	1520	1540	I	造ら	作る	ツクル	動詞-一般	文語四段-ラ行	未然形-一般	ツクラ	和
24.01胡蝶	OH_OO渋谷源氏	1540	1550	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
24.01胡蝶	OH_OO渋谷源氏	1550	1580	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
24.01胡蝶	OH_OO渋谷源氏	1580	1600	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
24.01胡蝶	OH_OO渋谷源氏	1600	1610	I	、	、		補助記号-読点				記号
24.01胡蝶	OH_OO渋谷源氏	1610	1630	I	急ぎ	急ぐ	イソグ	動詞-一般	文語四段-ガ行	連用形-一般	イソギ	和
24.01胡蝶	OH_OO渋谷源氏	1630	1660	I	装束か	装束く	ソウゾク	動詞-一般	文語四段-カ行	未然形-一般	ソーゾカ	混
