25.03蛍	OH_OO渋谷源氏	1120	1170	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
25.03蛍	OH_OO渋谷源氏	1170	1200	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
25.03蛍	OH_OO渋谷源氏	1200	1210	I	。	。		補助記号-句点				記号
25.03蛍	OH_OO渋谷源氏	1210	1220	B	西	西	ニシ	名詞-普通名詞-一般			ニシ	和
25.03蛍	OH_OO渋谷源氏	1220	1230	I	の	の	ノ	助詞-格助詞			ノ	和
25.03蛍	OH_OO渋谷源氏	1230	1240	I	対	対	タイ	名詞-普通名詞-一般			タイ	漢
25.03蛍	OH_OO渋谷源氏	1240	1250	I	に	に	ニ	助詞-格助詞			ニ	和
25.03蛍	OH_OO渋谷源氏	1250	1260	I	は	は	ハ	助詞-係助詞			ワ	和
25.03蛍	OH_OO渋谷源氏	1260	1270	I	、	、		補助記号-読点				記号
25.03蛍	OH_OO渋谷源氏	1270	1300	I	まして	況して	マシテ	副詞			マシテ	和
25.03蛍	OH_OO渋谷源氏	1300	1350	I	めづらしく	珍しい	メズラシイ	形容詞-一般	文語形容詞-シク	連用形-一般	メズラシク	和
25.03蛍	OH_OO渋谷源氏	1350	1380	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
25.03蛍	OH_OO渋谷源氏	1380	1410	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
25.03蛍	OH_OO渋谷源氏	1410	1430	I	こと	事	コト	名詞-普通名詞-一般			コト	和
25.03蛍	OH_OO渋谷源氏	1430	1440	I	の	の	ノ	助詞-格助詞			ノ	和
25.03蛍	OH_OO渋谷源氏	1440	1450	I	筋	筋	スジ	名詞-普通名詞-助数詞可能			スジ	和
25.03蛍	OH_OO渋谷源氏	1450	1470	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
25.03蛍	OH_OO渋谷源氏	1470	1480	I	ば	ば	バ	助詞-接続助詞			バ	和
25.03蛍	OH_OO渋谷源氏	1480	1490	I	、	、		補助記号-読点				記号
25.03蛍	OH_OO渋谷源氏	1490	1530	I	明け暮れ	明け暮れ	アケクレ	名詞-普通名詞-サ変可能			アケクレ	和
25.03蛍	OH_OO渋谷源氏	1530	1550	I	書き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
25.03蛍	OH_OO渋谷源氏	1550	1570	I	読み	読む	ヨム	動詞-一般	文語四段-マ行	連用形-一般	ヨミ	和
25.03蛍	OH_OO渋谷源氏	1570	1610	I	いとなみ	営む	イトナム	動詞-一般	文語四段-マ行	連用形-一般	イトナミ	和
25.03蛍	OH_OO渋谷源氏	1610	1640	I	おはす	おわす	オワス	動詞-非自立可能	文語サ行変格	終止形-一般	オワス	和
25.03蛍	OH_OO渋谷源氏	1640	1650	I	。	。		補助記号-句点				記号
25.03蛍	OH_OO渋谷源氏	1650	1700	B	つきなから	付き無い	ツキナイ	形容詞-一般	文語形容詞-ク	未然形-補助	ツキナカラ	和
25.03蛍	OH_OO渋谷源氏	1700	1710	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
