36.02柏木	OH_OO渋谷源氏	1280	1290	I	を	を	ヲ	助詞-格助詞			オ	和
36.02柏木	OH_OO渋谷源氏	1290	1340	I	聞こし召さ	聞こし召す	キコシメス	動詞-一般	文語四段-サ行	未然形-一般	キコシメサ	和
36.02柏木	OH_OO渋谷源氏	1340	1350	I	で	で	デ	助詞-接続助詞			デ	和
36.02柏木	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
36.02柏木	OH_OO渋谷源氏	1360	1390	I	日ごろ	日頃	ヒゴロ	名詞-普通名詞-副詞可能			ヒゴロ	和
36.02柏木	OH_OO渋谷源氏	1390	1400	I	経	経る	ヘル	動詞-一般	文語下二段-ハ行	連用形-一般	ヘ	和
36.02柏木	OH_OO渋谷源氏	1400	1430	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
36.02柏木	OH_OO渋谷源氏	1430	1440	I	ば	ば	バ	助詞-接続助詞			バ	和
36.02柏木	OH_OO渋谷源氏	1440	1450	I	、	、		補助記号-読点				記号
36.02柏木	OH_OO渋谷源氏	1450	1470	I	いと	いと	イト	副詞			イト	和
36.02柏木	OH_OO渋谷源氏	1470	1500	I	頼もし	頼もしい	タノモシイ	形容詞-一般	文語形容詞-シク	語幹-一般	タノモシ	和
36.02柏木	OH_OO渋谷源氏	1500	1510	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
36.02柏木	OH_OO渋谷源氏	1510	1530	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
36.02柏木	OH_OO渋谷源氏	1530	1550	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
36.02柏木	OH_OO渋谷源氏	1550	1580	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
36.02柏木	OH_OO渋谷源氏	1580	1590	I	て	て	テ	助詞-接続助詞			テ	和
36.02柏木	OH_OO渋谷源氏	1590	1600	I	、	、		補助記号-読点				記号
36.02柏木	OH_OO渋谷源氏	1600	1630	I	年ごろ	年頃	トシゴロ	名詞-普通名詞-一般			トシゴロ	和
36.02柏木	OH_OO渋谷源氏	1630	1640	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
36.02柏木	OH_OO渋谷源氏	1640	1690	I	たてまつら	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	未然形-一般	タテマツラ	和
36.02柏木	OH_OO渋谷源氏	1690	1710	I	ざり	ず	ズ	助動詞	文語助動詞-ズ	連用形-補助	ザリ	和
36.02柏木	OH_OO渋谷源氏	1710	1720	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
36.02柏木	OH_OO渋谷源氏	1720	1740	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
36.02柏木	OH_OO渋谷源氏	1740	1760	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
36.02柏木	OH_OO渋谷源氏	1760	1770	I	も	も	モ	助詞-係助詞			モ	和
36.02柏木	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
36.02柏木	OH_OO渋谷源氏	1780	1790	I	院	院	イン	名詞-普通名詞-一般			イン	漢
36.02柏木	OH_OO渋谷源氏	1790	1800	I	の	の	ノ	助詞-格助詞			ノ	和
36.02柏木	OH_OO渋谷源氏	1800	1820	I	いと	いと	イト	副詞			イト	和
36.02柏木	OH_OO渋谷源氏	1820	1850	I	恋しく	恋しい	コイシイ	形容詞-一般	文語形容詞-シク	連用形-一般	コイシク	和
36.02柏木	OH_OO渋谷源氏	1850	1880	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
36.02柏木	OH_OO渋谷源氏	1880	1910	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
36.02柏木	OH_OO渋谷源氏	1910	1920	I	を	を	ヲ	助詞-格助詞			オ	和
36.02柏木	OH_OO渋谷源氏	1920	1930	I	、	、		補助記号-読点				記号
36.02柏木	OH_OO渋谷源氏	1930	1940	B	「	「		補助記号-括弧開				記号
