10.06賢木	OH_OO渋谷源氏	1300	1320	I	念誦	念誦	ネンジュ	名詞-普通名詞-サ変可能			ネンズ	漢
10.06賢木	OH_OO渋谷源氏	1320	1330	I	堂	堂	ドウ	接尾辞-名詞的-一般			ドー	漢
10.06賢木	OH_OO渋谷源氏	1330	1350	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
10.06賢木	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
10.06賢木	OH_OO渋谷源氏	1360	1380	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
10.06賢木	OH_OO渋谷源氏	1380	1400	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
10.06賢木	OH_OO渋谷源氏	1400	1410	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
10.06賢木	OH_OO渋谷源氏	1410	1420	I	て	て	テ	助詞-接続助詞			テ	和
10.06賢木	OH_OO渋谷源氏	1420	1430	I	、	、		補助記号-読点				記号
10.06賢木	OH_OO渋谷源氏	1430	1450	I	こと	異	コト	名詞-普通名詞-一般			コト	和
10.06賢木	OH_OO渋谷源氏	1450	1460	I	に	に	ニ	助詞-格助詞			ニ	和
10.06賢木	OH_OO渋谷源氏	1460	1480	I	建て	立てる	タテル	動詞-一般	文語下二段-タ行	未然形-一般	タテ	和
10.06賢木	OH_OO渋谷源氏	1480	1500	I	られ	られる	ラレル	助動詞	文語下二段-ラ行	連用形-一般	ラレ	和
10.06賢木	OH_OO渋谷源氏	1500	1520	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
10.06賢木	OH_OO渋谷源氏	1520	1540	I	御堂	御堂	ミドウ	名詞-普通名詞-一般			ミドー	混
10.06賢木	OH_OO渋谷源氏	1540	1550	I	の	の	ノ	助詞-格助詞			ノ	和
10.06賢木	OH_OO渋谷源氏	1550	1560	I	、	、		補助記号-読点				記号
10.06賢木	OH_OO渋谷源氏	1560	1570	I	西	西	ニシ	名詞-普通名詞-一般			ニシ	和
10.06賢木	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
10.06賢木	OH_OO渋谷源氏	1580	1590	I	対	対	タイ	名詞-普通名詞-一般			タイ	漢
10.06賢木	OH_OO渋谷源氏	1590	1600	I	の	の	ノ	助詞-格助詞			ノ	和
10.06賢木	OH_OO渋谷源氏	1600	1610	I	南	南	ミナミ	名詞-普通名詞-一般			ミナミ	和
10.06賢木	OH_OO渋谷源氏	1610	1620	I	に	に	ニ	助詞-格助詞			ニ	和
10.06賢木	OH_OO渋谷源氏	1620	1650	I	あたり	当たる	アタル	動詞-一般	文語四段-ラ行	連用形-一般	アタリ	和
10.06賢木	OH_OO渋谷源氏	1650	1660	I	て	て	テ	助詞-接続助詞			テ	和
10.06賢木	OH_OO渋谷源氏	1660	1670	I	、	、		補助記号-読点				記号
10.06賢木	OH_OO渋谷源氏	1670	1700	I	すこし	少し	スコシ	副詞			スコシ	和
10.06賢木	OH_OO渋谷源氏	1700	1720	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
10.06賢木	OH_OO渋谷源氏	1720	1740	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
10.06賢木	OH_OO渋谷源氏	1740	1750	I	に	に	ニ	助詞-格助詞			ニ	和
10.06賢木	OH_OO渋谷源氏	1750	1770	I	渡ら	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	未然形-一般	ワタラ	和
10.06賢木	OH_OO渋谷源氏	1770	1780	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
10.06賢木	OH_OO渋谷源氏	1780	1810	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
10.06賢木	OH_OO渋谷源氏	1810	1820	I	て	て	テ	助詞-接続助詞			テ	和
10.06賢木	OH_OO渋谷源氏	1820	1830	I	、	、		補助記号-読点				記号
