22.05玉鬘	OH_OO渋谷源氏	1370	1390	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
22.05玉鬘	OH_OO渋谷源氏	1390	1400	I	の	の	ノ	助詞-格助詞			ノ	和
22.05玉鬘	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
22.05玉鬘	OH_OO渋谷源氏	1410	1420	I	我	我	ワレ	代名詞			ワレ	和
22.05玉鬘	OH_OO渋谷源氏	1420	1430	I	も	も	モ	助詞-係助詞			モ	和
22.05玉鬘	OH_OO渋谷源氏	1430	1440	I	我	我	ワレ	代名詞			ワレ	和
22.05玉鬘	OH_OO渋谷源氏	1440	1450	I	も	も	モ	助詞-係助詞			モ	和
22.05玉鬘	OH_OO渋谷源氏	1450	1460	I	と	と	ト	助詞-格助詞			ト	和
22.05玉鬘	OH_OO渋谷源氏	1460	1470	I	、	、		補助記号-読点				記号
22.05玉鬘	OH_OO渋谷源氏	1470	1480	I	手	手	テ	名詞-普通名詞-助数詞可能			テ	和
22.05玉鬘	OH_OO渋谷源氏	1480	1490	I	を	を	ヲ	助詞-格助詞			オ	和
22.05玉鬘	OH_OO渋谷源氏	1490	1520	I	尽くし	尽くす	ツクス	動詞-非自立可能	文語四段-サ行	連用形-一般	ツクシ	和
22.05玉鬘	OH_OO渋谷源氏	1520	1530	I	て	て	テ	助詞-接続助詞			テ	和
22.05玉鬘	OH_OO渋谷源氏	1530	1550	I	織り	織る	オル	動詞-一般	文語四段-ラ行	連用形-一般	オリ	和
22.05玉鬘	OH_OO渋谷源氏	1550	1570	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
22.05玉鬘	OH_OO渋谷源氏	1570	1580	I	持	持つ	モツ	動詞-一般	文語四段-タ行	連用形-促音便	モッ	和
22.05玉鬘	OH_OO渋谷源氏	1580	1590	I	て	て	テ	助詞-接続助詞			テ	和
22.05玉鬘	OH_OO渋谷源氏	1590	1610	I	参れ	参る	マイル	動詞-非自立可能	文語四段-ラ行	命令形	マイレ	和
22.05玉鬘	OH_OO渋谷源氏	1610	1620	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
