50.03東屋	OH_OO渋谷源氏	1160	1170	I	も	も	モ	助詞-係助詞			モ	和
50.03東屋	OH_OO渋谷源氏	1170	1190	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
50.03東屋	OH_OO渋谷源氏	1190	1210	I	嘆き	嘆く	ナゲク	動詞-一般	文語四段-カ行	連用形-一般	ナゲキ	和
50.03東屋	OH_OO渋谷源氏	1210	1220	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
50.03東屋	OH_OO渋谷源氏	1220	1230	I	を	を	ヲ	助詞-格助詞			オ	和
50.03東屋	OH_OO渋谷源氏	1230	1240	I	、	、		補助記号-読点				記号
50.03東屋	OH_OO渋谷源氏	1240	1280	I	こよなき	こよない	コヨナイ	形容詞-一般	文語形容詞-ク	連体形-一般	コヨナキ	和
50.03東屋	OH_OO渋谷源氏	1280	1290	I	御	御	ミ	接頭辞			ミ	和
50.03東屋	OH_OO渋谷源氏	1290	1310	I	宿世	宿世	シュクセ	名詞-普通名詞-一般			スクセ	漢
50.03東屋	OH_OO渋谷源氏	1310	1320	I	の	の	ノ	助詞-格助詞			ノ	和
50.03東屋	OH_OO渋谷源氏	1320	1340	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
50.03東屋	OH_OO渋谷源氏	1340	1360	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
50.03東屋	OH_OO渋谷源氏	1360	1380	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
50.03東屋	OH_OO渋谷源氏	1380	1390	I	ば	ば	バ	助詞-接続助詞			バ	和
50.03東屋	OH_OO渋谷源氏	1390	1400	I	、	、		補助記号-読点				記号
50.03東屋	OH_OO渋谷源氏	1400	1420	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
50.03東屋	OH_OO渋谷源氏	1420	1470	I	山ふところ	山懐	ヤマフトコロ	名詞-普通名詞-一般			ヤマフトコロ	和
50.03東屋	OH_OO渋谷源氏	1470	1480	I	の	の	ノ	助詞-格助詞			ノ	和
50.03東屋	OH_OO渋谷源氏	1480	1500	I	なか	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
50.03東屋	OH_OO渋谷源氏	1500	1510	I	に	に	ニ	助詞-格助詞			ニ	和
50.03東屋	OH_OO渋谷源氏	1510	1520	I	も	も	モ	助詞-係助詞			モ	和
50.03東屋	OH_OO渋谷源氏	1520	1530	I	、	、		補助記号-読点				記号
50.03東屋	OH_OO渋谷源氏	1530	1550	I	生ひ	生いる	オイル	動詞-一般	文語上二段-ハ行	連用形-一般	オイ	和
50.03東屋	OH_OO渋谷源氏	1550	1570	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	未然形-一般	イデ	和
50.03東屋	OH_OO渋谷源氏	1570	1590	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
50.03東屋	OH_OO渋谷源氏	1590	1620	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
50.03東屋	OH_OO渋谷源氏	1620	1630	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
50.03東屋	OH_OO渋谷源氏	1630	1640	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
50.03東屋	OH_OO渋谷源氏	1640	1660	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
50.03東屋	OH_OO渋谷源氏	1660	1680	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.03東屋	OH_OO渋谷源氏	1680	1700	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
50.03東屋	OH_OO渋谷源氏	1700	1710	I	。	。		補助記号-句点				記号
50.03東屋	OH_OO渋谷源氏	1710	1750	B	口惜しく	口惜しい	クチオシイ	形容詞-一般	文語形容詞-シク	連用形-一般	クチオシク	和
