22.02玉鬘	OH_OO渋谷源氏	1250	1260	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
22.02玉鬘	OH_OO渋谷源氏	1260	1270	I	を	を	ヲ	助詞-格助詞			オ	和
22.02玉鬘	OH_OO渋谷源氏	1270	1290	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
22.02玉鬘	OH_OO渋谷源氏	1290	1310	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
22.02玉鬘	OH_OO渋谷源氏	1310	1320	I	て	て	テ	助詞-接続助詞			テ	和
22.02玉鬘	OH_OO渋谷源氏	1320	1330	I	、	、		補助記号-読点				記号
22.02玉鬘	OH_OO渋谷源氏	1330	1340	B	「	「		補助記号-括弧開				記号
22.02玉鬘	OH_OO渋谷源氏	1340	1380	I	いみじき	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連体形-一般	イミジキ	和
22.02玉鬘	OH_OO渋谷源氏	1380	1410	I	かたは	片端	カタワ	名詞-普通名詞-一般			カタワ	和
22.02玉鬘	OH_OO渋谷源氏	1410	1430	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	終止形-一般	アリ	和
22.02玉鬘	OH_OO渋谷源氏	1430	1450	I	とも	とも	トモ	助詞-接続助詞			トモ	和
22.02玉鬘	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
22.02玉鬘	OH_OO渋谷源氏	1460	1470	I	我	我	ワレ	代名詞			ワレ	和
22.02玉鬘	OH_OO渋谷源氏	1470	1480	I	は	は	ハ	助詞-係助詞			ワ	和
22.02玉鬘	OH_OO渋谷源氏	1480	1490	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
22.02玉鬘	OH_OO渋谷源氏	1490	1510	I	隠し	隠す	カクス	動詞-一般	文語四段-サ行	連用形-一般	カクシ	和
22.02玉鬘	OH_OO渋谷源氏	1510	1520	I	て	て	テ	助詞-接続助詞			テ	和
22.02玉鬘	OH_OO渋谷源氏	1520	1530	I	持	持つ	モツ	動詞-一般	文語四段-タ行	連用形-促音便	モッ	和
22.02玉鬘	OH_OO渋谷源氏	1530	1550	I	たら	たり	タリ	助動詞	文語助動詞-タリ-完了	未然形-一般	タラ	和
22.02玉鬘	OH_OO渋谷源氏	1550	1560	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
22.02玉鬘	OH_OO渋谷源氏	1560	1570	I	」	」		補助記号-括弧閉				記号
22.02玉鬘	OH_OO渋谷源氏	1570	1580	B	と	と	ト	助詞-格助詞			ト	和
22.02玉鬘	OH_OO渋谷源氏	1580	1590	I	，	，		補助記号-読点				記号
22.02玉鬘	OH_OO渋谷源氏	1590	1610	I	いと	いと	イト	副詞			イト	和
22.02玉鬘	OH_OO渋谷源氏	1610	1650	I	ねむごろ	懇ろ	ネンゴロ	形状詞-一般			ネンゴロ	和
22.02玉鬘	OH_OO渋谷源氏	1650	1660	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
22.02玉鬘	OH_OO渋谷源氏	1660	1680	I	言ひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
22.02玉鬘	OH_OO渋谷源氏	1680	1710	I	かかる	掛かる	カカル	動詞-非自立可能	文語四段-ラ行	連体形-一般	カカル	和
22.02玉鬘	OH_OO渋谷源氏	1710	1720	I	を	を	ヲ	助詞-格助詞			オ	和
22.02玉鬘	OH_OO渋谷源氏	1720	1730	I	、	、		補助記号-読点				記号
22.02玉鬘	OH_OO渋谷源氏	1730	1750	I	いと	いと	イト	副詞			イト	和
