46.02椎本	OH_OO渋谷源氏	1280	1300	I	やら	遣る	ヤル	動詞-非自立可能	文語四段-ラ行	未然形-一般	ヤラ	和
46.02椎本	OH_OO渋谷源氏	1300	1320	I	るる	れる	レル	助動詞	文語下二段-ラ行	連体形-一般	ルル	和
46.02椎本	OH_OO渋谷源氏	1320	1330	I	に	に	ニ	助詞-接続助詞			ニ	和
46.02椎本	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	1340	1350	I	罪	罪	ツミ	名詞-普通名詞-一般			ツミ	和
46.02椎本	OH_OO渋谷源氏	1350	1370	I	軽く	軽い	カルイ	形容詞-一般	文語形容詞-ク	連用形-一般	カロク	和
46.02椎本	OH_OO渋谷源氏	1370	1390	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
46.02椎本	OH_OO渋谷源氏	1390	1420	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
46.02椎本	OH_OO渋谷源氏	1420	1450	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
46.02椎本	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	1460	1480	I	行ひ	行い	オコナイ	名詞-普通名詞-一般			オコナイ	和
46.02椎本	OH_OO渋谷源氏	1480	1490	I	も	も	モ	助詞-係助詞			モ	和
46.02椎本	OH_OO渋谷源氏	1490	1500	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
46.02椎本	OH_OO渋谷源氏	1500	1540	I	まほしく	まほし	マホシ	助動詞	文語形容詞-シク	連用形-一般	マホシク	和
46.02椎本	OH_OO渋谷源氏	1540	1560	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
46.02椎本	OH_OO渋谷源氏	1560	1570	I	。	。		補助記号-句点				記号
46.02椎本	OH_OO渋谷源氏	1570	1580	B	か	彼	カ	代名詞			カ	和
46.02椎本	OH_OO渋谷源氏	1580	1590	I	の	の	ノ	助詞-格助詞			ノ	和
46.02椎本	OH_OO渋谷源氏	1590	1620	I	老い人	老い人	オイヒト	名詞-普通名詞-一般			オイビト	和
46.02椎本	OH_OO渋谷源氏	1620	1640	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
46.02椎本	OH_OO渋谷源氏	1640	1670	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
46.02椎本	OH_OO渋谷源氏	1670	1690	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
46.02椎本	OH_OO渋谷源氏	1690	1710	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
46.02椎本	OH_OO渋谷源氏	1710	1720	I	に	に	ニ	助詞-格助詞			ニ	和
46.02椎本	OH_OO渋谷源氏	1720	1740	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
46.02椎本	OH_OO渋谷源氏	1740	1760	I	おき	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
46.02椎本	OH_OO渋谷源氏	1760	1770	I	て	て	テ	助詞-接続助詞			テ	和
46.02椎本	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	1780	1830	I	いちじるき	著しい	イチジルシイ	形容詞-一般	文語形容詞-ク	連体形-一般	イチジルキ	和
46.02椎本	OH_OO渋谷源氏	1830	1850	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
46.02椎本	OH_OO渋谷源氏	1850	1870	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
46.02椎本	OH_OO渋谷源氏	1870	1880	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
46.02椎本	OH_OO渋谷源氏	1880	1890	I	、	、		補助記号-読点				記号
46.02椎本	OH_OO渋谷源氏	1890	1920	I	とかく	兎角	トカク	副詞			トカク	和
