44.01竹河	OH_OO渋谷源氏	1000	1020	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
44.01竹河	OH_OO渋谷源氏	1020	1030	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	1030	1040	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1040	1050	I	「	「		補助記号-括弧開				記号
44.01竹河	OH_OO渋谷源氏	1050	1060	I	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固
44.01竹河	OH_OO渋谷源氏	1060	1070	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢
44.01竹河	OH_OO渋谷源氏	1070	1080	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1080	1090	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	1090	1110	I	末々	末々	スエズエ	名詞-普通名詞-一般			スエズエ	和
44.01竹河	OH_OO渋谷源氏	1110	1120	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	1120	1130	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1130	1170	I	ひがこと	僻事	ヒガゴト	名詞-普通名詞-一般			ヒガコト	和
44.01竹河	OH_OO渋谷源氏	1170	1190	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
44.01竹河	OH_OO渋谷源氏	1190	1200	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1200	1230	I	混じり	交じる	マジル	動詞-一般	文語四段-ラ行	連用形-一般	マジリ	和
44.01竹河	OH_OO渋谷源氏	1230	1240	I	て	て	テ	助詞-接続助詞			テ	和
44.01竹河	OH_OO渋谷源氏	1240	1280	I	聞こゆる	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連体形-一般	キコユル	和
44.01竹河	OH_OO渋谷源氏	1280	1290	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1300	1310	I	我	我	ワレ	代名詞			ワレ	和
44.01竹河	OH_OO渋谷源氏	1310	1330	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
44.01竹河	OH_OO渋谷源氏	1330	1340	I	も	も	モ	助詞-係助詞			モ	和
44.01竹河	OH_OO渋谷源氏	1340	1350	I	年	年	トシ	名詞-普通名詞-副詞可能			トシ	和
44.01竹河	OH_OO渋谷源氏	1350	1360	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1360	1370	I	数	数	カズ	名詞-普通名詞-一般			カズ	和
44.01竹河	OH_OO渋谷源氏	1370	1400	I	積もり	積もる	ツモル	動詞-一般	文語四段-ラ行	連用形-一般	ツモリ	和
44.01竹河	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1410	1430	I	ほけ	惚ける	ホウケル	動詞-一般	文語下二段-カ行	連用形-一般	ホケ	和
44.01竹河	OH_OO渋谷源氏	1430	1450	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	連用形-一般	タリ	和
44.01竹河	OH_OO渋谷源氏	1450	1470	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
44.01竹河	OH_OO渋谷源氏	1470	1480	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
44.01竹河	OH_OO渋谷源氏	1480	1490	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1490	1530	I	ひがこと	僻事	ヒガゴト	名詞-普通名詞-一般			ヒガコト	和
44.01竹河	OH_OO渋谷源氏	1530	1540	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
44.01竹河	OH_OO渋谷源氏	1540	1550	I	や	や	ヤ	助詞-係助詞			ヤ	和
44.01竹河	OH_OO渋谷源氏	1550	1560	I	」	」		補助記号-括弧閉				記号
44.01竹河	OH_OO渋谷源氏	1560	1580	I	など	など	ナド	助詞-副助詞			ナド	和
44.01竹河	OH_OO渋谷源氏	1580	1610	I	あやし	怪しい	アヤシイ	形容詞-一般	文語形容詞-シク	語幹-一般	アヤシ	和
44.01竹河	OH_OO渋谷源氏	1610	1630	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
44.01竹河	OH_OO渋谷源氏	1630	1650	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
44.01竹河	OH_OO渋谷源氏	1650	1660	I	．	．		補助記号-句点				記号
44.01竹河	OH_OO渋谷源氏	1660	1690	I	いづれ	何れ	イズレ	代名詞			イズレ	和
44.01竹河	OH_OO渋谷源氏	1690	1700	I	か	か	カ	助詞-係助詞			カ	和
44.01竹河	OH_OO渋谷源氏	1700	1710	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	1710	1740	I	まこと	真	マコト	名詞-普通名詞-一般			マコト	和
44.01竹河	OH_OO渋谷源氏	1740	1760	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
44.01竹河	OH_OO渋谷源氏	1760	1770	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
44.01竹河	OH_OO渋谷源氏	1770	1780	I	。	。		補助記号-句点				記号
44.01竹河	OH_OO渋谷源氏	1780	1800	B	尚侍	守	カミ	名詞-普通名詞-一般			カン	和
44.01竹河	OH_OO渋谷源氏	1800	1810	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1810	1820	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	1820	1830	I	腹	腹	ハラ	名詞-普通名詞-一般			ハラ	和
44.01竹河	OH_OO渋谷源氏	1830	1840	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	1840	1850	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1850	1870	I	故殿	故殿	コドノ	名詞-普通名詞-一般			コトノ	混
44.01竹河	OH_OO渋谷源氏	1870	1880	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	1880	1900	I	御子	御子	ミコ	名詞-普通名詞-一般			ミコ	和
44.01竹河	OH_OO渋谷源氏	1900	1910	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	1910	1920	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1920	1930	I	男	男	オトコ	名詞-普通名詞-一般			オトコ	和
44.01竹河	OH_OO渋谷源氏	1930	1940	I	三	三	ミ	名詞-数詞			ミ	和
44.01竹河	OH_OO渋谷源氏	1940	1950	I	人	人	タリ	接尾辞-名詞的-助数詞			タリ	和
44.01竹河	OH_OO渋谷源氏	1950	1960	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	1960	1970	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
44.01竹河	OH_OO渋谷源氏	1970	1990	I	二人	二人	フタリ	名詞-普通名詞-副詞可能			フタリ	和
44.01竹河	OH_OO渋谷源氏	1990	2010	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
44.01竹河	OH_OO渋谷源氏	2010	2040	I	おはし	おわす	オワス	動詞-非自立可能	文語サ行変格	連用形-一般	オワシ	和
44.01竹河	OH_OO渋谷源氏	2040	2060	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
44.01竹河	OH_OO渋谷源氏	2060	2070	I	を	を	ヲ	助詞-格助詞			オ	和
44.01竹河	OH_OO渋谷源氏	2070	2080	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	2080	2120	I	さまざま	様々	サマザマ	形状詞-一般			サマザマ	和
44.01竹河	OH_OO渋谷源氏	2120	2130	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
44.01竹河	OH_OO渋谷源氏	2130	2170	I	かしづき	傅く	カシズク	動詞-一般	文語四段-カ行	連用形-一般	カシズキ	和
44.01竹河	OH_OO渋谷源氏	2170	2190	I	たて	立てる	タテル	動詞-一般	文語下二段-タ行	未然形-一般	タテ	和
44.01竹河	OH_OO渋谷源氏	2190	2200	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
44.01竹河	OH_OO渋谷源氏	2200	2220	I	こと	事	コト	名詞-普通名詞-一般			コト	和
44.01竹河	OH_OO渋谷源氏	2220	2230	I	を	を	ヲ	助詞-格助詞			オ	和
44.01竹河	OH_OO渋谷源氏	2230	2250	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
