34.03若菜上	OH_OO渋谷源氏	1280	1300	I	柏殿	柏殿	カエドノ	名詞-普通名詞-一般			カエドノ	和
34.03若菜上	OH_OO渋谷源氏	1300	1310	I	の	の	ノ	助詞-格助詞			ノ	和
34.03若菜上	OH_OO渋谷源氏	1310	1330	I	西面	西面	ニシオモテ	名詞-普通名詞-一般			ニシオモテ	和
34.03若菜上	OH_OO渋谷源氏	1330	1340	I	に	に	ニ	助詞-格助詞			ニ	和
34.03若菜上	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1350	1370	I	御帳	御帳	ミチョウ	名詞-普通名詞-一般			ミチョー	混
34.03若菜上	OH_OO渋谷源氏	1370	1380	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1380	1390	I	御	御	ミ	接頭辞			ミ	和
34.03若菜上	OH_OO渋谷源氏	1390	1410	I	几帳	几帳	キチョウ	名詞-普通名詞-一般			キチョー	漢
34.03若菜上	OH_OO渋谷源氏	1410	1430	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.03若菜上	OH_OO渋谷源氏	1430	1460	I	はじめ	始める	ハジメル	動詞-非自立可能	文語下二段-マ行	連用形-一般	ハジメ	和
34.03若菜上	OH_OO渋谷源氏	1460	1470	I	て	て	テ	助詞-接続助詞			テ	和
34.03若菜上	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1480	1500	I	ここ	此処	ココ	代名詞			ココ	和
34.03若菜上	OH_OO渋谷源氏	1500	1510	I	の	の	ノ	助詞-格助詞			ノ	和
34.03若菜上	OH_OO渋谷源氏	1510	1530	I	綾錦	綾錦	アヤニシキ	名詞-普通名詞-一般			アヤニシキ	和
34.03若菜上	OH_OO渋谷源氏	1530	1550	I	混ぜ	交ぜる	マゼル	動詞-一般	文語下二段-ザ行	未然形-一般	マゼ	和
34.03若菜上	OH_OO渋谷源氏	1550	1570	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.03若菜上	OH_OO渋谷源氏	1570	1600	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
34.03若菜上	OH_OO渋谷源氏	1600	1610	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
34.03若菜上	OH_OO渋谷源氏	1610	1620	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1620	1640	I	唐土	唐土	モロコシ	名詞-普通名詞-一般			モロコシ	和
34.03若菜上	OH_OO渋谷源氏	1640	1650	I	の	の	ノ	助詞-格助詞			ノ	和
34.03若菜上	OH_OO渋谷源氏	1650	1660	I	后	后	キサキ	名詞-普通名詞-一般			キサキ	和
34.03若菜上	OH_OO渋谷源氏	1660	1670	I	の	の	ノ	助詞-格助詞			ノ	和
34.03若菜上	OH_OO渋谷源氏	1670	1690	I	飾り	飾り	カザリ	名詞-普通名詞-一般			カザリ	和
34.03若菜上	OH_OO渋谷源氏	1690	1700	I	を	を	ヲ	助詞-格助詞			オ	和
34.03若菜上	OH_OO渋谷源氏	1700	1720	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.03若菜上	OH_OO渋谷源氏	1720	1740	I	やり	遣る	ヤル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ヤリ	和
34.03若菜上	OH_OO渋谷源氏	1740	1750	I	て	て	テ	助詞-接続助詞			テ	和
34.03若菜上	OH_OO渋谷源氏	1750	1760	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1760	1810	I	うるはしく	麗しい	ウルワシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ウルワシク	和
34.03若菜上	OH_OO渋谷源氏	1810	1870	I	ことことしく	事々しい	コトゴトシイ	形容詞-一般	文語形容詞-シク	連用形-一般	コトコトシク	和
34.03若菜上	OH_OO渋谷源氏	1870	1880	I	、	、		補助記号-読点				記号
34.03若菜上	OH_OO渋谷源氏	1880	1920	I	かかやく	輝く	カガヤク	動詞-一般	文語四段-カ行	連体形-一般	カカヤク	和
34.03若菜上	OH_OO渋谷源氏	1920	1950	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
34.03若菜上	OH_OO渋谷源氏	1950	1970	I	調へ	整える	トトノエル	動詞-一般	文語下二段-ハ行	未然形-一般	トトノエ	和
34.03若菜上	OH_OO渋谷源氏	1970	1990	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.03若菜上	OH_OO渋谷源氏	1990	2020	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.03若菜上	OH_OO渋谷源氏	2020	2030	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
