17.03絵合	OH_OO渋谷源氏	1150	1180	I	とどめ	留める	トドメル	動詞-一般	文語下二段-マ行	連用形-一般	トドメ	和
17.03絵合	OH_OO渋谷源氏	1180	1210	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
17.03絵合	OH_OO渋谷源氏	1210	1220	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
17.03絵合	OH_OO渋谷源氏	1220	1230	I	に	に	ニ	助詞-接続助詞			ニ	和
17.03絵合	OH_OO渋谷源氏	1230	1240	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	1240	1250	I	か	彼	カ	代名詞			カ	和
17.03絵合	OH_OO渋谷源氏	1250	1260	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	1260	1270	I	「	「		補助記号-括弧開				記号
17.03絵合	OH_OO渋谷源氏	1270	1290	I	須磨	スマ	スマ	名詞-固有名詞-地名-一般			スマ	固
17.03絵合	OH_OO渋谷源氏	1290	1300	I	」	」		補助記号-括弧閉				記号
17.03絵合	OH_OO渋谷源氏	1300	1310	I	「	「		補助記号-括弧開				記号
17.03絵合	OH_OO渋谷源氏	1310	1330	I	明石	アカシ	アカシ	名詞-固有名詞-地名-一般			アカシ	固
17.03絵合	OH_OO渋谷源氏	1330	1340	I	」	」		補助記号-括弧閉				記号
17.03絵合	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	1350	1360	I	二	二	フタ	名詞-数詞			フタ	和
17.03絵合	OH_OO渋谷源氏	1360	1370	I	巻	巻	マキ	名詞-普通名詞-助数詞可能			マキ	和
17.03絵合	OH_OO渋谷源氏	1370	1380	I	は	は	ハ	助詞-係助詞			ワ	和
17.03絵合	OH_OO渋谷源氏	1380	1390	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	1390	1410	I	思す	思す	オボス	動詞-一般	文語四段-サ行	連体形-一般	オボス	和
17.03絵合	OH_OO渋谷源氏	1410	1440	I	ところ	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
17.03絵合	OH_OO渋谷源氏	1440	1460	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
17.03絵合	OH_OO渋谷源氏	1460	1470	I	て	て	テ	助詞-接続助詞			テ	和
17.03絵合	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	1480	1500	I	取り	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
17.03絵合	OH_OO渋谷源氏	1500	1520	I	交ぜ	交ぜる	マゼル	動詞-一般	文語下二段-ザ行	未然形-一般	マゼ	和
17.03絵合	OH_OO渋谷源氏	1520	1540	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
17.03絵合	OH_OO渋谷源氏	1540	1570	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
17.03絵合	OH_OO渋谷源氏	1570	1580	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
17.03絵合	OH_OO渋谷源氏	1580	1590	I	。	。		補助記号-句点				記号
17.03絵合	OH_OO渋谷源氏	1590	1600	B	中	中	チュウ	接頭辞			チュー	漢
17.03絵合	OH_OO渋谷源氏	1600	1620	I	納言	納言	ナゴン	名詞-普通名詞-一般			ナゴン	漢
17.03絵合	OH_OO渋谷源氏	1620	1630	I	も	も	モ	助詞-係助詞			モ	和
17.03絵合	OH_OO渋谷源氏	1630	1640	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	1640	1650	I	そ	其	ソ	代名詞			ソ	和
17.03絵合	OH_OO渋谷源氏	1650	1660	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	1660	1670	I	御	御	ミ	接頭辞			ミ	和
17.03絵合	OH_OO渋谷源氏	1670	1680	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
17.03絵合	OH_OO渋谷源氏	1680	1700	I	劣ら	劣る	オトル	動詞-一般	文語四段-ラ行	未然形-一般	オトラ	和
17.03絵合	OH_OO渋谷源氏	1700	1710	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
17.03絵合	OH_OO渋谷源氏	1710	1720	I	。	。		補助記号-句点				記号
17.03絵合	OH_OO渋谷源氏	1720	1730	B	こ	是	コ	代名詞			コ	和
17.03絵合	OH_OO渋谷源氏	1730	1740	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	1740	1760	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
17.03絵合	OH_OO渋谷源氏	1760	1770	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	1770	1780	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
17.03絵合	OH_OO渋谷源氏	1780	1790	I	に	に	ニ	助詞-格助詞			ニ	和
17.03絵合	OH_OO渋谷源氏	1790	1800	I	は	は	ハ	助詞-係助詞			ワ	和
17.03絵合	OH_OO渋谷源氏	1800	1810	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	1810	1830	I	ただ	唯	タダ	副詞			タダ	和
17.03絵合	OH_OO渋谷源氏	1830	1850	I	かく	斯く	カク	副詞			カク	和
17.03絵合	OH_OO渋谷源氏	1850	1900	I	おもしろき	面白い	オモシロイ	形容詞-一般	文語形容詞-ク	連体形-一般	オモシロキ	和
17.03絵合	OH_OO渋谷源氏	1900	1920	I	紙絵	紙絵	カミエ	名詞-普通名詞-一般			カミエ	和
17.03絵合	OH_OO渋谷源氏	1920	1930	I	を	を	ヲ	助詞-格助詞			オ	和
17.03絵合	OH_OO渋谷源氏	1930	1980	I	ととのふる	整える	トトノエル	動詞-一般	文語下二段-ハ行	連体形-一般	トトノウル	和
17.03絵合	OH_OO渋谷源氏	1980	2000	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.03絵合	OH_OO渋谷源氏	2000	2010	I	を	を	ヲ	助詞-格助詞			オ	和
17.03絵合	OH_OO渋谷源氏	2010	2020	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	2020	2030	I	天	天	アメ	名詞-普通名詞-一般			アメ	和
17.03絵合	OH_OO渋谷源氏	2030	2040	I	の	の	ノ	助詞-格助詞			ノ	和
17.03絵合	OH_OO渋谷源氏	2040	2050	I	下	下	シタ	名詞-普通名詞-一般			シタ	和
17.03絵合	OH_OO渋谷源氏	2050	2090	I	いとなみ	営む	イトナム	動詞-一般	文語四段-マ行	連用形-一般	イトナミ	和
17.03絵合	OH_OO渋谷源氏	2090	2110	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
17.03絵合	OH_OO渋谷源氏	2110	2120	I	。	。		補助記号-句点				記号
17.03絵合	OH_OO渋谷源氏	2120	2130	B	「	「		補助記号-括弧開				記号
17.03絵合	OH_OO渋谷源氏	2130	2140	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
17.03絵合	OH_OO渋谷源氏	2140	2180	I	あらため	改める	アラタメル	動詞-一般	文語下二段-マ行	連用形-一般	アラタメ	和
17.03絵合	OH_OO渋谷源氏	2180	2200	I	描か	書く	カク	動詞-一般	文語四段-カ行	未然形-一般	カカ	和
17.03絵合	OH_OO渋谷源氏	2200	2210	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
17.03絵合	OH_OO渋谷源氏	2210	2230	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.03絵合	OH_OO渋谷源氏	2230	2240	I	は	は	ハ	助詞-係助詞			ワ	和
17.03絵合	OH_OO渋谷源氏	2240	2250	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	2250	2270	I	本意	本意	ホンイ	名詞-普通名詞-一般			ホンイ	漢
17.03絵合	OH_OO渋谷源氏	2270	2290	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
17.03絵合	OH_OO渋谷源氏	2290	2310	I	こと	事	コト	名詞-普通名詞-一般			コト	和
17.03絵合	OH_OO渋谷源氏	2310	2330	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
17.03絵合	OH_OO渋谷源氏	2330	2340	I	。	。		補助記号-句点				記号
17.03絵合	OH_OO渋谷源氏	2340	2360	B	ただ	唯	タダ	副詞			タダ	和
17.03絵合	OH_OO渋谷源氏	2360	2380	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
17.03絵合	OH_OO渋谷源氏	2380	2400	I	けむ	けむ	ケム	助動詞	文語助動詞-ケム	連体形-一般	ケム	和
17.03絵合	OH_OO渋谷源氏	2400	2420	I	限り	限り	カギリ	名詞-普通名詞-副詞可能			カギリ	和
17.03絵合	OH_OO渋谷源氏	2420	2430	I	を	を	ヲ	助詞-格助詞			オ	和
17.03絵合	OH_OO渋谷源氏	2430	2450	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
17.03絵合	OH_OO渋谷源氏	2450	2460	I	」	」		補助記号-括弧閉				記号
17.03絵合	OH_OO渋谷源氏	2460	2470	B	と	と	ト	助詞-格助詞			ト	和
17.03絵合	OH_OO渋谷源氏	2470	2510	I	のたまへ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	已然形-一般	ノタマエ	和
17.03絵合	OH_OO渋谷源氏	2510	2520	I	ど	ど	ド	助詞-接続助詞			ド	和
17.03絵合	OH_OO渋谷源氏	2520	2530	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	2530	2540	I	中	中	チュウ	接頭辞			チュー	漢
17.03絵合	OH_OO渋谷源氏	2540	2560	I	納言	納言	ナゴン	名詞-普通名詞-一般			ナゴン	漢
17.03絵合	OH_OO渋谷源氏	2560	2570	I	は	は	ハ	助詞-係助詞			ワ	和
17.03絵合	OH_OO渋谷源氏	2570	2580	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
17.03絵合	OH_OO渋谷源氏	2580	2590	I	に	に	ニ	助詞-格助詞			ニ	和
17.03絵合	OH_OO渋谷源氏	2590	2600	I	も	も	モ	助詞-係助詞			モ	和
17.03絵合	OH_OO渋谷源氏	2600	2620	I	見せ	見せる	ミセル	動詞-非自立可能	文語下二段-サ行	未然形-一般	ミセ	和
17.03絵合	OH_OO渋谷源氏	2620	2630	I	で	で	デ	助詞-接続助詞			デ	和
17.03絵合	OH_OO渋谷源氏	2630	2640	I	、	、		補助記号-読点				記号
17.03絵合	OH_OO渋谷源氏	2640	2680	I	わりなき	わりない	ワリナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワリナキ	和
17.03絵合	OH_OO渋谷源氏	2680	2690	I	窓	窓	マド	名詞-普通名詞-一般			マド	和
17.03絵合	OH_OO渋谷源氏	2690	2700	I	を	を	ヲ	助詞-格助詞			オ	和
17.03絵合	OH_OO渋谷源氏	2700	2720	I	開け	開ける	アケル	動詞-一般	文語下二段-カ行	連用形-一般	アケ	和
