53.04手習	OH_OO渋谷源氏	1140	1160	I	だち	立つ	ダツ	接尾辞-動詞的	文語四段-タ行	連用形-一般	ダチ	和
53.04手習	OH_OO渋谷源氏	1160	1170	I	て	て	テ	助詞-接続助詞			テ	和
53.04手習	OH_OO渋谷源氏	1170	1180	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1180	1200	I	詣で	詣でる	モウデル	動詞-一般	文語下二段-ダ行	連用形-一般	モーデ	和
53.04手習	OH_OO渋谷源氏	1200	1230	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
53.04手習	OH_OO渋谷源氏	1230	1250	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
53.04手習	OH_OO渋谷源氏	1250	1270	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
53.04手習	OH_OO渋谷源氏	1270	1280	I	。	。		補助記号-句点				記号
53.04手習	OH_OO渋谷源氏	1280	1290	B	「	「		補助記号-括弧開				記号
53.04手習	OH_OO渋谷源氏	1290	1310	I	いざ	いざ	イザ	感動詞-一般			イザ	和
53.04手習	OH_OO渋谷源氏	1310	1320	I	，	，		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1320	1350	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
53.04手習	OH_OO渋谷源氏	1350	1360	I	。	。		補助記号-句点				記号
53.04手習	OH_OO渋谷源氏	1360	1370	B	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
53.04手習	OH_OO渋谷源氏	1370	1380	I	や	や	ヤ	助詞-係助詞			ヤ	和
53.04手習	OH_OO渋谷源氏	1380	1390	I	は	は	ハ	助詞-係助詞			ワ	和
53.04手習	OH_OO渋谷源氏	1390	1410	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
53.04手習	OH_OO渋谷源氏	1410	1420	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
53.04手習	OH_OO渋谷源氏	1420	1430	I	と	と	ト	助詞-格助詞			ト	和
53.04手習	OH_OO渋谷源氏	1430	1450	I	する	為る	スル	動詞-非自立可能	文語サ行変格	連体形-一般	スル	和
53.04手習	OH_OO渋谷源氏	1450	1460	I	。	。		補助記号-句点				記号
53.04手習	OH_OO渋谷源氏	1460	1480	B	同じ	同じい	オナジイ	形容詞-一般	文語形容詞-シク	語幹-一般	オナジ	和
53.04手習	OH_OO渋谷源氏	1480	1490	I	仏	仏	ホトケ	名詞-普通名詞-一般			ホトケ	和
53.04手習	OH_OO渋谷源氏	1490	1510	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
53.04手習	OH_OO渋谷源氏	1510	1520	I	ど	ど	ド	助詞-接続助詞			ド	和
53.04手習	OH_OO渋谷源氏	1520	1530	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1530	1560	I	さやう	然様	サヨウ	形状詞-一般			サヨー	混
53.04手習	OH_OO渋谷源氏	1560	1570	I	の	の	ノ	助詞-格助詞			ノ	和
53.04手習	OH_OO渋谷源氏	1570	1580	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
53.04手習	OH_OO渋谷源氏	1580	1590	I	に	に	ニ	助詞-格助詞			ニ	和
53.04手習	OH_OO渋谷源氏	1590	1610	I	行ひ	行う	オコナウ	動詞-一般	文語四段-ハ行	連用形-一般	オコナイ	和
53.04手習	OH_OO渋谷源氏	1610	1630	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
53.04手習	OH_OO渋谷源氏	1630	1650	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
53.04手習	OH_OO渋谷源氏	1650	1660	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1660	1670	I	験	験	ゲン	名詞-普通名詞-一般			ゲン	漢
53.04手習	OH_OO渋谷源氏	1670	1690	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
53.04手習	OH_OO渋谷源氏	1690	1700	I	て	て	テ	助詞-接続助詞			テ	和
53.04手習	OH_OO渋谷源氏	1700	1720	I	よき	良い	ヨイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ヨキ	和
53.04手習	OH_OO渋谷源氏	1720	1730	I	例	例	タメシ	名詞-普通名詞-一般			タメシ	和
53.04手習	OH_OO渋谷源氏	1730	1760	I	多かる	多い	オオイ	形容詞-一般	文語形容詞-ク	連体形-補助	オーカル	和
53.04手習	OH_OO渋谷源氏	1760	1770	I	」	」		補助記号-括弧閉				記号
53.04手習	OH_OO渋谷源氏	1770	1780	B	と	と	ト	助詞-格助詞			ト	和
53.04手習	OH_OO渋谷源氏	1780	1800	I	言ひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
53.04手習	OH_OO渋谷源氏	1800	1810	I	て	て	テ	助詞-接続助詞			テ	和
53.04手習	OH_OO渋谷源氏	1810	1820	I	，	，		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1820	1870	I	そそのかし	唆す	ソソノカス	動詞-一般	文語四段-サ行	連用形-一般	ソソノカシ	和
53.04手習	OH_OO渋谷源氏	1870	1900	I	たつれ	立てる	タテル	動詞-一般	文語下二段-タ行	已然形-一般	タツレ	和
53.04手習	OH_OO渋谷源氏	1900	1910	I	ど	ど	ド	助詞-接続助詞			ド	和
53.04手習	OH_OO渋谷源氏	1910	1920	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1920	1930	I	「	「		補助記号-括弧開				記号
53.04手習	OH_OO渋谷源氏	1930	1940	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
53.04手習	OH_OO渋谷源氏	1940	1950	I	，	，		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1950	1960	I	母	母	ハハ	名詞-普通名詞-一般			ハハ	和
53.04手習	OH_OO渋谷源氏	1960	1970	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
53.04手習	OH_OO渋谷源氏	1970	1980	I	，	，		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	1980	2000	I	乳母	乳母	メノト	名詞-普通名詞-一般			メノト	和
53.04手習	OH_OO渋谷源氏	2000	2020	I	など	など	ナド	助詞-副助詞			ナド	和
53.04手習	OH_OO渋谷源氏	2020	2030	I	の	の	ノ	助詞-格助詞			ノ	和
53.04手習	OH_OO渋谷源氏	2030	2040	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	2040	2070	I	かやう	斯様	カヨウ	形状詞-一般			カヨー	混
53.04手習	OH_OO渋谷源氏	2070	2080	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
53.04手習	OH_OO渋谷源氏	2080	2100	I	言ひ	言う	イウ	動詞-一般	文語四段-ハ行	連用形-一般	イー	和
53.04手習	OH_OO渋谷源氏	2100	2120	I	知ら	知る	シル	動詞-一般	文語四段-ラ行	未然形-一般	シラ	和
53.04手習	OH_OO渋谷源氏	2120	2130	I	せ	せる	セル	助動詞	文語下二段-サ行	未然形-一般	セ	和
53.04手習	OH_OO渋谷源氏	2130	2150	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
53.04手習	OH_OO渋谷源氏	2150	2160	I	、	、		補助記号-読点				記号
53.04手習	OH_OO渋谷源氏	2160	2200	I	たびたび	度々	タビタビ	副詞			タビタビ	和
53.04手習	OH_OO渋谷源氏	2200	2220	I	詣で	詣でる	モウデル	動詞-一般	文語下二段-ダ行	未然形-一般	モーデ	和
53.04手習	OH_OO渋谷源氏	2220	2240	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
53.04手習	OH_OO渋谷源氏	2240	2250	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
53.04手習	OH_OO渋谷源氏	2250	2260	I	を	を	ヲ	助詞-格助詞			オ	和
53.04手習	OH_OO渋谷源氏	2260	2270	I	、	、		補助記号-読点				記号
