39.05夕霧	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1370	1400	I	いづ方	何方	イズカタ	名詞-普通名詞-一般			イズカタ	和
39.05夕霧	OH_OO渋谷源氏	1400	1410	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	1410	1420	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	1420	1460	I	心苦しき	心苦しい	ココログルシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ココログルシキ	和
39.05夕霧	OH_OO渋谷源氏	1460	1480	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	1480	1490	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	1490	1510	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
39.05夕霧	OH_OO渋谷源氏	1510	1530	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
39.05夕霧	OH_OO渋谷源氏	1530	1550	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	1550	1560	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	1560	1580	B	さし	差し	サシ	接頭辞			サシ	和
39.05夕霧	OH_OO渋谷源氏	1580	1600	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
39.05夕霧	OH_OO渋谷源氏	1600	1620	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
39.05夕霧	OH_OO渋谷源氏	1620	1650	I	仲らひ	仲合	ナカライ	名詞-普通名詞-一般			ナカライ	和
39.05夕霧	OH_OO渋谷源氏	1650	1660	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.05夕霧	OH_OO渋谷源氏	1660	1670	I	て	て	テ	助詞-接続助詞			テ	和
39.05夕霧	OH_OO渋谷源氏	1670	1690	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
39.05夕霧	OH_OO渋谷源氏	1690	1710	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
39.05夕霧	OH_OO渋谷源氏	1710	1720	I	で	で	デ	助詞-接続助詞			デ	和
39.05夕霧	OH_OO渋谷源氏	1720	1730	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1730	1750	I	大臣	大臣	オトド	名詞-普通名詞-一般			オトド	和
39.05夕霧	OH_OO渋谷源氏	1750	1770	I	など	など	ナド	助詞-副助詞			ナド	和
39.05夕霧	OH_OO渋谷源氏	1770	1780	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1790	1820	I	いかに	如何に	イカニ	副詞			イカニ	和
39.05夕霧	OH_OO渋谷源氏	1820	1840	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
39.05夕霧	OH_OO渋谷源氏	1840	1870	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
39.05夕霧	OH_OO渋谷源氏	1870	1880	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
39.05夕霧	OH_OO渋谷源氏	1880	1890	I	。	。		補助記号-句点				記号
39.05夕霧	OH_OO渋谷源氏	1890	1900	B	さ	然	サ	副詞			サ	和
39.05夕霧	OH_OO渋谷源氏	1900	1930	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
39.05夕霧	OH_OO渋谷源氏	1930	1940	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	1940	1960	I	こと	事	コト	名詞-普通名詞-一般			コト	和
39.05夕霧	OH_OO渋谷源氏	1960	1970	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1970	2000	I	たどら	辿る	タドル	動詞-一般	文語四段-ラ行	未然形-一般	タドラ	和
39.05夕霧	OH_OO渋谷源氏	2000	2010	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.05夕霧	OH_OO渋谷源氏	2010	2020	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	2020	2030	I	は	は	ハ	助詞-係助詞			ワ	和
39.05夕霧	OH_OO渋谷源氏	2030	2050	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
39.05夕霧	OH_OO渋谷源氏	2050	2060	I	じ	じ	ジ	助動詞	文語助動詞-ジ	終止形-一般	ジ	和
39.05夕霧	OH_OO渋谷源氏	2060	2070	I	。	。		補助記号-句点				記号
