02.03帚木	OH_OO渋谷源氏	1070	1080	I	の	の	ノ	助詞-格助詞			ノ	和
02.03帚木	OH_OO渋谷源氏	1080	1100	I	捨て	捨てる	ステル	動詞-一般	文語下二段-タ行	連用形-一般	ステ	和
02.03帚木	OH_OO渋谷源氏	1100	1130	I	がたく	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ガタク	和
02.03帚木	OH_OO渋谷源氏	1130	1150	I	取り	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
02.03帚木	OH_OO渋谷源氏	1150	1170	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
02.03帚木	OH_OO渋谷源氏	1170	1180	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
02.03帚木	OH_OO渋谷源氏	1180	1210	I	まめ人	忠実人	マメビト	名詞-普通名詞-一般			マメビト	和
02.03帚木	OH_OO渋谷源氏	1210	1220	I	に	に	ニ	助詞-格助詞			ニ	和
02.03帚木	OH_OO渋谷源氏	1220	1230	I	は	は	ハ	助詞-係助詞			ワ	和
02.03帚木	OH_OO渋谷源氏	1230	1250	I	頼ま	頼む	タノム	動詞-一般	文語四段-マ行	未然形-一般	タノマ	和
02.03帚木	OH_OO渋谷源氏	1250	1260	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
02.03帚木	OH_OO渋谷源氏	1260	1270	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
02.03帚木	OH_OO渋谷源氏	1270	1300	I	べけれ	べし	ベシ	助動詞	文語助動詞-ベシ	已然形-一般	ベケレ	和
02.03帚木	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
02.03帚木	OH_OO渋谷源氏	1310	1320	I	と	と	ト	助詞-格助詞			ト	和
02.03帚木	OH_OO渋谷源氏	1320	1340	I	思す	思す	オボス	動詞-一般	文語四段-サ行	連体形-一般	オボス	和
02.03帚木	OH_OO渋谷源氏	1340	1360	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
02.03帚木	OH_OO渋谷源氏	1360	1380	I	から	から	カラ	助詞-格助詞			カラ	和
02.03帚木	OH_OO渋谷源氏	1380	1390	I	、	、		補助記号-読点				記号
02.03帚木	OH_OO渋谷源氏	1390	1420	I	あまり	余り	アマリ	副詞			アマリ	和
02.03帚木	OH_OO渋谷源氏	1420	1470	I	うるはしき	麗しい	ウルワシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ウルワシキ	和
02.03帚木	OH_OO渋谷源氏	1470	1480	I	御	御	オオン	接頭辞			オオン	和
02.03帚木	OH_OO渋谷源氏	1480	1520	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
02.03帚木	OH_OO渋谷源氏	1520	1530	I	の	の	ノ	助詞-格助詞			ノ	和
02.03帚木	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
02.03帚木	OH_OO渋谷源氏	1540	1560	I	とけ	解ける	トケル	動詞-一般	文語下二段-カ行	連用形-一般	トケ	和
02.03帚木	OH_OO渋谷源氏	1560	1590	I	がたく	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ガタク	和
02.03帚木	OH_OO渋谷源氏	1590	1630	I	恥づかし	恥ずかしい	ハズカシイ	形容詞-一般	文語形容詞-シク	語幹-一般	ハズカシ	和
02.03帚木	OH_OO渋谷源氏	1630	1640	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
02.03帚木	OH_OO渋谷源氏	1640	1650	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
