43.02紅梅	OH_OO渋谷源氏	1100	1140	I	悩ましく	悩ましい	ナヤマシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ナヤマシク	和
43.02紅梅	OH_OO渋谷源氏	1140	1150	I	、	、		補助記号-読点				記号
43.02紅梅	OH_OO渋谷源氏	1150	1170	I	など	など	ナド	助詞-副助詞			ナド	和
43.02紅梅	OH_OO渋谷源氏	1170	1210	I	聞こえよ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	命令形	キコエヨ	和
43.02紅梅	OH_OO渋谷源氏	1210	1220	I	」	」		補助記号-括弧閉				記号
43.02紅梅	OH_OO渋谷源氏	1220	1230	I	と	と	ト	助詞-格助詞			ト	和
43.02紅梅	OH_OO渋谷源氏	1230	1270	I	のたまひ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	連用形-一般	ノタマイ	和
43.02紅梅	OH_OO渋谷源氏	1270	1280	I	て	て	テ	助詞-接続助詞			テ	和
43.02紅梅	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
43.02紅梅	OH_OO渋谷源氏	1290	1300	I	「	「		補助記号-括弧開				記号
43.02紅梅	OH_OO渋谷源氏	1300	1310	I	笛	笛	フエ	名詞-普通名詞-一般			フエ	和
43.02紅梅	OH_OO渋谷源氏	1310	1340	I	すこし	少し	スコシ	副詞			スコシ	和
43.02紅梅	OH_OO渋谷源氏	1340	1390	I	仕うまつれ	仕る	ツコウマツル	動詞-一般	文語四段-ラ行	命令形	ツコーマツレ	和
43.02紅梅	OH_OO渋谷源氏	1390	1400	I	。	。		補助記号-句点				記号
43.02紅梅	OH_OO渋谷源氏	1400	1410	B	と	と	ト	助詞-格助詞			ト	和
43.02紅梅	OH_OO渋谷源氏	1410	1420	I	も	も	モ	助詞-係助詞			モ	和
43.02紅梅	OH_OO渋谷源氏	1420	1440	I	すれ	為る	スル	動詞-非自立可能	文語サ行変格	已然形-一般	スレ	和
43.02紅梅	OH_OO渋谷源氏	1440	1450	I	ば	ば	バ	助詞-接続助詞			バ	和
43.02紅梅	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
43.02紅梅	OH_OO渋谷源氏	1460	1470	I	御	御	オ	接頭辞			オ	和
43.02紅梅	OH_OO渋谷源氏	1470	1480	I	前	前	マエ	名詞-普通名詞-副詞可能			マエ	和
43.02紅梅	OH_OO渋谷源氏	1480	1490	I	の	の	ノ	助詞-格助詞			ノ	和
43.02紅梅	OH_OO渋谷源氏	1490	1500	I	御	御	オオン	接頭辞			オオン	和
43.02紅梅	OH_OO渋谷源氏	1500	1520	I	遊び	遊び	アソビ	名詞-普通名詞-一般			アソビ	和
