05.02若紫	OH_OO渋谷源氏	1240	1260	I	内裏	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
05.02若紫	OH_OO渋谷源氏	1260	1280	I	にて	にて	ニテ	助詞-格助詞			ニテ	和
05.02若紫	OH_OO渋谷源氏	1280	1290	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	1290	1300	I	里	里	サト	名詞-普通名詞-一般			サト	和
05.02若紫	OH_OO渋谷源氏	1300	1310	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
05.02若紫	OH_OO渋谷源氏	1310	1320	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	1320	1330	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1340	1350	I	昼	昼	ヒル	名詞-普通名詞-副詞可能			ヒル	和
05.02若紫	OH_OO渋谷源氏	1350	1360	I	は	は	ハ	助詞-係助詞			ワ	和
05.02若紫	OH_OO渋谷源氏	1360	1400	I	つれづれ	徒然	ツレヅレ	名詞-普通名詞-形状詞可能			ツレズレ	和
05.02若紫	OH_OO渋谷源氏	1400	1410	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	1410	1430	I	眺め	眺める	ナガメル	動詞-一般	文語下二段-マ行	連用形-一般	ナガメ	和
05.02若紫	OH_OO渋谷源氏	1430	1460	I	暮らし	暮らす	クラス	動詞-一般	文語四段-サ行	連用形-一般	クラシ	和
05.02若紫	OH_OO渋谷源氏	1460	1470	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	1470	1480	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1480	1510	I	暮るれ	暮れる	クレル	動詞-一般	文語下二段-ラ行	已然形-一般	クルレ	和
05.02若紫	OH_OO渋谷源氏	1510	1520	I	ば	ば	バ	助詞-接続助詞			バ	和
05.02若紫	OH_OO渋谷源氏	1520	1530	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1530	1540	I	王	王	オウ	名詞-普通名詞-一般			オー	漢
05.02若紫	OH_OO渋谷源氏	1540	1560	I	命婦	命婦	ミョウブ	名詞-普通名詞-一般			ミョーブ	漢
05.02若紫	OH_OO渋谷源氏	1560	1570	I	を	を	ヲ	助詞-格助詞			オ	和
05.02若紫	OH_OO渋谷源氏	1570	1590	I	責め	責める	セメル	動詞-一般	文語下二段-マ行	連用形-一般	セメ	和
